File Name,Description,"IND. AT DCR
TOL. I I
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",820.0,± 15,1.98,0.36,0.26,± 15,1.98,0.36,0.26,± 15,1.98,0.36,0.26,± 15,1.98,0.36,0.26
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",1000.0,± 15,2.3,0.33,0.23,± 15,2.3,0.33,0.23,± 15,2.3,0.33,0.23,± 15,2.3,0.33,0.23
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",1200.0,± 15,2.55,0.31,0.21,± 15,2.55,0.31,0.21,± 15,2.55,0.31,0.21,± 15,2.55,0.31,0.21
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",1500.0,± 15,3.0,0.29,0.19,± 15,3.0,0.29,0.19,± 15,3.0,0.29,0.19,± 15,3.0,0.29,0.19
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",1800.0,± 15,4.0,0.25,0.18,± 15,4.0,0.25,0.18,± 15,4.0,0.25,0.18,± 15,4.0,0.25,0.18
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",2200.0,± 15,4.4,0.24,0.16,± 15,4.4,0.24,0.16,± 15,4.4,0.24,0.16,± 15,4.4,0.24,0.16
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",2700.0,± 15,5.8,0.21,0.14,± 15,5.8,0.21,0.14,± 15,5.8,0.21,0.14,± 15,5.8,0.21,0.14
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",3300.0,± 15,6.56,0.2,0.13,± 15,6.56,0.2,0.13,± 15,6.56,0.2,0.13,± 15,6.56,0.2,0.13
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",3900.0,± 15,8.63,0.17,0.12,± 15,8.63,0.17,0.12,± 15,8.63,0.17,0.12,± 15,8.63,0.17,0.12
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",4700.0,± 15,10.1,0.16,0.11,± 15,10.1,0.16,0.11,± 15,10.1,0.16,0.11,± 15,10.1,0.16,0.11
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",5600.0,± 15,11.2,0.15,0.1,± 15,11.2,0.15,0.1,± 15,11.2,0.15,0.1,± 15,11.2,0.15,0.1
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",6800.0,± 15,15.0,0.13,0.09,± 15,15.0,0.13,0.09,± 15,15.0,0.13,0.09,± 15,15.0,0.13,0.09
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",8200.0,± 15,20.8,0.11,0.08,± 15,20.8,0.11,0.08,± 15,20.8,0.11,0.08,± 15,20.8,0.11,0.08
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",10 000,± 15,23.4,0.1,0.08,± 15,23.4,0.1,0.08,± 15,23.4,0.1,0.08,± 15,23.4,0.1,0.08
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",12 000,± 15,26.0,0.1,0.07,± 15,26.0,0.1,0.07,± 15,26.0,0.1,0.07,± 15,26.0,0.1,0.07
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",15 000,± 15,36.0,0.08,0.06,± 15,36.0,0.08,0.06,± 15,36.0,0.08,0.06,± 15,36.0,0.08,0.06
IHD-2,"www.vishay.com Vishay Dale
Choke Coil, Axial Leaded
FEATURES
• Printed circuit mounting (axial leads)
• Protected by polyolefin tubing",18 000,± 15,40.0,0.08,0.06,± 15,40.0,0.08,0.06,± 15,40.0,0.08,0.06,± 15,40.0,0.08,0.06
