Series▲▼,Product Image,Configuration▲▼,Package▲▼,Ch▲▼,VDS(V)▲▼,VGS(V)▲▼,RDS(on)@1.2V(Ω)▲▼,RDS(on)1.5V(Ω)▲▼,RDS(on)@1.8V(Ω)▲▼,RDS(on)@2.5V(Ω)▲▼,RDS(on)@3V(Ω)▲▼,RDS(on)@4.5V(Ω)▲▼,RDS(on)@6V(Ω)▲▼,RDS(on)@7.5V(Ω)▲▼,RDS(on)@10V(Ω)▲▼,Qg@4.5V(nC)▲▼,Qg@10V(nC)▲▼,Qgs(nC)▲▼,Qgd(nC)▲▼,IDMax.(A)▲▼,PDMax.(W)▲▼,VGS(th)Min.(V)▲▼,RgTyp.(Ω)▲▼,Image path
Si4430BDY,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/75769.png
Si4431CDY,Enlarge,Single,SO-8,P,-30,20,,,,,,0.049,,,0.032,13,25,3.5,5.5,-9,4.2,-1,2,image/mosfets/62860.png
Si4434ADY,Enlarge,Single,SO-8,N,250,20,,,,,,,,0.17,0.15,,10.9,2.7,2.9,4.1,6,2,2.3,image/mosfets/75477.png
Si4435BDY,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/75633.png
Si4435DDY,Enlarge,Single,SO-8,P,-30,20,,,,,,0.035,,,0.024,15,32,4,7.5,-11.4,5,-1,5.8,image/mosfets/75609.png
Si4435FDY,Enlarge,Single,SO-8,P,-30,20,,,,,,0.03,,,0.019,13.5,28,4.4,4.3,-12.6,4.8,-1,3.3,image/mosfets/68700.png
Si4447ADY,Enlarge,Single,SO-8,P,-40,20,,,,,,0.062,,,0.045,11.8,25,3,5.2,-7.2,4.2,-1.2,5.5,image/mosfets/79298.png
Si4455DY,,Single,SO-8,P,-150,20,,,,,,,0.315,,0.295,23.2,27.5,5.4,8.4,2.8,5.9,2,6.1,image/mosfets/69026.png
Si4456DY,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/65366.png
Si4459BDY,Enlarge,Single,SO-8,P,-30,16,,,,,,0.0082,,,0.0049,27,56,9.4,8.2,-27.8,,-1,3.5,image/mosfets/62895.png
Si4463CDY,Enlarge,Single,SO-8,P,-20,12,,,,0.014,,0.01,,,0.008,54,108,7.8,18.5,-18.6,5,-0.6,2.3,image/mosfets/78590.png
Si4477DY,,Single,SO-8,P,-20,12,,,,0.0105,,0.0062,,,,59,125,10,19,26.6,6.6,0.6,1.3,image/mosfets/69638.png
Si4485DY,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/71874.png
Si4488DY,Enlarge,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/71691.png
Si4491EDY,Enlarge,Single,SO-8,P,-30,25,,,,,,0.0112,0.0082,,0.0065,,102,16,28,-25.8,6.9,-1.2,1.3,image/mosfets/73116.png
Si4497DY,Enlarge,Single,SO-8,P,-30,20,,,,,,0.0046,,,0.0033,90,190,27.5,26.5,-36,7.8,-1,2.3,image/mosfets/75843.png
Si4532CDY,Enlarge,N- and p-pair,SO-8,P,-30,20,,,,,,0.14,,,0.089,2.75,7.8,1.3,1.8,-4.3,2.78,-1,10,image/mosfets/72579.png
Si4532CDY,Enlarge,N- and p-pair,SO-8,N,30,20,,,,,,0.065,,,0.047,2.75,6,1.3,0.9,6,2.78,1,3.1,image/mosfets/73106.png
Si4559ADY,Enlarge,N- and p-pair,SO-8,P,-60,20,,,,,,0.15,,,0.12,8,14.5,2.2,3.7,-3.9,3.4,-1,14,image/mosfets/71635.png
Si4559ADY,Enlarge,N- and p-pair,SO-8,N,60,20,,,,,,0.072,,,0.058,6,13,2.3,2.6,5.3,3.1,1,2,image/mosfets/71432.png
Si4564DY,Enlarge,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/79350.png
Si4590DY,Enlarge,N- and p-pair,SO-8,P,-100,20,,,,,,0.205,,,0.183,11.6,24,3.8,5,-3.4,4.2,-1.5,13,image/mosfets/65941.png
Si4590DY,Enlarge,N- and p-pair,SO-8,N,100,20,,,,,,0.072,,,0.057,4,7.5,1.2,2,5.6,3.6,1.5,3.3,image/mosfets/67869.png
Si4626ADY,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/72567.png
Si4630DY,,Single,SO-8,N,25,16,,,,,,0.0032,,,0.0027,49,107.5,15.7,13.6,40,7.8,1,1.5,image/mosfets/72052.png
Si4634DY,,Single,SO-8,N,30,20,,,,,,0.0067,,,0.0052,21.5,45.5,8,6.2,24.5,5.7,1.4,0.75,image/mosfets/66831.png
Si4670DY,,DUAL PLUS INTEGRATED SCHOTTKY,SO-8,N,25,16,,,,,,0.028,,,0.023,5.5,12,2,1.5,8,2.8,1,3.2,image/mosfets/62951.png
Si4670DY,,DUAL PLUS INTEGRATED SCHOTTKY,SO-8,N,25,16,,,,,,0.028,,,0.023,5.5,12,2,1.5,8,2.8,1,2.5,image/mosfets/62951.png
Si4686DY,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/69939.png
Si4800BDY,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/64809.png
Si4835DDY,Enlarge,Single,SO-8,P,-30,25,,,,,,0.03,,,0.018,22,43,6,11,-13,5.6,-1,1.3,image/mosfets/62667.png
Si4838BDY,Enlarge,Single,SO-8,N,12,8,,,0.004,0.0032,,0.0027,,,,56,,5.9,12.5,34,5.7,0.4,0.65,image/mosfets/77771.png
Si4840BDY,Enlarge,Single,SO-8,N,40,20,,,,,,0.012,,,0.009,15,33,6.7,5.1,19,6,1,1.4,image/mosfets/65533.png
Si4842BDY,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/65737.png
Si4848ADY,Enlarge,Single,SO-8,N,150,20,,,,,,,0.133,,0.084,,6.5,1.5,1.9,5.5,5,2,1.1,image/mosfets/74031.png
Si4848BDY,Enlarge,Single,SO-8,N,150,20,,,,,,,0.11,,0.089,,6,2.2,0.8,5,4.5,2,2.5,image/mosfets/68640.png
Si4850BDY,Enlarge,Single,SO-8,N,60,20,,,,,,0.025,,,0.0195,5.2,11.1,2.2,1.1,11.3,4.5,1,0.6,image/mosfets/68704.png
Si4850EY,,Single,SO-8,N,60,20,,,,,,0.031,,,0.022,9.5,18,3.4,5.3,8.5,3.3,1,,image/mosfets/65169.png
Si4896DY,,Single,SO-8,N,80,20,,,,,,,0.022,,0.0165,,34,7.5,11,9.5,3.1,2,,image/mosfets/74632.png
Si4909DY,Enlarge,Dual,SO-8,P,-40,20,,,,,,0.034,,,0.027,21.7,41.5,5.6,9.8,-8,3.2,-1.2,6,image/mosfets/71625.png
Si4925DDY,,DUAL,SO-8,P,-30,20,,,,,,0.041,,,0.029,15,32,4,7.5,8,5,1,5.8,image/mosfets/71627.png
Si4932DY,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/66589.png
Si4936BDY,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/71873.png
Si4936CDY,Enlarge,Dual,SO-8,N,30,20,,,,,,0.05,,,0.04,2.8,6,1.1,0.8,5.8,2.3,1.2,2.8,image/mosfets/65365.png
Si4943CDY,Enlarge,Dual,SO-8,P,,,,,,,,0.033,,,0.0192,20,41,7,9,,,-1,2.5,image/mosfets/62958.png
Si4946BEY,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/75360.png
Si4946CDY,Enlarge,Dual,SO-8,N,60,20,,,,,,0.0516,,,0.0409,2.4,5.1,1.1,0.5,6.1,2.8,1,1.3,image/mosfets/66719.png
Si4948BEY,,DUAL,SO-8,P,-60,20,,,,,,0.15,,,0.12,,14.5,2.2,3.7,3.1,2.4,1,14,image/mosfets/68970.png
Si5403DC,Enlarge,Single,1206-8 ChipFET,P,-30,20,,,,,,0.044,,,0.03,15,28,4.5,7.2,-6,6.3,-1,6,image/mosfets/68970.png
Si5418DU,Enlarge,Single,PowerPAK ChipFET,N,30,20,,,,,,0.0185,,,0.0145,9.5,20,4.5,2.7,12,31,1.2,3.5,image/mosfets/62530.png
Si5429DU,Enlarge,Single,PowerPAK ChipFET,P,-30,20,,,,,,0.022,,,0.015,20,42,6.3,6.3,-12,31,-1,4.2,image/mosfets/73111.png
Si5442DU,,Single,PowerPAK ChipFET,N,20,8,,,0.0135,0.0115,,0.01,,,,16.6,,1.9,2,25,31,0.4,1.4,image/mosfets/62961.png
Si5446DU,Enlarge,Single,PowerPAK ChipFET,N,30,20,,,,,,0.0085,0.007,,0.0064,11.5,25.2,5.1,1.7,25,31,1,1,image/mosfets/72947.png
Si5448DU,Enlarge,Single,PowerPAK ChipFET,N,40,20,,,,,,0.00947,,,0.00775,12.6,26.2,5.1,2.5,25,31,1,1.5,image/mosfets/63894.png
Si5457DC,Enlarge,Single,1206-8 ChipFET,P,-20,12,,,,0.056,,0.036,,,,12.5,25,2,4,-6,5.7,-0.6,4.6,image/mosfets/63909.png
Si5458DU,Enlarge,Single,PowerPAK ChipFET,N,30,20,,,,,,0.051,,,0.041,2.8,6,1.1,0.8,6,10.4,1.2,2.8,image/mosfets/64267.png
Si5459DU,Enlarge,Single,PowerPAK ChipFET,P,-20,12,,,,0.082,,0.052,,,,8,17,2,3,8,10.9,0.6,6,image/mosfets/63683.png
Si5471DC,Enlarge,Single,1206-8 ChipFET,P,-20,12,,,0.062,0.028,,0.02,,,,30,64,6,7,-6,6.3,-0.6,5,image/mosfets/63300.png
Si5504BDC,Enlarge,N&P PAIR,1206-8 ChipFET,P,-30,20,,,,,,0.235,,,0.14,2.2,4.5,0.7,1,3.7,3.1,1.5,13,image/mosfets/75264.png
Si5504BDC,Enlarge,N&P PAIR,1206-8 ChipFET,N,30,20,,,,,,0.1,,,0.065,2,4.5,0.7,0.7,4,3.12,1.5,3,image/mosfets/63483.png
Si5922DU,Enlarge,Dual,PowerPAK ChipFET,N,30,20,,,,,,0.0245,0.022,,0.0192,4.7,10,2.2,0.65,6,10.4,1.2,6.3,image/mosfets/63355.png
Si5935CDC,Enlarge,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/66700.png
Si5936DU,Enlarge,Dual,PowerPAK ChipFET,N,30,20,,,,,,0.04,,,0.03,3.5,7,1,1.3,6,10.4,1.2,4,image/mosfets/67999.png
Si5948DU,Enlarge,Dual,PowerPAK ChipFET,N,40,20,,,,,,0.094,,,0.082,1.7,3.3,0.53,0.63,6,7,1,6.5,image/mosfets/62652.png
Si6423ADQ,Enlarge,Single,TSSOP-8,P,-20,8,,,0.0227,0.013,,0.0098,,,,63,,8.7,25.3,-12.5,2.2,-0.4,3.6,image/mosfets/62547.png
Si6562CDQ,,N&P PAIR,TSSOP-8,P,-20,12,,,,0.045,,0.03,,,,17,34,3,5.5,6.1,1.7,0.6,6,image/mosfets/62829.png
Si6562CDQ,,N&P PAIR,TSSOP-8,N,20,12,,,,0.036,,0.022,,,,6.7,15,1.8,0.9,6.7,1.6,0.6,2,image/mosfets/63682.png
Si6926ADQ,,DUAL,TSSOP-8,N,20,8,,,0.043,0.035,0.033,0.03,,,,7.5,,1.2,1.2,4.5,1,0.4,1.9,image/mosfets/62834.png
Si7101DN,Enlarge,Single,PowerPAK 1212-8,P,-30,25,,,,,,0.013,,,0.0072,32,68,9,12.2,-35,52,-1.2,1.8,image/mosfets/62759.png
Si7102DN,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/62417.png
Si7104DN,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/62963.png
Si7106DN,,Single,PowerPAK 1212-8,N,20,12,,,,0.0098,,0.0062,,,,17.5,,6.6,2.8,19.5,3.8,0.6,1.4,image/mosfets/63268.png
Si7108DN,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/76852.png
Si7110DN,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/62978.png
Si7111EDN,Enlarge,Single,PowerPAK 1212-8,P,-30,12,,,,0.016,,0.00855,,,,56.5,,9.6,13.6,60,52,-0.6,3,image/mosfets/62948.png
Si7113ADN,Enlarge,Single,PowerPAK 1212-8,P,-100,20,,,,,,0.186,,,0.132,5.65,10.9,1.7,2.5,-10.8,27.8,-1.1,9.8,image/mosfets/62114.png
Si7114ADN,Enlarge,Single,PowerPAK 1212-8,N,30,20,,,,,,0.0098,,,0.0075,10.2,21,3.9,3.2,35,39,1.2,1.6,image/mosfets/68606.png
Si7114DN,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/68791.png
Si7116BDN,,Single,PowerPAK 1212-8PT,N,40,20,,,,,,0.0096,,,0.0074,14.2,31.4,6.7,5.1,65,62.5,1.5,1.1,image/mosfets/64737.png
Si7116DN,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/76280.png
Si7117DN,Enlarge,Single,PowerPAK 1212-8,P,-150,20,,,,,,,1.3,,1.2,,7.7,1.5,2.5,-2.17,12.5,-2.5,9,image/mosfets/77827.png
Si7119DN,Enlarge,Single,PowerPAK 1212-8,P,-200,20,,,,,,,1.1,,1.05,,,2.5,4.9,,52,-2,5.3,image/mosfets/76002.png
Si7121ADN,Enlarge,Single,PowerPAK 1212-8,P,-30,25,,,,,,0.026,0.02,,0.015,16,33,5.6,5.5,18,27.8,1.2,3.2,image/mosfets/62135.png
Si7129DN,Enlarge,Single,PowerPAK 1212-8,P,-30,20,,,,,,0.02,,,0.0114,24.6,47.5,7.7,12,-35,52.1,-1.5,1.8,image/mosfets/63650.png
Si7135DP,Enlarge,Single,PowerPAK SO-8,P,-30,20,,,,,,0.0062,,,0.0039,78,167,27,35,-60,104,-1,1.7,image/mosfets/63163.png
Si7137DP,Enlarge,Single,PowerPAK SO-8,P,-20,12,,,,0.0039,,0.0025,,,0.00195,188,390,33.6,46,-60,104,-0.5,1.8,image/mosfets/63162.png
Si7139DP,Enlarge,Single,PowerPAK SO-8,P,-30,20,,,,,,0.009,,,0.0055,49.5,97,11.7,22.6,40,48,1.2,1.6,image/mosfets/63651.png
Si7141DP,Enlarge,Single,PowerPak SO-8,P,-20,20,,,,,,0.003,,,0.0019,128,265,36,42,-60,104,-1,1.7,image/mosfets/67038.png
Si7143DP,Enlarge,Single,PowerPAK SO-8,P,-30,20,,,,,,0.0186,,,0.01,24.6,47.5,7.7,12,-35,35.7,-1.2,1.5,image/mosfets/62991.png
Si7145DP,Enlarge,Single,PowerPAK SO-8,P,-30,20,,,,,,0.00375,,,0.0026,129,275,37,40,-60,104,-1,1.6,image/mosfets/65267.png
Si7148DP,,Single,PowerPAK SO-8,N,75,20,,,,,,0.0145,,,0.011,33,68,9.5,16.8,28,96,1.5,1.1,image/mosfets/65472.png
Si7149ADP,,Single,PowerPAK SO-8,P,-30,25,,,,,,0.0095,,,0.0052,43.1,90,13.6,28.8,50,48,1.2,2.4,image/mosfets/63535.png
Si7153DN,Enlarge,Single,PowerPAK 1212-8,P,-30,25,,,,,,0.015,0.012,,0.0095,31,62,9.2,10.8,18,52,1,1.9,image/mosfets/63160.png
Si7155DP,Enlarge,Single,PowerPAK SO-8,P,-40,20,,,,,,0.0046,,,0.0036,107,220,23.7,37.2,-100,104,-1,2,image/mosfets/62777.png
Si7157DP,Enlarge,Single,PowerPAK SO-8,P,-20,12,,,,0.0032,,0.002,,,,202.5,415,32.5,51.5,-60,104,-0.5,1.5,image/mosfets/63277.png
Si7164DP,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/62235.png
Si7172ADP,Enlarge,Single,PowerPAK SO-8,N,200,20,,,,,,,,0.08,0.07,,19.5,5.3,5.2,17.2,52,2,1.6,image/mosfets/63619.png
Si7174DP,,Single,PowerPAK SO-8,N,75,20,,,,,,,,,0.007,,47.5,13.8,14.4,60,104,2.5,1.2,image/mosfets/67437.png
Si7190ADP,Enlarge,Single,PowerPAK SO-8,N,250,20,,,,,,,,0.11,0.102,,14.9,3.9,3.7,14.4,56.8,2,2.4,image/mosfets/62925.png
Si7192DP,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/63774.png
Si7223DN,Enlarge,Dual,PowerPAK 1212-8,P,-30,20,,,,,,0.0372,0.0312,,0.0264,,26.3,4.3,4.7,-6,23,-1,8.6,image/mosfets/68642.png
Si7232DN,,DUAL,PowerPAK 1212-8,N,20,8,,,0.024,0.02,,0.0164,,,,12,,2,1.3,25,23,0.4,1.8,image/mosfets/63838.png
Si7234DP,Enlarge,Dual,PowerPAK SO-8,N,12,12,,,,0.005,,0.0034,,,,37,80,7.4,7.2,60,46,0.6,2.5,image/mosfets/63269.png
Si7252ADP,Enlarge,Dual,PowerPAK SO-8,N,100,20,,,,,,,,0.0225,0.0186,,17.4,7.1,2.3,28.7,33.8,2,0.75,image/mosfets/62955.png
Si7272DP,Enlarge,Dual,PowerPAK SO-8,N,30,20,,,,,,0.0124,,,0.0093,8.2,17,3.2,2.7,25,22,1.2,3.5,image/mosfets/67408.png
Si7288DP,Enlarge,Dual,PowerPAK SO-8,N,40,20,,,,,,0.022,,,0.019,4.9,10,1.4,1.5,20,15.6,1.2,2.7,image/mosfets/75354.png
Si7315DN,Enlarge,Single,PowerPAK 1212-8,P,-150,30,,,,,,,,0.35,0.315,,19.5,4.8,5.3,-8.9,52,-2,5.4,image/mosfets/76741.png
Si7317DN,,Single,PowerPAK 1212-8,P,-150,30,,,,,,,1.3,,1.2,,6.5,1.5,1.9,-2.8,19.8,-2.5,5.5,image/mosfets/77703.png
Si7322ADN,Enlarge,Single,PowerPAK 1212-8,N,100,20,,,,,,,,,0.057,,8.4,1.7,2.6,15.1,26,2,2.8,image/mosfets/77080.png
Si7322DN,Enlarge,Single,PowerPAK 1212-8,N,100,20,,,,,,,,,0.058,,13,3.7,3,18,52,2.5,1.3,image/mosfets/62779.png
Si7328DN,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/65706.png
Si7370DP,Enlarge,Single,PowerPAK SO-8,N,60,20,,,,,,,0.013,,0.011,,46,11.5,11.5,9.6,1.9,2,0.85,image/mosfets/65706.png
Si7386DP,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/62934.png
Si7414DN,,Single,PowerPAK 1212-8,N,60,20,,,,,,0.036,,,0.025,8,16,2.7,4.4,8.7,3.8,1,1,image/mosfets/62934.png
Si7415DN,Enlarge,Single,PowerPAK 1212-8,P,-60,20,,,,,,0.11,,,0.065,,15,4,3.2,-5.7,3.8,-1,,image/mosfets/68955.png
Si7431DP,Enlarge,Single,PowerPAK SO-8,P,-200,20,,,,,,,0.18,,0.174,,88,16.5,25,-2.2,1.9,-2,3,image/mosfets/62820.png
Si7434ADP,Enlarge,Single,PowerPAK SO-8,N,250,20,,,,,,,,0.17,0.15,,10.9,2.7,2.9,12.3,54.3,2,2.3,image/mosfets/69067.png
Si7434DP,Enlarge,Single,PowerPAK SO-8,N,250,20,,,,,,,0.162,,0.155,,34,6.8,10.5,2.3,1.9,2,1.2,image/mosfets/79034.png
Si7439DP,Enlarge,Single,PowerPAK SO-8,P,-150,20,,,,,,,0.095,,0.09,,88,17.5,26.5,-3,1.9,-2,3,image/mosfets/62936.png
Si7448DP,Enlarge,Single,PowerPAK SO-8,N,20,12,,,,0.009,,0.0065,,,,38,,8,8.5,13.4,1.9,0.6,0.9,image/mosfets/75168.png
Si7450DP,Enlarge,Single,PowerPAK SO-8,N,200,20,,,,,,,0.09,,0.08,,34,7.5,12,19.8,1.9,2,0.85,image/mosfets/63398.png
Si7454FDP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,0.034,,,0.0295,8,17.4,3.9,1.9,23.5,39,1,0.9,image/mosfets/62859.png
Si7456CDP,Enlarge,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/77643.png
Si7456DDP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,0.031,,0.024,0.023,9.7,19.6,2.8,4.3,27.8,35.7,1.5,0.85,image/mosfets/65710.png
Si7456DP,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/75918.png
Si7460DP,,Single,PowerPAK SO-8,N,60,20,,,,,,0.012,,,0.0096,32,65,10.5,16,18,5.4,1,,image/mosfets/77122.png
Si7461DP,Enlarge,Single,PowerPAK SO-8,P,-60,20,,,,,,0.019,,,0.0145,,121,20,32,14.4,5.4,1,3,image/mosfets/75671.png
Si7464DP,Enlarge,Single,PowerPAK SO-8,N,200,20,,,,,,,0.26,,0.24,,12,2.5,3.8,1.8,1.8,2,2.5,image/mosfets/69088.png
Si7465DP,,Single,PowerPAK SO-8,P,-60,20,,,,,,0.08,,,0.064,,26,4.5,7,5,3.5,1,7,image/mosfets/62290.png
Si7469ADP,Enlarge,Single,PowerPAK SO-8,P,-80,20,,,,,,0.027,,,0.0193,19.3,42.7,10.9,4.7,-46,73.5,-1.4,1.6,image/mosfets/65297.png
Si7469DP,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/63165.png
Si7478DP,,Single,PowerPAK SO-8,N,60,20,,,,,,0.0088,,,0.0075,45,105,22,19,20,5.4,1,1,image/mosfets/63164.png
Si7489DP,,Single,PowerPAK SO-8,P,-100,20,,,,,,0.047,,,0.041,54,106,14,26,28,83,1,4,image/mosfets/62821.png
Si7540ADP,Enlarge,N- and p-pair,PowerPAK SO-8,P,-20,12,,,,0.043,,0.028,,,,16,32,2.3,6,-6.1,1.6,-0.6,1,image/mosfets/68832.png
Si7540ADP,Enlarge,N- and p-pair,PowerPAK SO-8,N,20,12,,,,0.0195,,0.015,,,,8.5,18,1.8,2.2,8,1.6,0.6,3.2,image/mosfets/62715.png
Si7611DN,Enlarge,Single,PowerPAK 1212-8,P,-40,20,,,,,,0.033,,,0.025,21,41,7,10,-18,39,-1,1.9,image/mosfets/68883.png
Si7613DN,Enlarge,Single,PowerPAK 1212-8,P,-20,16,,,,,,0.014,,,0.0087,28.1,58,8.8,7.6,-35,52.1,-1,1.9,image/mosfets/76606.png
Si7615ADN,Enlarge,Single,PowerPAK 1212-8,P,-20,12,,,,0.0098,,0.006,,,0.0044,59,122,9.1,14.2,-35,52,-0.4,2.2,image/mosfets/63069.png
Si7615CDN,Enlarge,Single,PowerPAK 1212-8,P,-20,8,,,0.0203,0.0117,,0.009,,,,42,,5.9,6.1,-35,33,-0.4,2.1,image/mosfets/76239.png
Si7619DN,Enlarge,Single,PowerPAK 1212-8,P,-30,20,,,,,,0.034,,,0.021,15,32,4,7.5,-24,27.8,-1,5.8,image/mosfets/77513.png
Si7625DN,Enlarge,Single,PowerPAK 1212-8,P,-30,20,,,,,,0.011,,,0.007,39.5,84.5,11,13.5,-35,52,-1,1.8,image/mosfets/75639.png
Si7634BDP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.007,,,0.0054,21.5,45.5,8,6.2,40,48,1.4,0.8,image/mosfets/63083.png
Si7636DP,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/75636.png
Si7658ADP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.0028,,,0.0022,34,74,12,10,60,83,1.2,0.8,image/mosfets/63158.png
Si7716ADN,Enlarge,Single,PowerPAK 1212-8,N,30,20,,,,,,0.0165,,,0.0135,7.3,15.4,2.3,2.2,16,27.7,1.2,0.8,image/mosfets/62024.png
Si7720DN,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/63150.png
Si7726DN,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/63154.png
Si7738DP,,Single,PowerPAK SO-8,N,150,20,,,,,,,,,0.038,,35,8,9,30,96,2,1.6,image/mosfets/63159.png
Si7772DP,Enlarge,Single plus integrated Schottky (SkyFET),PowerPAK SO-8,N,30,20,,,,,,0.0165,,,0.013,8.3,18.5,2.8,2,35.6,29.8,1.2,1.3,image/mosfets/62010.png
Si7810DN,,Single,PowerPAK 1212-8,N,100,20,,,,,,,0.084,,0.062,,13,3,4.6,5.4,3.8,2,,image/mosfets/75649.png
Si7848BDP,Enlarge,Single,PowerPAK SO-8,N,40,20,,,,,,0.012,,,0.009,15,33,6.7,5.1,47,36,1,1.4,image/mosfets/62011.png
Si7850DP,Enlarge,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/62063.png
Si7852ADP,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/77277.png
Si7852DP,Enlarge,Single,PowerPAK SO-8,N,80,20,,,,,,,0.022,,0.0165,,34,7.5,11,7.6,1.9,2,0.6,image/mosfets/63079.png
Si7858BDP,Enlarge,Single,PowerPAK SO-8,N,12,8,,,0.0037,0.003,,0.0025,,,,56,,5.9,12.5,40,48,0.4,0.65,image/mosfets/77245.png
Si7892BDP,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/75751.png
Si7898DP,Enlarge,Single,PowerPAK SO-8,N,150,20,,,,,,,0.095,,0.085,,17,3.2,6,3,1.9,2,0.85,image/mosfets/77314.png
Si7922DN,,DUAL,PowerPAK 1212-8,N,100,20,,,,,,,0.23,,0.195,,5.2,1.1,1.9,2.5,2.6,2.5,1.7,image/mosfets/77698.png
Si7938DP,Enlarge,Dual,PowerPAK SO-8,N,40,20,,,,,,0.007,,,0.0058,21,43,6.2,6.5,60,46,1,2.5,image/mosfets/61532.png
Si7942DP,,DUAL,PowerPAK SO-8,N,100,20,,,,,,,0.06,,0.049,,16,3.8,5.5,5.9,3.5,2,2.2,image/mosfets/92199.png
Si7946ADP,Enlarge,Dual,PowerPAK SO-8,N,150,20,,,,,,,0.256,0.193,0.186,,5.3,1.2,1.8,7.7,19.8,2.5,2.3,image/mosfets/92299.png
Si7949DP,,DUAL,PowerPAK SO-8,P,-60,20,,,,,,0.08,,,0.064,,26,4.5,7,5,3.5,1,7,image/mosfets/92295.png
Si7956DP,,DUAL,PowerPAK SO-8,N,150,20,,,,,,,0.115,,0.105,,17,3.9,5.5,4.1,3.5,2,2,image/mosfets/92006.png
Si7972DP,Enlarge,Dual,PowerPAK SO-8,N,60,20,,,,,,0.021,,,0.018,7.1,15.2,4.4,1.3,8,22,1.2,0.6,image/mosfets/92115.png
Si7994DP,,DUAL,PowerPAK SO-8,N,30,20,,,,,,0.007,,,0.0056,24,52,10,7,60,46,1,2.3,image/mosfets/92312.png
Si7997DP,Enlarge,Dual,PowerPAK SO-8,P,-30,20,,,,,,0.0078,,,0.0055,51,106,17,16.5,-60,46,-1,4.6,image/mosfets/91637.png
Si7998DP,Enlarge,DUAL N,PowerPAK SO-8,N,30,20,,,,,,0.0124,,,0.0093,8.2,17,3.2,2.7,25,22,1.2,3.5,image/mosfets/91569.png
Si7998DP,Enlarge,DUAL N,PowerPAK SO-8,N,30,20,,,,,,0.007,,,0.0053,15.3,32,6.3,4.7,30,40,1.2,3.5,image/mosfets/91706.png
Si8406DB,Enlarge,Single,MICRO FOOT 1.5 x 1,N,20,8,,,0.042,0.037,,0.033,,,,7.5,,1.1,0.8,16,13,0.4,3.6,image/mosfets/92451.png
Si8409DB,Enlarge,Single,MICRO FOOT 1.6 x 1.6,P,-30,12,,,,0.065,,0.046,,,,17,,2.2,5.7,6.3,2.77,0.6,22,image/mosfets/92486.png
Si8410DB,Enlarge,Single,MICRO FOOT 1 x 1,N,20,8,,0.068,0.047,0.041,,0.037,,,,5.9,,0.7,0.66,5.7,1.8,0.4,5.3,image/mosfets/91631.png
Si8413DB,Enlarge,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/91571.png
Si8416DB,,Single,MICRO FOOT 1.5 x 1,N,8,5,0.095,0.04,0.03,0.025,,0.023,,,,17,,1.8,3.4,16,13,0.35,2.5,image/mosfets/91979.png
Si8424CDB,Enlarge,Single,MICRO FOOT 1.6 x 1.6,N,8,5,0.045,0.028,0.023,0.021,,0.02,,,,25,,3.3,3.6,10,2.7,0.35,3.5,image/mosfets/92354.png
Si8425DB,Enlarge,Single,MICRO FOOT 1.6 x 1.6,P,-20,10,,,0.04,0.027,,0.023,,,,36,73,5.2,7.3,9.3,2.7,0.4,15,image/mosfets/92411.png
