Series▲▼,Product Image,Configuration▲▼,Package▲▼,Ch▲▼,VDS(V)▲▼,VGS(V)▲▼,RDS(on)@1.2V(Ω)▲▼,RDS(on)1.5V(Ω)▲▼,RDS(on)@1.8V(Ω)▲▼,RDS(on)@2.5V(Ω)▲▼,RDS(on)@3V(Ω)▲▼,RDS(on)@4.5V(Ω)▲▼,RDS(on)@6V(Ω)▲▼,RDS(on)@7.5V(Ω)▲▼,RDS(on)@10V(Ω)▲▼,Qg@4.5V(nC)▲▼,Qg@10V(nC)▲▼,Qgs(nC)▲▼,Qgd(nC)▲▼,IDMax.(A)▲▼,PDMax.(W)▲▼,VGS(th)Min.(V)▲▼,RgTyp.(Ω)▲▼,Image path
SQS462ENW,Enlarge,Single,PowerPAK 1212-8W,N,60,20,,,,,,0.082,,,0.063,,,1.3,1.6,8,33,1.5,0,image/mosfets/63003.png
SQS481ENW,Enlarge,Single,PowerPAK 1212-8W,P,-150,20,,,,,,,,,1.095,,8,1.7,2.5,-4.7,62.5,-2.5,4.7,image/mosfets/77821.png
SQS482EN,Enlarge,Single,PowerPAK 1212-8,N,30,20,,,,,,0.01,,,0.0085,,26,4.7,4.3,16,62,1.5,10,image/mosfets/62056.png
SQS482ENW,Enlarge,Single,PowerPAK 1212-8W,N,30,20,,,,,,0.01,,,0.0085,,26,4.7,4.3,16,62,1.5,10,image/mosfets/76597.png
SQS484CENW,Enlarge,Single,PowerPAK 1212-8W,N,40,20,,,,,,0.011,,,0.0095,,27,5,3.6,16,62.5,1.5,8,image/mosfets/75966.png
SQS484ENW,Enlarge,Single,PowerPAK 1212-8W,N,40,20,,,,,,0.0105,,,0.008,,22,4,3,16,62.5,1.5,0.97,image/mosfets/78974.png
SQS486CENW,Enlarge,Single,PowerPAK 1212-8W,N,40,20,,,,,,0.0073,,,0.0051,,35.2,6.1,6,18,62.5,1.2,1.63,image/mosfets/63002.png
SQS488CENW,Enlarge,Single,PowerPAK&#174; 1212-8W,N,40,20,,,,,,0.0105,,,0.0079,,22,4,3.7,16,39.47,1.5,1,image/mosfets/66501.png
SQS660CENW,Enlarge,Single,PowerPAK 1212-8W,N,60,20,,,,,,0.016,,,0.0112,,17.4,4.8,1.1,18,62.5,1.5,0.54,image/mosfets/63157.png
SQS840CENW,Enlarge,Single,PowerPAK 1212-8W,N,40,20,,,,,,0.022,,,0.02,,15,2.8,2.9,12,33,1.5,3.3,image/mosfets/62076.png
SQS940ELNW,Enlarge,Dual,PowerPAK 1212-8W,N,40,20,,,,,,0.0246,,,0.0203,,13,3,3,6,33,1.5,5.5,image/mosfets/77017.png
SQS944ENW,Enlarge,Dual,PowerPAK 1212-8W,N,40,20,,,,,,0.034,,,0.025,,7.6,1.4,1.1,6,27.8,1.5,1.55,image/mosfets/77017.png
SQS966ENW,Enlarge,Dual,PowerPAK 1212-8W,N,60,20,,,,,,0.048,,,0.036,,6.2,1.4,0.8,6,27.8,1.5,0.9,image/mosfets/77017.png
SQSA12CENW,Enlarge,Single,PowerPAK 1212-8W,N,100,20,,,,,,0.025,,,0.022,,31,6,5,18,62.5,1.5,0.5,image/mosfets/76755.png
SQSA70CENW,Enlarge,Single,PowerPAK 1212-8W,N,150,20,,,,,,,,,0.0685,,8,2.1,2.1,18,62.5,2.5,1.61,image/mosfets/76755.png
SQSA80ENW,Enlarge,Single,PowerPAK 1212-8W,N,80,20,,,,,,0.027,,,0.021,,17,3,2,18,62.5,1.5,0.45,image/mosfets/76755.png
SQSA82CENW,Enlarge,Single,PowerPAK 1212-8W,N,80,20,,,,,,0.07,,,0.046,,6.4,1.65,0.66,12,27,1.5,0.98,image/mosfets/92382.png
SQSA84CENW,Enlarge,Single,PowerPAK 1212-8W,N,80,20,,,,,,0.037,,,0.032,,14.1,2.6,2.6,16,27,1.5,0.72,image/mosfets/92377.png
SQUN700E,Enlarge,N- and p-pair,Triple die,P,-40,20,,,,,,0.048,,,0.03,,30.2,4.1,7.4,-30,48,1.5,,image/mosfets/92303.png
SQUN700E,Enlarge,N- and p-pair,Triple die,N,40,20,,,,,,0.0135,,,0.0092,,23,4.4,4.3,30,48,1.5,,image/mosfets/62496.png
SQUN700E,Enlarge,N- and p-pair,Triple die,N,200,20,,,,,,,,,0.075,,11,3.2,3,16,50,2.5,,image/mosfets/62843.png
SQUN702E,Enlarge,N- and p-pair,Triple die,P,-40,20,,,,,,0.048,,,0.03,,30.2,4.1,7.4,-30,48,1.5,,image/mosfets/75668.png
SQUN702E,Enlarge,N- and p-pair,Triple die,N,40,20,,,,,,0.0135,,,0.0092,,23,4.4,4.3,30,48,1.5,,image/mosfets/65594.png
SQUN702E,Enlarge,N- and p-pair,Triple die,N,200,20,,,,,,,,,0.06,,14,4.4,5,20,60,2.5,,image/mosfets/72250.png
SQW33N65EF,Enlarge,Single,TO-247AD,N,650,30,,,,,,,,,0.109,,115,26,44,34,375,2,0.9,image/mosfets/65437.png
SQW44N65EF,Enlarge,Single,TO-247AD,N,650,30,,,,,,,,,0.073,,177,46,68,47,500,2,1,image/mosfets/76248.png
SQW61N65EF,Enlarge,Single,TO-247AD,N,650,30,,,,,,,,,0.052,,229,53,91,62,625,2,1,image/mosfets/74527.png
SQZF140ELPW,Enlarge,Dual,PowerPAIR 6 x 5FSW,N,40,20,,,,,,0.0024,,,0.0015,,72,15,12,162,75,1.2,0.9,image/mosfets/75186.png
SUD08P06-155L-GE3,Enlarge,Single,DPAK (TO-252),P,,20,,,,,,0.28,,,0.155,,12.5,2.3,3.2,-8.2,20.8,-1,8,image/mosfets/75009.png
SUD19P06-60L,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/79026.png
SUD20N10-66L,,Single,DPAK (TO-252),N,100,20,,,,,,0.08,,,0.066,,19.8,3.6,4.1,16.9,41.7,1.2,2,image/mosfets/72439.png
SUD40151EL,Enlarge,Single,DPAK (TO-252),P,-40,20,,,,,,0.0175,,,0.012,,74.3,12.7,11.1,-42,50,-1.5,4.3,image/mosfets/66984.png
SUD40N08-16,,Single,DPAK (TO-252),N,80,20,,,,,,,,,0.016,,42,7,13,40,136,2,,image/mosfets/79643.png
SUD40N10-25,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/77646.png
SUD50N04-8m8P,,Single,DPAK (TO-252),N,40,20,,,,,,0.0105,,,0.0088,16,37,6.5,4.5,50,48.1,1.5,5.5,image/mosfets/79225.png
SUD50P04-08,Enlarge,Single,DPAK (TO-252),P,-40,20,,,,,,0.0117,,,0.0081,60,106,22,27,50,73.5,1,1.8,image/mosfets/62262.png
SUD50P06-15L,Enlarge,Single,DPAK (TO-252),P,-60,20,,,,,,0.02,,,0.015,,110,19,28,-50,136,-1,,image/mosfets/77059.png
SUD50P08-25L,,Single,DPAK (TO-252),P,-80,20,,,,,,0.029,,,0.0252,55,105,16,26,50,136,1,4,image/mosfets/67984.png
SUD50P10-43L,,Single,DPAK (TO-252),P,-100,20,,,,,,0.048,,,0.043,54,106,14,26,-37.1,136,-1,4,image/mosfets/63024.png
SUD70090E,Enlarge,Single,DPAK (TO-252),N,100,20,,,,,,,,,0.0089,,33,8.8,7.5,50,125,2,3.5,image/mosfets/76957.png
