Part Number▲▼,Product Image,Package▲▼,Reverse WorkingVoltage(V)▲▼,Capacitance(pF)▲▼,LeakageCurrent(µA)▲▼,Peak Pulse Current8/20 µs (*10/1000 µs)acc. IEC 61000-4-5(A)▲▼,Peak PulsePower 8/20 µsacc. IEC 61000-4-5(W)▲▼,ProtectableLines▲▼,ESD Immunityacc. IEC 61000-4-2(kV)▲▼,Max. OperatingJunction Temperature(°C)▲▼,AEC-Q101Qualified▲▼,Image path
VBUS05N1-HD1,Enlarge,DFN1006-2A,5.5,0.7,0.1,4,60,1,± 16,150,Yes,image/diodes/esd-protection/86201.png
VBUS54CV-HSF,Enlarge,LLP75-6L,5.5,1.2,0.1,11,242,4,± 30,125,No,image/diodes/esd-protection/84145.png
VBUS54DD-HS4,Enlarge,LLP1010-6M,5.5,0.8,0.1,3,57,4,± 15,125,No,image/diodes/esd-protection/83384.png
VCAN16A2-03G,Enlarge,SOT-323,16,15.5,0.05,5,140,2,± 30,175,Yes,image/diodes/esd-protection/86168.png
VCAN16A2-03S,Enlarge,SOT-23,16,16.7,0.05,5,145,2,± 30,150,Yes,image/diodes/esd-protection/86206.png
VCAN18A2-03S,Enlarge,SOT-23,18,14.7,0.05,3.6,120,2,± 30,150,Yes,image/diodes/esd-protection/86310.png
VCAN24A2-HT5,Enlarge,DFN1110-3A,24,7.8,0.05,2.5,100,2,± 30,150,Yes,image/diodes/esd-protection/86309.png
VCAN26A2-03G,Enlarge,SOT-323,26.5,10,0.05,3,150,2,± 30,175,Yes,image/diodes/esd-protection/85894.png
VCAN26A2-03S,Enlarge,SOT-23,26.5,10,0.05,3,150,2,± 30,150,Yes,image/diodes/esd-protection/86324.png
VCAN26C2-03G,Enlarge,SOT-323,26.5,7.6,0.05,2.5,110,2,±30,175,Yes,image/diodes/esd-protection/86183.png
VCAN33A2-03G,Enlarge,SOT-323,33,8.4,0.05,2.5,140,2,± 30,175,Yes,image/diodes/esd-protection/86152.png
VCAN33A2-03S,Enlarge,SOT-23,33,8.7,0.05,2.7,150,2,± 30,150,Yes,image/diodes/esd-protection/86323.png
VCAN33A2-HT5,Enlarge,DFN1110-3A,33,6,0.05,1.6,82,2,± 20,150,Yes,image/diodes/esd-protection/86544.png
VCAN33C2-03G,Enlarge,SOT-323,33,6,0.05,2,120,2,± 30,175,Yes,image/diodes/esd-protection/86311.png
VCAN36A2-03G,Enlarge,SOT-323,36,8,0.05,2.4,150,2,± 30,175,Yes,image/diodes/esd-protection/86164.png
VCAN36A2-03S,Enlarge,SOT-23,36,8,0.05,2.4,150,2,± 30,150,Yes,image/diodes/esd-protection/86207.png
VCAN36A2-HT5,Enlarge,DFN1110-3A,36,5.6,0.05,1.6,92,2,± 20,150,Yes,image/diodes/esd-protection/86320.png
VCAN36C2-03G,Enlarge,SOT-323,36,5.5,0.05,1.8,120,2,± 27,175,Yes,image/diodes/esd-protection/86312.png
VCUT03B1-DD1,Enlarge,LLP1006-2M,3.5,12.5,0.1,3.5,40,1,± 18,125,No,image/diodes/esd-protection/81148.png
VCUT03G1-SD0,Enlarge,CLP0603-2L,3.3,13,0.1,6,78,1,± 30,150,Yes,image/diodes/esd-protection/86315.png
VCUT0505B-HD1,Enlarge,LLP1006-2L,5,18,0.1,3.5,56,1,± 20,125,No,image/diodes/esd-protection/81852.png
VCUT05B1-DD1,Enlarge,LLP1006-2M,5.5,10,0.1,3,38,1,± 30,145,No,image/diodes/esd-protection/81149.png
VCUT05G1-SD0,Enlarge,CLP0603-2L,5.5,13,0.1,6,78,1,± 30,150,Yes,image/diodes/esd-protection/86190.png
VCUT0714A-HD1,Enlarge,LLP1006-2L,14,8,0.1,5,63,1,± 25,125,No,image/diodes/esd-protection/81801.png
VCUT0714A02V,Enlarge,SOD-523,14,8,0.1,4.6,70,1,± 25,150,Yes,image/diodes/esd-protection/86128.png
VCUT0714BHD1,Enlarge,DFN1006-2A,14,8,0.1,3.6,50,1,± 25,150,Yes,image/diodes/esd-protection/86177.png
VCUT07B1-HD1,Enlarge,LLP1006-2L,7,14,0.1,4,60,1,± 30,125,No,image/diodes/esd-protection/84137.png
VCUT10G1-SD0,Enlarge,CLP0603-2L,10,7.7,0.05,4,72,1,± 24,150,Yes,image/diodes/esd-protection/86316.png
VCUT15G1-SD0,Enlarge,CLP0603-2L,15,5.5,0.05,2.5,65,1,± 15,150,Yes,image/diodes/esd-protection/86317.png
VESD01A2-03G-G3,Enlarge,SOT-323,1,192,100,11,70,2,30,150,Yes,image/diodes/esd-protection/86150.png
VESD01C1-02V,Enlarge,SOD-523,1,192,100,11,70,1,30,150,Yes,image/diodes/esd-protection/86130.png
VESD01C1-HD1,Enlarge,DFN1006-2A,1,192,100,11,100,1,30,150,Yes,image/diodes/esd-protection/86185.png
VESD03A1B-HD1,Enlarge,LLP1006-2L,3.3,25,0.5,3.5,31,1,± 30,125,No,image/diodes/esd-protection/81851.png
VESD03A1C-HD1,Enlarge,LLP1006-2L,3.3,78,1,9.5,95,1,± 30,125,No,image/diodes/esd-protection/81797.png
VESD03A2-03G-G3,Enlarge,SOT-323,1,192,100,11,70,2,30,150,Yes,image/diodes/esd-protection/86150.png
VESD03C1-02V,Enlarge,SOD-523,3,112,20,11.6,100,1,30,150,Yes,image/diodes/esd-protection/86130.png
VESD03C1-HD1,Enlarge,DFN1006-2A,3,112,80,11.6,100,1,30,150,Yes,image/diodes/esd-protection/86185.png
VESD05A1-02V (-G3-,Enlarge,SOD-523,5,130,1,16,192,1,± 30,150,Yes,image/diodes/esd-protection/86129.png
VESD05A1A-HD1,Enlarge,LLP1006-2L,5,130,1,16,192,1,± 30,125,No,image/diodes/esd-protection/81800.png
VESD05A1B-HD1,Enlarge,LLP1006-2L,5,19,0.1,3,33,1,± 30,125,No,image/diodes/esd-protection/81796.png
VESD05A1C-HD1,Enlarge,LLP1006-2L,5,63,0.2,8,80,1,± 30,125,No,image/diodes/esd-protection/81798.png
VESD05A2-03G-G3,Enlarge,SOT-323,1,192,100,11,70,2,30,150,Yes,image/diodes/esd-protection/86150.png
VESD05A5A-HSF,Enlarge,LLP75-6L,5,13,0.1,2.5,33,5,± 15,125,No,image/diodes/esd-protection/81655.png
VESD05A6-HAF,Enlarge,LLP75-7L,5,40,1,5,60,6,± 30,125,No,image/diodes/esd-protection/81311.png
VESD05A6A-HAF,Enlarge,LLP75-7L,5,13,0.1,2.5,33,6,± 15,125,No,image/diodes/esd-protection/81880.png
VESD05A8A-HNH,Enlarge,LLP1713-9L,5,30,1,5,65,8,± 25,125,No,image/diodes/esd-protection/81629.png
VESD05B1-02V,Enlarge,SOD-523,5,19,0.1,3.5,40,1,± 30,150,Yes,image/diodes/esd-protection/86124.png
VESD05C1-02V,Enlarge,SOD-523,5,67,0.1,8.7,100,1,30,150,Yes,image/diodes/esd-protection/86130.png
VESD05C1-HD1,Enlarge,DFN1006-2A,5,67,0.1,8.7,100,1,30,150,Yes,image/diodes/esd-protection/86185.png
