Part Number▲▼,Product Image,Rev. Voltage(V)▲▼,IF(AV)(A)▲▼,VFat IF▲▼,IFSM(A)▲▼,trr(ns)▲▼,TJmax.(°C)▲▼,Package (JEDEC®) Code▲▼,CircuitConfiguration▲▼,AEC-Q101 Qualified▲▼,Image path
US1A,Enlarge,50,1,see datasheet,30,50,150,SMA (DO-214AC),Single,Yes,image/diodes/ultrafast-recovery/88768.png
US1B,Enlarge,100,1,see datasheet,30,50,150,SMA (DO-214AC),Single,Yes,image/diodes/ultrafast-recovery/88768.png
US1D,Enlarge,200,1,see datasheet,30,50,150,SMA (DO-214AC),Single,Yes,image/diodes/ultrafast-recovery/88768.png
US1G,Enlarge,400,1,see datasheet,30,50,150,SMA (DO-214AC),Single,Yes,image/diodes/ultrafast-recovery/88768.png
US1J,Enlarge,600,1,see datasheet,30,50,150,SMA (DO-214AC),Single,Yes,image/diodes/ultrafast-recovery/88768.png
US1K,Enlarge,800,1,see datasheet,30,50,150,SMA (DO-214AC),Single,Yes,image/diodes/ultrafast-recovery/88768.png
US1M,Enlarge,1000,1,see datasheet,30,50,150,SMA (DO-214AC),Single,Yes,image/diodes/ultrafast-recovery/88768.png
USB260,Enlarge,600,2,1.0,90,30,150,SMB (DO-214AA),Single,Yes,image/diodes/ultrafast-recovery/89483.png
VS-10CDU06-M3,Enlarge,600,2 x 5,1,110,35,175,SMPD (TO-263AC),Common cathode,No,image/diodes/ultrafast-recovery/96518.png
VS-10CDU06HM3,Enlarge,600,2 x 5,1,110,35,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/ultrafast-recovery/96519.png
VS-10CSH01-M3,Enlarge,100,2 x 5,0.75,130,25,175,SMPC (TO-277A),Common cathode,No,image/diodes/ultrafast-recovery/94994.png
VS-10CSH01HM3,Enlarge,100,2 x 5,0.75,130,25,175,SMPC (TO-277A),Common cathode,Yes,image/diodes/ultrafast-recovery/94995.png
VS-10CSH02-M3,Enlarge,200,2 x 5,0.75,130,25,175,SMPC (TO-277A),Common cathode,No,image/diodes/ultrafast-recovery/94974.png
VS-10CSH02HM3,Enlarge,200,2 x 5,0.75,130,25,175,SMPC (TO-277A),Common cathode,Yes,image/diodes/ultrafast-recovery/94975.png
VS-10CVH01-M3,Enlarge,100,2 x 5,0.74,100,16,175,SlimDPAK (TO-252AE),Common cathode,No,image/diodes/ultrafast-recovery/96098.png
VS-10CVH01HM3,Enlarge,100,2 x 5,0.74,100,16,175,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/ultrafast-recovery/96099.png
VS-10CVH02-M3,Enlarge,200,2 x 5,0.74,100,16,175,SlimDPAK (TO-252AE),Common cathode,No,image/diodes/ultrafast-recovery/96097.png
VS-10CVH02HM3,Enlarge,200,2 x 5,0.74,100,16,175,SlimDPAK (TO-252AE),Common cathode,Yes,image/diodes/ultrafast-recovery/95668.png
VS-10CWH02FN-M3,Enlarge,200,2 x 5,0.74,80,23,175,DPAK (TO-252AA),Common cathode,No,image/diodes/ultrafast-recovery/93263.png
VS-12CDU06-M3,Enlarge,600,2 x 6,0.89,200,45,175,SMPD (TO-263AC),Common cathode,No,image/diodes/ultrafast-recovery/95810.png
VS-12CDU06HM3,Enlarge,600,2 x 6,0.89,200,45,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/ultrafast-recovery/95811.png
VS-12EWH06FN-M3,Enlarge,600,12,1.34,110,18,175,DPAK (TO-252AA),Single,No,image/diodes/ultrafast-recovery/93254.png
VS-150EBU02-N4,Enlarge,200,150,0.79,1600,see datasheet,175,PowerTab®,Single,No,image/diodes/ultrafast-recovery/97194.png
VS-150EBU02HN4,Enlarge,200,150,0.77,1600,see datasheet,175,PowerTab®,Single,Yes,image/diodes/ultrafast-recovery/97195.png
VS-150EBU04-N4,Enlarge,400,150,0.9,1500,see datasheet,175,PowerTab®,Single,No,image/diodes/ultrafast-recovery/97192.png
VS-150EBU04HN4,Enlarge,400,150,0.9,1500,see datasheet,175,PowerTab®,Single,Yes,image/diodes/ultrafast-recovery/97193.png
VS-15AWL06FN-M3,Enlarge,600,15,0.85,180,60,175,DPAK (TO-252AA),Single,No,image/diodes/ultrafast-recovery/93568.png
VS-15ETH03-1-M3,Enlarge,300,15,0.85,140,40,175,TO-262AA,Single,No,image/diodes/ultrafast-recovery/96230.png
VS-15ETH03-M3,Enlarge,300,15,0.85,140,see datasheet,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96181.png
VS-15ETH03S-M3,Enlarge,300,15,0.85,140,40,175,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96230.png
VS-15ETH03SHM3,Enlarge,,,,,,,,,,image/diodes/ultrafast-recovery/96231.png
VS-15ETH06-1-M3,Enlarge,600,15,1.3,120,22,175,TO-262AA,Single,No,image/diodes/ultrafast-recovery/96301.png
VS-15ETH06-M3,Enlarge,600,15,1.3,120,22,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96174.png
VS-15ETH06FP-N3,Enlarge,600,15,1.3,180,22,175,TO-220 FullPAK 2L,Single,No,image/diodes/ultrafast-recovery/96426.png
VS-15ETH06HN3,Enlarge,600,15,2.2,120,22,175,TO-220AC,Single die,Yes,image/diodes/ultrafast-recovery/94767.png
VS-15ETH06S-M3,Enlarge,600,15,1.3,120,22,175,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96301.png
VS-15ETL06-1-M3,Enlarge,600,15,0.85,250,60,175,TO-262AA,Single,No,image/diodes/ultrafast-recovery/96315.png
VS-15ETL06-M3,Enlarge,600,15,0.85,250,60,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96175.png
VS-15ETL06FP-N3,Enlarge,600,15,0.85,250,60,175,TO-220 FullPAK 2L,Single,No,image/diodes/ultrafast-recovery/96427.png
VS-15ETL06HN3,Enlarge,600,15,0.85,250,60,175,TO-220AC,Single die,Yes,image/diodes/ultrafast-recovery/94816.png
VS-15ETL06S-M3,Enlarge,600,15,0.85,250,60,175,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96315.png
VS-15ETU12-M3,Enlarge,1200,15,2.25,150,44,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96207.png
VS-15ETU12HN3,Enlarge,1200,15,2.25,150,44,175,TO-220AC,Single die,Yes,image/diodes/ultrafast-recovery/95645.png
VS-15ETX06-1-M3,Enlarge,600,15,1.5,170,18,175,TO-262AA,Single,No,image/diodes/ultrafast-recovery/96302.png
VS-15ETX06-M3,Enlarge,600,15,1.5,170,18,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96176.png
VS-15ETX06FP-N3,Enlarge,600,15,1.5,170,18,175,TO-220 FullPAK 2L,Single,No,image/diodes/ultrafast-recovery/96428.png
VS-15ETX06S-M3,Enlarge,600,15,1.5,170,18,175,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96302.png
VS-15EVH06-M3,Enlarge,600,15,1.2,120,20,175,SlimDPAK (TO-252AE),Single,No,image/diodes/ultrafast-recovery/96159.png
VS-15EVH06HM3,Enlarge,600,15,1.2,120,20,175,SlimDPAK (TO-252AE),Single,Yes,image/diodes/ultrafast-recovery/96158.png
VS-15EVL06-M3,Enlarge,600,15,0.98,180,38,175,SlimDPAK (TO-252AE),Single,No,image/diodes/ultrafast-recovery/96161.png
VS-15EVL06HM3,Enlarge,600,15,0.98,180,38,175,SlimDPAK (TO-252AE),Single,Yes,image/diodes/ultrafast-recovery/96160.png
VS-15EVU06-M3,Enlarge,600,15,1.10,160,26,175,SlimDPAK (TO-252AE),Single,No,image/diodes/ultrafast-recovery/96163.png
VS-15EVU06HM3,Enlarge,600,15,1.10,160,26,175,SlimDPAK (TO-252AE),Single,Yes,image/diodes/ultrafast-recovery/96162.png
VS-15EWH06FN-M3,Enlarge,600,15,1.2,120,22,175,DPAK (TO-252AA),Single,No,image/diodes/ultrafast-recovery/93237.png
VS-15EWL06FN-M3,Enlarge,600,15,0.85,180,60,175,DPAK (TO-252AA),Single,No,image/diodes/ultrafast-recovery/93568.png
VS-15EWX06FN-M3,Enlarge,600,15,1.5,120,18,175,DPAK (TO-252AA),Single,No,image/diodes/ultrafast-recovery/93239.png
VS-16CDH02-M3,Enlarge,200,2 x 8,0.77,190,27,175,SMPD (TO-263AC),Common cathode,No,image/diodes/ultrafast-recovery/95812.png
VS-16CDH02HM3,Enlarge,200,2 x 8,0.77,190,27,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/ultrafast-recovery/95813.png
VS-16CDU06-M3,Enlarge,600,2 x 8,0.94,200,45,175,SMPD (TO-263AC),Common cathode,No,image/diodes/ultrafast-recovery/95814.png
VS-16CDU06HM3,Enlarge,600,2 x 8,0.94,200,45,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/ultrafast-recovery/95815.png
VS-16CTU04-1-M3,Enlarge,400,2 x 8,0.94,100,35,175,TO-262AA,Common cathode,No,image/diodes/ultrafast-recovery/96232.png
VS-16CTU04-M3,Enlarge,400,2 x 8,0.94,100,see datasheet,175,TO-220AB 3L,Common cathode,No,image/diodes/ultrafast-recovery/96197.png
VS-16CTU04HN3,Enlarge,400,2 x 8,0.94,100,24,175,TO-220AB,Common cathode,Yes,image/diodes/ultrafast-recovery/94720.png
VS-16CTU04S-M3,Enlarge,400,2 x 8,0.94,100,35,175,D2PAK (TO-263AB),Common cathode,No,image/diodes/ultrafast-recovery/96232.png
VS-16EDH02-M3,Enlarge,200,16,0.75,250,32,175,SMPD (TO-263AC),Single,No,image/diodes/ultrafast-recovery/95816.png
VS-16EDH02HM3,Enlarge,200,16,0.75,250,32,175,SMPD (TO-263AC),Single,Yes,image/diodes/ultrafast-recovery/95817.png
VS-16EDH06-M3,Enlarge,600,16,1.24,160,30,175,SMPD (TO-263AC),Single,No,image/diodes/ultrafast-recovery/96228.png
VS-16EDH06HM3,Enlarge,600,16,1.24,160,30,175,SMPD (TO-263AC),Single,Yes,image/diodes/ultrafast-recovery/96229.png
VS-16EDU06-M3,Enlarge,600,16,0.91,160,55,175,SMPD (TO-263AC),Single,No,image/diodes/ultrafast-recovery/95818.png
VS-16EDU06HM3,Enlarge,600,16,0.91,160,55,175,SMPD (TO-263AC),Single,Yes,image/diodes/ultrafast-recovery/95819.png
VS-1EAH02-M3,Enlarge,200,1,0.72,32,15,175,DFN3820A,Single,No,image/diodes/ultrafast-recovery/97082.png
VS-1EAH02HM3,Enlarge,200,1,0.72,32,15,175,DFN3820A,Single,Yes,image/diodes/ultrafast-recovery/97067.png
VS-1EFH01-M3,Enlarge,100,1,0.74,35,25,175,SMF (DO-219AB),Single,No,image/diodes/ultrafast-recovery/95783.png
VS-1EFH01HM3,Enlarge,100,1,0.74,35,25,175,SMF (DO-219AB),Single,Yes,image/diodes/ultrafast-recovery/95784.png
VS-1EFH02-M3,Enlarge,200,1,0.74,35,25,175,SMF (DO-219AB),Single,No,image/diodes/ultrafast-recovery/95785.png
VS-1EFH02HM3,Enlarge,200,1,0.74,35,25,175,SMF (DO-219AB),Single,Yes,image/diodes/ultrafast-recovery/95786.png
VS-1EFU06-M3,Enlarge,600,1,0.83,30,55,175,SMF (DO-219AB),Single,No,image/diodes/ultrafast-recovery/95864.png
VS-1EFU06HM3,Enlarge,600,1,0.83,30,55,175,SMF (DO-219AB),Single,Yes,image/diodes/ultrafast-recovery/95863.png
VS-1EMH01-M3,Enlarge,100,1,0.68,50,25,175,SMA (DO-214AC),Single die,No,image/diodes/ultrafast-recovery/95826.png
VS-1EMH01HM3,Enlarge,100,1,0.68,50,25,175,SMA (DO-214AC),Single,Yes,image/diodes/ultrafast-recovery/95827.png
VS-1EMH02-M3,Enlarge,200,1,0.68,50,25,175,SMA (DO-214AC),Single,No,image/diodes/ultrafast-recovery/95828.png
VS-1EMH02HM3,Enlarge,200,1,0.68,50,25,175,SMA (DO-214AC),Single,Yes,image/diodes/ultrafast-recovery/95829.png
VS-1ENH01-M3,Enlarge,100,1,0.69,40,23,175,SMP (DO-220AA),Single,No,image/diodes/ultrafast-recovery/96578.png
VS-1ENH01HM3,Enlarge,100,1,0.69,40,23,175,SMP (DO-220AA),Single,Yes,image/diodes/ultrafast-recovery/96544.png
VS-1ENH02-M3,Enlarge,200,1,0.69,40,23,175,SMP (DO-220AA),Single,No,image/diodes/ultrafast-recovery/96578.png
VS-1ENH02HM3,Enlarge,200,1,0.69,40,23,175,SMP (DO-220AA),Single,Yes,image/diodes/ultrafast-recovery/96544.png
VS-1EQH01-M3,Enlarge,100,1,0.72,30,33,175,MicroSMP (DO-219AD),Single,No,image/diodes/ultrafast-recovery/96592.png
VS-1EQH01HM3,Enlarge,100,1,0.72,30,33,175,MicroSMP (DO-219AD),Single,Yes,image/diodes/ultrafast-recovery/96563.png
VS-1EQH02-M3,Enlarge,200,1,0.72,30,33,175,MicroSMP (DO-219AD),Single,No,image/diodes/ultrafast-recovery/96592.png
VS-1EQH02HM3,Enlarge,200,1,0.72,30,33,175,MicroSMP (DO-219AD),Single,Yes,image/diodes/ultrafast-recovery/96563.png
VS-20CDH02-M3,Enlarge,200,2 x 10,0.77,210,25,175,SMPD (TO-263AC),Common cathode,No,image/diodes/ultrafast-recovery/95820.png
VS-20CDH02HM3,Enlarge,200,2 x 10,0.77,210,25,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/ultrafast-recovery/95821.png
VS-20CTH03-1-M3,Enlarge,300,2 x 10,0.85,120,35,175,TO-262AA,Common cathode,No,image/diodes/ultrafast-recovery/96386.png
VS-20CTH03-1HM3,Enlarge,300,2 x 10,0.85,120,23,175,TO-262AA,Common cathode,Yes,image/diodes/ultrafast-recovery/95671.png
VS-20CTH03-M3,Enlarge,300,2 x 10,0.85,120,see datasheet,175,TO-220AB 3L,Common cathode,No,image/diodes/ultrafast-recovery/96205.png
VS-20CTH03FP-N3,Enlarge,300,2 x 10,0.85,120,see datasheet,175,TO-220 FullPAK 3L,Common cathode,No,image/diodes/ultrafast-recovery/96432.png
VS-20CTH03S-M3,Enlarge,300,2 x 10,0.85,120,35,175,D2PAK (TO-263AB),Common cathode,No,image/diodes/ultrafast-recovery/96386.png
VS-20CTH03SHM3,Enlarge,300,2 x 10,0.85,120,23,175,D2PAK (TO-263AB),Common cathode,Yes,image/diodes/ultrafast-recovery/95671.png
VS-2EAH02-M3,Enlarge,200,2,0.71,54,15,175,DFN3820A,Single,No,image/diodes/ultrafast-recovery/97083.png
VS-2EAH02HM3,Enlarge,200,2,0.71,54,15,175,DFN3820A,Single,Yes,image/diodes/ultrafast-recovery/97069.png
VS-2EFH01-M3,Enlarge,100,2,0.75,50,25,175,SMF (DO-219AB),Single,No,image/diodes/ultrafast-recovery/95787.png
VS-2EFH01HM3,Enlarge,100,2,0.75,50,25,175,SMF (DO-219AB),Single,Yes,image/diodes/ultrafast-recovery/95788.png
VS-2EFH02-M3,Enlarge,200,2,0.75,50,25,175,SMF (DO-219AB),Single,No,image/diodes/ultrafast-recovery/95789.png
VS-2EFH02HM3,Enlarge,200,2,0.75,50,25,175,SMF (DO-219AB),Single,Yes,image/diodes/ultrafast-recovery/95790.png
VS-2EFU06-M3,Enlarge,600,2,0.95,30,55,175,SMF (DO-219AB),Single,No,image/diodes/ultrafast-recovery/95866.png
VS-2EFU06HM3,Enlarge,600,2,0.95,30,55,175,SMF (DO-219AB),Single,Yes,image/diodes/ultrafast-recovery/95865.png
VS-2EGH01-M3,Enlarge,100,2,0.66,70,24,175,SMB (DO-214AA),Single,No,image/diodes/ultrafast-recovery/96443.png
VS-2EGH02-M3,Enlarge,200,2,0.66,70,24,175,SMB (DO-214AA),Single,No,image/diodes/ultrafast-recovery/96444.png
VS-2EGH02HM3,Enlarge,200,2,0.66,70,24,175,SMB (DO-214AA),Single,Yes,image/diodes/ultrafast-recovery/94859.png
VS-2EJH01-M3,Enlarge,100,2,0.72,65,25,175,SlimSMA (DO-221AC),Single,No,image/diodes/ultrafast-recovery/94901.png
VS-2EJH01HM3,Enlarge,100,2,0.72,65,25,175,SlimSMA (DO-221AC),Single,Yes,image/diodes/ultrafast-recovery/94902.png
VS-2EJH02-M3,Enlarge,200,2,0.72,65,25,175,SlimSMA (DO-221AC),Single,No,image/diodes/ultrafast-recovery/94881.png
VS-2EJH02HM3,Enlarge,200,2,0.72,65,25,175,SlimSMA (DO-221AC),Single,Yes,image/diodes/ultrafast-recovery/94880.png
VS-2EMH01-M3,Enlarge,100,2,0.75,50,25,175,SMA (DO-214AC),Single,No,image/diodes/ultrafast-recovery/95830.png
VS-2EMH01HM3,Enlarge,100,2,0.75,50,25,175,SMA (DO-214AC),Single,Yes,image/diodes/ultrafast-recovery/95831.png
VS-2EMH02-M3,Enlarge,200,2,0.75,50,25,175,SMA (DO-214AC),Single,No,image/diodes/ultrafast-recovery/95832.png
VS-2EMH02HM3,Enlarge,200,2,0.75,50,25,175,SMA (DO-214AC),Single,Yes,image/diodes/ultrafast-recovery/95833.png
VS-2ENH01-M3,Enlarge,100,2,0.79,40,23,175,SMP (DO-220AA),Single,No,image/diodes/ultrafast-recovery/96577.png
VS-2ENH01HM3,Enlarge,100,2,0.79,40,23,175,SMP (DO-220AA),Single,Yes,image/diodes/ultrafast-recovery/96548.png
VS-2ENH02-M3,Enlarge,200,2,0.79,40,23,175,SMP (DO-220AA),Single,No,image/diodes/ultrafast-recovery/96577.png
VS-2ENH02HM3,Enlarge,200,2,0.79,40,23,175,SMP (DO-220AA),Single,Yes,image/diodes/ultrafast-recovery/96548.png
VS-2EQH01-M3,Enlarge,100,2,0.82,30,33,175,MicroSMP (DO-219AD),Single,No,image/diodes/ultrafast-recovery/96545.png
VS-2EQH01HM3,Enlarge,100,2,0.82,30,33,175,MicroSMP (DO-219AD),Single,Yes,image/diodes/ultrafast-recovery/96564.png
VS-2EQH02-M3,Enlarge,200,2,0.82,30,33,175,MicroSMP (DO-219AD),Single,No,image/diodes/ultrafast-recovery/96545.png
VS-2EQH02HM3,Enlarge,200,2,0.82,30,33,175,MicroSMP (DO-219AD),Single,Yes,image/diodes/ultrafast-recovery/96564.png
VS-2EYH01-M3,Enlarge,100,2,0.69,60,15,175,SlimSMAW (DO-221AD),Single,No,image/diodes/ultrafast-recovery/96514.png
VS-2EYH01HM3,Enlarge,100,2,0.69,60,15,175,SlimSMAW (DO-221AD),Single,Yes,image/diodes/ultrafast-recovery/96383.png
VS-2EYH02-M3,Enlarge,200,2,0.69,60,15,175,SlimSMAW (DO-221AD),Single,No,image/diodes/ultrafast-recovery/96514.png
VS-2EYH02HM3,Enlarge,200,2,0.69,60,15,175,SlimSMAW (DO-221AD),Single,Yes,image/diodes/ultrafast-recovery/96383.png
VS-30CDH06-M3,Enlarge,600,2 x 15,1.22,160,30,175,SMPD (TO-263AC),Common cathode,No,image/diodes/ultrafast-recovery/96625.png
VS-30CDH06HM3,Enlarge,600,2 x 15,1.22,160,30,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/ultrafast-recovery/96624.png
VS-30CDU06-M3,Enlarge,600,2 x 15,0.9,300,55,175,SMPD (TO-263AC),Common cathode,No,image/diodes/ultrafast-recovery/95822.png
VS-30CDU06HM3,Enlarge,600,2 x 15,0.9,300,55,175,SMPD (TO-263AC),Common cathode,Yes,image/diodes/ultrafast-recovery/95823.png
VS-30CPH03-N3,Enlarge,300,2 x 15,0.85,140,see datasheet,175,TO-247AC 3L,Common cathode,No,image/diodes/ultrafast-recovery/94012.png
VS-30CPU04-N3,Enlarge,400,2 x 15,0.93,200,see datasheet,175,TO-247AC 3L,Common cathode,No,image/diodes/ultrafast-recovery/94013.png
VS-30CPU04LHN3,Enlarge,400,2 x 15,0.93,200,36,175,TO-247AD 3L,Common cathode,Yes,image/diodes/ultrafast-recovery/96845.png
VS-30CTH02-1-M3,Enlarge,200,2 x 15,0.78,200,30,175,TO-262AA,Common cathode,No,image/diodes/ultrafast-recovery/96234.png
VS-30CTH02-M3,Enlarge,200,2 x 15,0.78,200,see datasheet,175,TO-220AB 3L,Common cathode,No,image/diodes/ultrafast-recovery/96206.png
VS-30CTH02FP-N3,Enlarge,200,2 x 15,0.78,200,see datasheet,175,TO-220 FullPAK 3L,Common cathode,No,image/diodes/ultrafast-recovery/96433.png
VS-30CTH02HN3,Enlarge,200,2 x 15,0.78,200,see datasheet,175,TO-220AB,Common cathode,Yes,image/diodes/ultrafast-recovery/96116.png
VS-30CTH02S-M3,Enlarge,200,2 x 15,0.78,200,30,175,D2PAK (TO-263AB),Common cathode,No,image/diodes/ultrafast-recovery/96234.png
VS-30CTH02SHM3,Enlarge,200,2 x 15,0.78,200,30,175,D2PAK (TO-263AB),Common cathode,Yes,image/diodes/ultrafast-recovery/96522.png
VS-30CTH03-M3,Enlarge,300,2 x 15,0.85,150,see datasheet,175,TO-220AB 3L,Common cathode,No,image/diodes/ultrafast-recovery/96198.png
VS-30EPH03-N3,Enlarge,300,30,0.9,300,see datasheet,175,TO-247AC 2L,Single,No,image/diodes/ultrafast-recovery/94017.png
VS-30EPH06-N3,Enlarge,600,30,1.34,300,see datasheet,175,TO-247AC 2L,Single,No,image/diodes/ultrafast-recovery/94018.png
VS-30EPH06HN3,Enlarge,600,30,1.34,300,see datasheet,175,TO-247AC modified,Single,Yes,image/diodes/ultrafast-recovery/94371.png
VS-30EPH06L-N3,Enlarge,600,30,1.34,300,see datasheet,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/96626.png
VS-30EPU12L-N3,Enlarge,1200,30,2.05,300,49,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/95927.png
VS-30EPU12LHN3,Enlarge,1200,30,2.05,300,49,175,TO-247AD 2L,Single die,Yes,image/diodes/ultrafast-recovery/95938.png
VS-30ETH06-1-M3,Enlarge,600,30,1.34,200,28,175,TO-262AA,Single,No,image/diodes/ultrafast-recovery/94236.png
VS-30ETH06-1-M3,Enlarge,600,30,1.34,200,28,175,TO-262AA,Single,No,image/diodes/ultrafast-recovery/96236.png
VS-30ETH06-M3,Enlarge,600,30,1.34,200,23,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96182.png
VS-30ETH06FP-N3,Enlarge,600,30,1.34,220,23,175,TO-220 FullPAK 2L,Single,No,image/diodes/ultrafast-recovery/96292.png
VS-30ETH06S-M3,Enlarge,600,30,1.34,200,28,175,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/94236.png
VS-30ETH06S-M3,Enlarge,600,30,1.34,200,28,175,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96236.png
VS-30ETU12-M3,Enlarge,1200,30,2.05,240,49,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/95990.png
VS-30ETU12THN3,Enlarge,1200,30,2.05,240,49,175,TO-220AC 2L,Single,Yes,image/diodes/ultrafast-recovery/96071.png
VS-3EAH02-M3,Enlarge,200,3,0.73,61,15,175,DFN3820A,Single,No,image/diodes/ultrafast-recovery/97084.png
VS-3EAH02HM3,Enlarge,200,3,0.73,61,15,175,DFN3820A,Single,Yes,image/diodes/ultrafast-recovery/97070.png
VS-3ECH01-M3,Enlarge,100,3,0.69,130,25,175,SMC (DO-214AB),Single,No,image/diodes/ultrafast-recovery/95834.png
VS-3ECH01HM3,Enlarge,100,3,0.69,130,25,175,SMC (DO-214AB),Single,Yes,image/diodes/ultrafast-recovery/95835.png
VS-3ECH02-M3,Enlarge,200,3,0.69,130,25,175,SMC (DO-214AB),Single,No,image/diodes/ultrafast-recovery/95836.png
VS-3ECH02HM3,Enlarge,200,3,0.69,130,25,175,SMC (DO-214AB),Single,Yes,image/diodes/ultrafast-recovery/95837.png
VS-3EGH06-M3,Enlarge,600,3,1.2,55,35,175,SMB (DO-214AA),Single,No,image/diodes/ultrafast-recovery/94773.png
VS-3EGU06-M3,Enlarge,600,3,0.99,55,41,175,SMB (DO-214AA),Single,No,image/diodes/ultrafast-recovery/94707.png
VS-3EGU06WHM3,Enlarge,600,3,0.99,55,41,175,SMB (DO-214AA),Single,Yes,image/diodes/ultrafast-recovery/95852.png
VS-3EJH01-M3,Enlarge,100,3,0.74,85,30,175,SlimSMA (DO-221AC),Single,No,image/diodes/ultrafast-recovery/94903.png
VS-3EJH01HM3,Enlarge,100,3,0.74,85,30,175,SlimSMA (DO-221AC),Single,Yes,image/diodes/ultrafast-recovery/94904.png
VS-3EJH02-M3,Enlarge,200,3,0.74,85,30,175,SlimSMA (DO-221AC),Single,No,image/diodes/ultrafast-recovery/94879.png
VS-3EJH02HM3,Enlarge,200,3,0.74,85,30,175,SlimSMA (DO-221AC),Single,Yes,image/diodes/ultrafast-recovery/94878.png
VS-3EJU06-M3,Enlarge,600,3,0.99,43,50,175,SlimSMA (DO-221AC),Single,No,image/diodes/ultrafast-recovery/96067.png
VS-3EJU06HM3,Enlarge,600,3,0.99,43,50,175,SlimSMA (DO-221AC),Single,Yes,image/diodes/ultrafast-recovery/96068.png
VS-3EMH06-M3,Enlarge,600,3,1.2,50,35,175,SMA (DO-214AC),Single,No,image/diodes/ultrafast-recovery/94776.png
VS-3EMU06-M3,Enlarge,600,3,0.99,55,41,175,SMA (DO-214AC),Single,No,image/diodes/ultrafast-recovery/93993.png
VS-3EYH01-M3,Enlarge,100,3,0.71,70,16,175,SlimSMAW (DO-221AD),Single,No,image/diodes/ultrafast-recovery/96515.png
VS-3EYH01HM3,Enlarge,100,3,0.71,70,16,175,SlimSMAW (DO-221AD),Single,Yes,image/diodes/ultrafast-recovery/96384.png
VS-3EYH02-M3,Enlarge,200,3,0.71,70,16,175,SlimSMAW (DO-221AD),Single,No,image/diodes/ultrafast-recovery/96515.png
VS-3EYH02HM3,Enlarge,200,3,0.71,70,16,175,SlimSMAW (DO-221AD),Single,Yes,image/diodes/ultrafast-recovery/96384.png
VS-4CSH01-M3,Enlarge,100,2 x 2,0.75,90,24,175,SMPC (TO-277A),Common cathode,No,image/diodes/ultrafast-recovery/94996.png
VS-4CSH01HM3,Enlarge,100,2 x 2,0.75,90,24,175,SMPC (TO-277A),Common cathode,Yes,image/diodes/ultrafast-recovery/94997.png
VS-4CSH02-M3,Enlarge,200,2 x 2,0.75,90,24,175,SMPC (TO-277A),Common cathode,No,image/diodes/ultrafast-recovery/94976.png
VS-4CSH02HM3,Enlarge,200,2 x 2,0.75,90,24,175,SMPC (TO-277A),Common cathode,Yes,image/diodes/ultrafast-recovery/94973.png
VS-4ECH06-M3,Enlarge,600,4,1.15,90,30,175,SMC (DO-214AB),Single,No,image/diodes/ultrafast-recovery/94777.png
VS-4ECU06-M3,Enlarge,600,4,0.88,120,45,175,SMC (DO-214AB),Single,No,image/diodes/ultrafast-recovery/94778.png
VS-4EGH06-M3,Enlarge,600,4,1.2,55,30,175,SMB (DO-214AA),Single,No,image/diodes/ultrafast-recovery/94775.png
VS-4EGU06-M3,Enlarge,600,4,0.94,100,45,175,SMB (DO-214AA),Single,No,image/diodes/ultrafast-recovery/94774.png
VS-4ESH01-M3,Enlarge,100,4,0.73,130,27,175,SMPC (TO-277A),Single,No,image/diodes/ultrafast-recovery/94998.png
VS-4ESH01HM3,Enlarge,100,4,0.73,130,27,175,SMPC (TO-277A),Single,Yes,image/diodes/ultrafast-recovery/94999.png
VS-4ESH02-M3,Enlarge,200,4,0.73,130,27,175,SMPC (TO-277A),Single,No,image/diodes/ultrafast-recovery/94978.png
VS-4ESH02HM3,Enlarge,200,4,0.73,130,27,175,SMPC (TO-277A),Single,Yes,image/diodes/ultrafast-recovery/94979.png
VS-4EVH01-M3,Enlarge,100,4,0.71,100,16,175,SlimDPAK (TO-252AE),Single,No,image/diodes/ultrafast-recovery/96100.png
