Part Number▲▼,Product Image,Rev. Voltage(V)▲▼,IF(AV)(A)▲▼,VFat IF▲▼,IFSM(A)▲▼,trr(ns)▲▼,TJmax.(°C)▲▼,Package (JEDEC®) Code▲▼,CircuitConfiguration▲▼,AEC-Q101 Qualified▲▼,Image path
ES1A,Enlarge,50,1,0.92,30,15,150,SMA (DO-214AC),Single,Yes,image/diodes/ultrafast-recovery/88586.png
ES1B,Enlarge,100,1,0.92,30,15,150,SMA (DO-214AC),Single,Yes,image/diodes/ultrafast-recovery/88586.png
ES1C,Enlarge,150,1,0.92,30,15,150,SMA (DO-214AC),Single,Yes,image/diodes/ultrafast-recovery/88586.png
ES1D,Enlarge,200,1,0.92,30,15,150,SMA (DO-214AC),Single,Yes,image/diodes/ultrafast-recovery/88586.png
ES1PB,Enlarge,100,1,0.92,30,15,150,SMP (DO-220AA),Single,Yes,image/diodes/ultrafast-recovery/88918.png
ES1PC,Enlarge,150,1,0.92,30,15,150,SMP (DO-220AA),Single,Yes,image/diodes/ultrafast-recovery/88918.png
ES1PD,Enlarge,200,1,0.92,30,15,150,SMP (DO-220AA),Single,Yes,image/diodes/ultrafast-recovery/88918.png
ES2A,Enlarge,50,2,0.90,50,20,150,SMB (DO-214AA),Single,Yes,image/diodes/ultrafast-recovery/88587.png
ES2B,Enlarge,100,2,0.90,50,20,150,SMB (DO-214AA),Single,Yes,image/diodes/ultrafast-recovery/88587.png
ES2C,Enlarge,150,2,0.90,50,20,150,SMB (DO-214AA),Single,Yes,image/diodes/ultrafast-recovery/88587.png
ES2D,Enlarge,200,2,0.90,50,20,150,SMB (DO-214AA),Single,Yes,image/diodes/ultrafast-recovery/88587.png
ES2F,Enlarge,300,2,1.1,50,35,150,SMB (DO-214AA),Single,Yes,image/diodes/ultrafast-recovery/88588.png
ES2F-M3,Enlarge,300,2,1.1,50,35,150,SMB (DO-214AA),Single,No,image/diodes/ultrafast-recovery/89484.png
ES2G,Enlarge,400,2,1.1,50,35,150,SMB (DO-214AA),Single,Yes,image/diodes/ultrafast-recovery/88588.png
ES2G-M3,Enlarge,400,2,1.1,50,35,150,SMB (DO-214AA),Single,No,image/diodes/ultrafast-recovery/89484.png
ES3A,Enlarge,50,3,0.90,100,20,150,SMC (DO-214AB),Single,Yes,image/diodes/ultrafast-recovery/88589.png
ES3B,Enlarge,100,3,0.90,100,20,150,SMC (DO-214AB),Single,Yes,image/diodes/ultrafast-recovery/88589.png
ES3C,Enlarge,150,3,0.90,100,20,150,SMC (DO-214AB),Single,Yes,image/diodes/ultrafast-recovery/88589.png
ES3D,Enlarge,200,3,0.90,100,20,150,SMC (DO-214AB),Single,Yes,image/diodes/ultrafast-recovery/88589.png
ES3F,Enlarge,300,3,1.1,100,35,150,SMC (DO-214AB),Single,Yes,image/diodes/ultrafast-recovery/88590.png
ES3G,Enlarge,400,3,1.1,100,35,150,SMC (DO-214AB),Single,Yes,image/diodes/ultrafast-recovery/88590.png
ESH1B,Enlarge,100,1,0.90,50,25,175,SMA (DO-214AC),Single,Yes,image/diodes/ultrafast-recovery/88890.png
ESH1C,Enlarge,150,1,0.90,50,25,175,SMA (DO-214AC),Single,Yes,image/diodes/ultrafast-recovery/88890.png
ESH1D,Enlarge,200,1,0.90,50,25,175,SMA (DO-214AC),Single,Yes,image/diodes/ultrafast-recovery/88890.png
ESH1PB,Enlarge,100,1,0.90,50,25,175,SMP (DO-220AA),Single,Yes,image/diodes/ultrafast-recovery/88895.png
ESH1PC,Enlarge,150,1,0.90,50,25,175,SMP (DO-220AA),Single,Yes,image/diodes/ultrafast-recovery/88895.png
ESH1PD,Enlarge,200,1,0.90,50,25,175,SMP (DO-220AA),Single,Yes,image/diodes/ultrafast-recovery/88895.png
ESH2B,Enlarge,100,2,0.93,60,25,175,SMB (DO-214AA),Single,Yes,image/diodes/ultrafast-recovery/84649.png
ESH2B-M3,Enlarge,100,2,0.93,60,25,175,SMB (DO-214AA),Single,No,image/diodes/ultrafast-recovery/89482.png
ESH2C,Enlarge,150,2,0.93,60,25,175,SMB (DO-214AA),Single,Yes,image/diodes/ultrafast-recovery/84649.png
ESH2C-M3,Enlarge,150,2,0.93,60,25,175,SMB (DO-214AA),Single,No,image/diodes/ultrafast-recovery/89482.png
ESH2D,Enlarge,200,2,0.93,60,25,175,SMB (DO-214AA),Single,Yes,image/diodes/ultrafast-recovery/84649.png
ESH2D-M3,Enlarge,200,2,0.93,60,25,175,SMB (DO-214AA),Single,No,image/diodes/ultrafast-recovery/89482.png
ESH2PB,Enlarge,100,2,0.75,50,25,175,SMP (DO-220AA),Single,Yes,image/diodes/ultrafast-recovery/89016.png
ESH2PC,Enlarge,150,2,0.75,50,25,175,SMP (DO-220AA),Single,Yes,image/diodes/ultrafast-recovery/89016.png
ESH2PD,Enlarge,200,2,0.75,50,25,175,SMP (DO-220AA),Single,Yes,image/diodes/ultrafast-recovery/89016.png
ESH3B,Enlarge,100,3,0.90,125,25,175,SMC (DO-214AB),Single,Yes,image/diodes/ultrafast-recovery/84648.png
ESH3B-M3,Enlarge,100,3,0.90,125,25,175,SMC (DO-214AB),Single,No,image/diodes/ultrafast-recovery/88461.png
ESH3C,Enlarge,150,3,0.90,125,25,175,SMC (DO-214AB),Single,Yes,image/diodes/ultrafast-recovery/84648.png
ESH3C-M3,Enlarge,150,3,0.90,125,25,175,SMC (DO-214AB),Single,No,image/diodes/ultrafast-recovery/88461.png
ESH3D,Enlarge,200,3,0.90,125,25,175,SMC (DO-214AB),Single,Yes,image/diodes/ultrafast-recovery/84648.png
ESH3D-M3,Enlarge,200,3,0.90,125,25,175,SMC (DO-214AB),Single,No,image/diodes/ultrafast-recovery/88461.png
FEP16xT,Enlarge,50 to 600,2 x 8.0,see datasheet,200,35,150,TO-220AB,Common cathode,Yes,image/diodes/ultrafast-recovery/88596.png
FEP30xP-E3,Enlarge,50,30,see datasheet,300,35,150,TO-3P (TO-247AD),Common cathode,No,image/diodes/ultrafast-recovery/88597.png
FEP30xP-E3,Enlarge,100,30,see datasheet,300,35,150,TO-3P (TO-247AD),Common cathode,No,image/diodes/ultrafast-recovery/88597.png
FEP30xP-E3,Enlarge,150,30,see datasheet,300,35,150,TO-3P (TO-247AD),Common cathode,No,image/diodes/ultrafast-recovery/88597.png
FEP30xP-E3,Enlarge,200,30,see datasheet,300,35,150,TO-3P (TO-247AD),Common cathode,No,image/diodes/ultrafast-recovery/88597.png
FEP30xP-E3,Enlarge,300,30,see datasheet,300,35,150,TO-3P (TO-247AD),Common cathode,No,image/diodes/ultrafast-recovery/88597.png
FEP30xP-E3,Enlarge,400,30,see datasheet,300,35,150,TO-3P (TO-247AD),Common cathode,No,image/diodes/ultrafast-recovery/88597.png
FEP30xP-E3,Enlarge,500,30,see datasheet,300,35,150,TO-3P (TO-247AD),Common cathode,No,image/diodes/ultrafast-recovery/88597.png
FEP30xP-E3,Enlarge,600,30,see datasheet,300,35,150,TO-3P (TO-247AD),Common cathode,No,image/diodes/ultrafast-recovery/88597.png
FEPB16xT,Enlarge,50 to 600,2 x 8.0,see datasheet,200,35,150,D2PAK (TO-263AB),Common cathode,Yes,image/diodes/ultrafast-recovery/88596.png
FEPF16xT,Enlarge,300 to 600,2 x 8.0,see datasheet,125,50,150,ITO-220AB,Common cathode,Yes,image/diodes/ultrafast-recovery/98357.png
FES16xT,Enlarge,50 to 600,16,see datasheet,250,35,150,TO-220AC,Single,Yes,image/diodes/ultrafast-recovery/88599.png
FES8xT,Enlarge,50 to 600,8,see datasheet,125,35,150,TO-220AC,Single,Yes,image/diodes/ultrafast-recovery/88600.png
FESB16xT,Enlarge,50 to 600,16,see datasheet,250,35,150,D2PAK (TO-263AB),Single,Yes,image/diodes/ultrafast-recovery/88599.png
FESB8xT,Enlarge,50 to 600,8,see datasheet,125,35,150,D2PAK (TO-263AB),Single,Yes,image/diodes/ultrafast-recovery/88600.png
FESF16xT,Enlarge,50 to 600,16,see datasheet,250,35,150,ITO-220AC,Single,Yes,image/diodes/ultrafast-recovery/88599.png
FESF8xT,Enlarge,50 to 600,8,see datasheet,125,35,150,ITO-220AC,Single,Yes,image/diodes/ultrafast-recovery/88600.png
GI1401,Enlarge,50,8,0.895,125,35,150,TO-220AC,Single,No,image/diodes/ultrafast-recovery/88623.png
GI1402,Enlarge,100,8,0.895,125,35,150,TO-220AC,Single,No,image/diodes/ultrafast-recovery/88623.png
GI1403,Enlarge,150,8,0.895,125,35,150,TO-220AC,Single,No,image/diodes/ultrafast-recovery/88623.png
GI1404,Enlarge,200,8,0.895,125,35,150,TO-220AC,Single,No,image/diodes/ultrafast-recovery/88623.png
GI2401,Enlarge,50,16,0.895,125,35,150,TO-220AB,Common cathode,No,image/diodes/ultrafast-recovery/88624.png
GI2402,Enlarge,100,16,0.895,125,35,150,TO-220AB,Common cathode,No,image/diodes/ultrafast-recovery/88624.png
GI2403,Enlarge,150,16,0.895,125,35,150,TO-220AB,Common cathode,No,image/diodes/ultrafast-recovery/88624.png
GI2404,Enlarge,200,16,0.895,125,35,150,TO-220AB,Common cathode,No,image/diodes/ultrafast-recovery/88624.png
GIB1404,Enlarge,200,8,0.895,125,35,150,D2PAK (TO-263AB),Single,Yes,image/diodes/ultrafast-recovery/88632.png
GIB2404,Enlarge,200,16,0.895,125,35,150,D2PAK (TO-263AB),Common cathode,Yes,image/diodes/ultrafast-recovery/88633.png
MUH1PB,Enlarge,100,1,0.82,10,25,175,MicroSMP (DO-219AD),Single,Yes,image/diodes/ultrafast-recovery/89124.png
MUH1PC,Enlarge,150,1,0.82,10,25,175,MicroSMP (DO-219AD),Single,Yes,image/diodes/ultrafast-recovery/89124.png
MUR420,Enlarge,200,4,0.710,150,25,175,DO-201AD,Single,No,image/diodes/ultrafast-recovery/88685.png
MUR440,Enlarge,400,4,1.05,150,50,175,DO-201AD,Single,No,image/diodes/ultrafast-recovery/88686.png
MUR460,Enlarge,600,4,1.05,150,50,175,DO-201AD,Single,No,image/diodes/ultrafast-recovery/88686.png
MURS120,Enlarge,200,1,0.71,40,25,175,SMB (DO-214AA),Single,Yes,image/diodes/ultrafast-recovery/88687.png
MURS120-M3,Enlarge,200,1,0.71,40,25,175,SMB (DO-214AA),Single,No,image/diodes/ultrafast-recovery/89485.png
MURS140,Enlarge,400,1,1.05,35,50,175,SMB (DO-214AA),Single,Yes,image/diodes/ultrafast-recovery/88688.png
MURS140-M3,Enlarge,400,1,1.05,35,50,175,SMB (DO-214AA),Single,No,image/diodes/ultrafast-recovery/89462.png
MURS160,Enlarge,600,1,1.05,35,50,175,SMB (DO-214AA),Single,Yes,image/diodes/ultrafast-recovery/88688.png
MURS160-M3,Enlarge,600,1,1.05,35,50,175,SMB (DO-214AA),Single,No,image/diodes/ultrafast-recovery/89462.png
MURS240,Enlarge,400,2,1.20,35,50,175,SMB (DO-214AA),Single,Yes,image/diodes/ultrafast-recovery/88971.png
