Series▲▼,Product Image,Package (JEDEC®) Code▲▼,VRRM(V)▲▼,IRat VR(nA at V)▲▼,VFat IF(V at mA)▲▼,trr(ns)▲▼,Circuit Configuration▲▼,AEC-Q101 Qualified▲▼,Image path
"BAV19WS-G, BAV20WS-G, BAV21WS-G",Enlarge,SOD-323,120,100 at 100,1 at 100,50,Single,Yes,image/diodes/switching/83423.png
"BAV19WS-G, BAV20WS-G, BAV21WS-G",Enlarge,SOD-323,200,100 at 150,1 at 100,50,Single,Yes,image/diodes/switching/83423.png
"BAV200, BAV201, BAV202, BAV203",Enlarge,QuadroMELF (SOD-80),250,100 at 200,1 at 100,50,Single,No,image/diodes/switching/85544.png
"BAV200, BAV201, BAV202, BAV203",Enlarge,QuadroMELF (SOD-80),60,100 at 50,1 at 100,50,Single,No,image/diodes/switching/85544.png
"BAV200, BAV201, BAV202, BAV203",Enlarge,QuadroMELF (SOD-80),120,100 at 100,1 at 100,50,Single,No,image/diodes/switching/85544.png
"BAV200, BAV201, BAV202, BAV203",Enlarge,QuadroMELF (SOD-80),200,100 at 150,1 at 100,50,Single,No,image/diodes/switching/85544.png
BAV23C,Enlarge,SOT-23,250,100 at 200,1 at 100,50,10 000,Yes,image/diodes/switching/86374.png
BAV23C,Enlarge,SOT-23,250,100 at 200,1 at 100,50,Common cathode,Yes,image/diodes/switching/86374.png
BAV23C-G,Enlarge,SOT-23,250,100 at 200,1 at 100,50,Common cathode,Yes,image/diodes/switching/86375.png
"BAV300, BAV301, BAV302, BAV303",Enlarge,MicroMELF,60,100 at 50,1 at 100,50,Single,No,image/diodes/switching/85545.png
"BAV300, BAV301, BAV302, BAV303",Enlarge,MicroMELF,120,100 at 100,1 at 100,50,Single,No,image/diodes/switching/85545.png
"BAV300, BAV301, BAV302, BAV303",Enlarge,MicroMELF,200,100 at 150,1 at 100,50,Single,No,image/diodes/switching/85545.png
"BAV300, BAV301, BAV302, BAV303",Enlarge,MicroMELF,250,100 at 200,1 at 100,50,Single,No,image/diodes/switching/85545.png
BAV70,Enlarge,SOT-23,70,100 at 70,0.715 at 1,6,Common cathode,Yes,image/diodes/switching/86376.png
BAV70-G,Enlarge,SOT-23,70,100 at 70,0.715 at 1,6,Common cathode,Yes,image/diodes/switching/86377.png
BAV99,Enlarge,SOT-23,70,100 at 70,0.715 at 1,6,Dual serial,Yes,image/diodes/switching/86378.png
BAV99-G,Enlarge,SOT-23,70,100 at 70,0.715 at 1,6,Dual serial,Yes,image/diodes/switching/86379.png
BAW27,Enlarge,DO-35 (DO-204AH),75,100 at 60,0.750 at 10,6,Single,No,image/diodes/switching/85548.png
BAW56,Enlarge,SOT-23,70,100 at 70,0.715 at 1,6,Common anode,Yes,image/diodes/switching/86380.png
BAW56-G,Enlarge,SOT-23,70,100 at 70,0.715 at 1,6,Common anode,Yes,image/diodes/switching/86381.png
BAW75,Enlarge,DO-35 (DO-204AH),35,100 at 25,1 at 30,4,Single,No,image/diodes/switching/85550.png
BAW76,Enlarge,DO-35 (DO-204AH),75,100 at 50,1 at 100,4,Single,No,image/diodes/switching/85551.png
GSD2004A,Enlarge,SOT-23,300,100 at 240,0.87 at 20,50,Common anode,Yes,image/diodes/switching/86382.png
GSD2004A-G,Enlarge,SOT-23,300,100 at 240,0.87 at 20,50,Common anode,Yes,image/diodes/switching/86383.png
GSD2004C,Enlarge,SOT-23,300,100 at 240,0.87 at 20,50,Common anode,Yes,image/diodes/switching/86384.png
GSD2004C-G,Enlarge,SOT-23,300,100 at 240,0.87 at 20,50,Common anode,Yes,image/diodes/switching/86385.png
GSD2004S,Enlarge,SOT-23,300,100 at 240,0.87 at 20,50,Dual serial,Yes,image/diodes/switching/86386.png
GSD2004S-G,Enlarge,SOT-23,300,100 at 240,0.87 at 20,50,Dual serial,Yes,image/diodes/switching/86387.png
GSD2004W,Enlarge,SOD-123,300,100 at 240,1 at 100,50,Single,Yes,image/diodes/switching/86388.png
