Series▲▼,Product Image,IF(AV)(A) at Ths/TC(°C)▲▼,IFSMat 50 Hz(A)▲▼,IFSMat 60 Hz(A)▲▼,VRRM(V)▲▼,trr(µs)▲▼,TJ(°C)▲▼,VFM(V)▲▼,Package (JEDEC®) Code▲▼,Circuit Configuration▲▼,Image path
VS-12F(R) Series,Enlarge,12 at 144,265,280,1200,,-65 to +175,1.26,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93487.png
VS-12F(R) Series,Enlarge,12 at 144,265,280,1000,,-65 to +175,1.26,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93487.png
VS-12F(R) Series,Enlarge,12 at 144,265,280,800,,-65 to +175,1.26,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93487.png
VS-12F(R) Series,Enlarge,12 at 144,265,280,600,,-65 to +175,1.26,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93487.png
VS-12F(R) Series,Enlarge,12 at 144,265,280,400,,-65 to +175,1.26,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93487.png
VS-12F(R) Series,Enlarge,12 at 144,265,280,200,,-65 to +175,1.26,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93487.png
VS-12F(R) Series,Enlarge,12 at 144,265,280,100,,-65 to +175,1.26,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93487.png
VS-150U(R).. Series,Enlarge,150 at 125,3000,3140,1200,,-40 to +180,1.47,DO-8 (DO-205AA),Single,image/diodes/med-high-diodes/93490.png
VS-150U(R).. Series,Enlarge,150 at 125,3000,3140,1000,,-40 to +180,1.47,DO-8 (DO-205AA),Single,image/diodes/med-high-diodes/93490.png
VS-150U(R).. Series,Enlarge,150 at 125,3000,3140,800,,-40 to +180,1.47,DO-8 (DO-205AA),Single,image/diodes/med-high-diodes/93490.png
VS-150U(R).. Series,Enlarge,150 at 125,3000,3140,600,,-40 to +180,1.47,DO-8 (DO-205AA),Single,image/diodes/med-high-diodes/93490.png
VS-16F(R) Series,Enlarge,16 at 140,350,370,1200,,-65 to +175,1.23,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93491.png
VS-16F(R) Series,Enlarge,16 at 140,350,370,1000,,-65 to +175,1.23,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93491.png
VS-16F(R) Series,Enlarge,16 at 140,350,370,800,,-65 to +175,1.23,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93491.png
VS-16F(R) Series,Enlarge,16 at 140,350,370,600,,-65 to +175,1.23,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93491.png
VS-16F(R) Series,Enlarge,16 at 140,350,370,400,,-65 to +175,1.23,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93491.png
VS-16F(R) Series,Enlarge,16 at 140,350,370,200,,-65 to +175,1.23,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93491.png
VS-16F(R) Series,Enlarge,16 at 140,350,370,100,,-65 to +175,1.23,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93491.png
"VS-1N1...A, VS-1N36..A Series",Enlarge,12 at 150,230,240,1000,,-65 to +200,1.35,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93493.png
"VS-1N1...A, VS-1N36..A Series",Enlarge,12 at 150,230,240,900,,-65 to +200,1.35,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93493.png
"VS-1N1...A, VS-1N36..A Series",Enlarge,12 at 150,230,240,800,,-65 to +200,1.35,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93493.png
"VS-1N1...A, VS-1N36..A Series",Enlarge,12 at 150,230,240,700,,-65 to +200,1.35,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93493.png
"VS-1N1...A, VS-1N36..A Series",Enlarge,12 at 150,230,240,600,,-65 to +200,1.35,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93493.png
"VS-1N1...A, VS-1N36..A Series",Enlarge,12 at 150,230,240,500,,-65 to +200,1.35,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93493.png
"VS-1N1...A, VS-1N36..A Series",Enlarge,12 at 150,230,240,400,,-65 to +200,1.35,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93493.png
"VS-1N1...A, VS-1N36..A Series",Enlarge,12 at 150,230,240,200,,-65 to +200,1.35,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93493.png
"VS-1N1...A, VS-1N36..A Series",Enlarge,12 at 150,230,240,300,,-65 to +200,1.35,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93493.png
"VS-1N1...A, VS-1N36..A Series",Enlarge,12 at 150,230,240,100,,-65 to +200,1.35,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93493.png
"VS-1N1...A, VS-1N36..A Series",Enlarge,12 at 150,230,240,150,,-65 to +200,1.35,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93493.png
"VS-1N1...A, VS-1N36..A Series",Enlarge,12 at 150,230,240,50,,-65 to +200,1.35,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93493.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,480,500,50,,-65 to +200,1.7,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,380,400,50,,-65 to +200,1.8,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,40 at 150,765,800,50,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,60 at 140,860,900,50,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,480,500,100,,-65 to +200,1.7,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,380,400,100,,-65 to +200,1.8,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,40 at 150,765,800,100,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,60 at 140,860,900,100,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,480,500,150,,-65 to +200,1.7,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,380,400,150,,-65 to +200,1.8,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,40 at 150,765,800,150,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,60 at 140,860,900,150,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,480,500,200,,-65 to +200,1.7,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,380,400,200,,-65 to +200,1.8,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,40 at 150,765,800,200,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,60 at 140,860,900,200,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,480,500,300,,-65 to +200,1.7,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,380,400,300,,-65 to +200,1.8,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,40 at 150,765,800,300,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,60 at 140,860,900,300,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,480,500,400,,-65 to +200,1.7,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,380,400,400,,-65 to +200,1.8,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,40 at 150,765,800,400,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,60 at 140,860,900,400,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,480,500,500,,-65 to +200,1.7,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,380,400,500,,-65 to +200,1.8,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,40 at 150,765,800,500,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,60 at 140,860,900,500,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,480,500,600,,-65 to +200,1.7,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,380,400,600,,-65 to +200,1.8,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,40 at 150,765,800,600,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,60 at 140,860,900,600,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,480,500,700,,-65 to +200,1.7,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,380,400,700,,-65 to +200,1.8,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,40 at 150,765,800,700,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,60 at 140,860,900,700,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,480,500,800,,-65 to +200,1.7,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,380,400,800,,-65 to +200,1.8,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,40 at 150,765,800,800,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,60 at 140,860,900,800,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,480,500,900,,-65 to +200,1.7,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,380,400,900,,-65 to +200,1.8,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,40 at 150,765,800,900,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,60 at 140,860,900,900,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,480,500,1000,,-65 to +200,1.7,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,35 at 140,380,400,1000,,-65 to +200,1.8,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,40 at 150,765,800,1000,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
"VS-1N1183, VS-1N3765, VS-1N1183A, VS-1N2128A Series",Enlarge,60 at 140,860,900,1000,,-65 to +200,1.3,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93492.png
VS-1N3208 Series,Enlarge,15 at 150,239,250,600,,-65 to +175,1.5,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93496.png
VS-1N3208 Series,Enlarge,15 at 150,239,250,500,,-65 to +175,1.5,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93496.png
VS-1N3208 Series,Enlarge,15 at 150,239,250,400,,-65 to +175,1.5,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93496.png
VS-1N3208 Series,Enlarge,15 at 150,239,250,300,,-65 to +175,1.5,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93496.png
VS-1N3208 Series,Enlarge,15 at 150,239,250,200,,-65 to +175,1.5,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93496.png
VS-1N3208 Series,Enlarge,15 at 150,239,250,100,,-65 to +175,1.5,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93496.png
VS-1N3208 Series,Enlarge,15 at 150,239,250,50,,-65 to +175,1.5,DO-5 (DO-203AB),Single,image/diodes/med-high-diodes/93496.png
"VS-1N3879(R), VS-1N3889(R) Series",Enlarge,6 at 100,72,75,50,,-65 to +150,1.4,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93144.png
"VS-1N3879(R), VS-1N3889(R) Series",Enlarge,6 at 100,72,75,100,,-65 to +150,1.4,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93144.png
"VS-1N3879(R), VS-1N3889(R) Series",Enlarge,6 at 100,72,75,200,,-65 to +150,1.4,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93144.png
"VS-1N3879(R), VS-1N3889(R) Series",Enlarge,6 at 100,72,75,300,,-65 to +150,1.4,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93144.png
"VS-1N3879(R), VS-1N3889(R) Series",Enlarge,6 at 100,72,75,400,,-65 to +150,1.4,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93144.png
VS-240U(R).. Series,Enlarge,320 at 100,4500,4700,1200,,-40 to +180,1.33,DO-9 (DO-205AB),Single,image/diodes/med-high-diodes/93504.png
VS-240U(R).. Series,Enlarge,320 at 100,4500,4700,1000,,-40 to +180,1.33,DO-9 (DO-205AB),Single,image/diodes/med-high-diodes/93504.png
VS-240U(R).. Series,Enlarge,320 at 100,4500,4700,800,,-40 to +180,1.33,DO-9 (DO-205AB),Single,image/diodes/med-high-diodes/93504.png
VS-240U(R).. Series,Enlarge,320 at 100,4500,4700,600,,-40 to +180,1.33,DO-9 (DO-205AB),Single,image/diodes/med-high-diodes/93504.png
VS-25F(R) Series,Enlarge,25 at 120,356,373,1200,,-65 to +175,1.30,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93506.png
VS-25F(R) Series,Enlarge,25 at 120,356,373,1000,,-65 to +175,1.30,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93506.png
VS-25F(R) Series,Enlarge,25 at 120,356,373,800,,-65 to +175,1.30,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93506.png
VS-25F(R) Series,Enlarge,25 at 120,356,373,600,,-65 to +175,1.30,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93506.png
VS-25F(R) Series,Enlarge,25 at 120,356,373,400,,-65 to +175,1.30,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93506.png
VS-25F(R) Series,Enlarge,25 at 120,356,373,200,,-65 to +175,1.30,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93506.png
VS-25F(R) Series,Enlarge,25 at 120,356,373,100,,-65 to +175,1.30,DO-4 (DO-203AA),Single,image/diodes/med-high-diodes/93506.png
VS-400U(R) Series,Enlarge,400 at 120,8250,8640,1600,,-40 to +200,1.62,DO-9 (DO-205AB),Single,image/diodes/med-high-diodes/93510.png
VS-400U(R) Series,Enlarge,400 at 120,8250,8640,1200,,-40 to +200,1.62,DO-9 (DO-205AB),Single,image/diodes/med-high-diodes/93510.png
