Part Number▲▼,Product Image,Rev. Voltage(V)▲▼,IF(AV)(A)▲▼,VFat IF(V)▲▼,IFSM(A)▲▼,trr(ns)▲▼,TJmax.(°C)▲▼,Package (JEDEC®) Code▲▼,CircuitConfiguration▲▼,Snap factor▲▼,AEC-Q101Qualified▲▼,Image path
BYW76,Enlarge,600,3,1.1 at 3,100,200,175,SOD-64,,,No,image/diodes/standard-recovery/86050.png
BYW82,Enlarge,200,3,1 at 3,100,5000,175,SOD-64,,,Yes,image/diodes/standard-recovery/86051.png
BYW83,Enlarge,400,3,1 at 3,100,5000,175,SOD-64,,,Yes,image/diodes/standard-recovery/86051.png
BYW84,Enlarge,600,3,1 at 3,100,5000,175,SOD-64,,,Yes,image/diodes/standard-recovery/86051.png
BYW85,Enlarge,800,3,1 at 3,100,5000,175,SOD-64,,,Yes,image/diodes/standard-recovery/86051.png
BYW86,Enlarge,1000,3,1 at 3,100,5000,175,SOD-64,,,Yes,image/diodes/standard-recovery/86051.png
BYX82,Enlarge,200,2,1 at 1,50,4000,175,SOD-57,,,No,image/diodes/standard-recovery/86052.png
BYX83,Enlarge,400,2,1 at 1,50,4000,175,SOD-57,,,No,image/diodes/standard-recovery/86052.png
BYX84,Enlarge,600,2,1 at 1,50,4000,175,SOD-57,,,No,image/diodes/standard-recovery/86052.png
BYX85,Enlarge,800,2,1 at 1,50,4000,175,SOD-57,,,No,image/diodes/standard-recovery/86052.png
BYX86,Enlarge,1000,2,1 at 1,50,4000,175,SOD-57,,,No,image/diodes/standard-recovery/86052.png
GF1A,Enlarge,50,1,see datasheet,30,,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/98394.png
GF1A,Enlarge,50,1,see datasheet,30,,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/88617.png
GF1B,Enlarge,100,1,see datasheet,30,,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/98394.png
GF1B,Enlarge,100,1,see datasheet,30,,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/88617.png
GF1D,Enlarge,200,1,see datasheet,30,,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/98394.png
GF1D,Enlarge,200,1,see datasheet,30,,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/88617.png
GF1G,Enlarge,400,1,see datasheet,30,,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/98394.png
GF1G,Enlarge,400,1,see datasheet,30,,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/88617.png
GF1J,Enlarge,600,1,see datasheet,30,,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/98394.png
GF1J,Enlarge,600,1,see datasheet,30,,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/88617.png
GF1K,Enlarge,800,1,see datasheet,30,,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/98394.png
GF1K,Enlarge,800,1,see datasheet,30,,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/88617.png
GF1M,Enlarge,1000,1,see datasheet,30,,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/98394.png
GF1M,Enlarge,1000,1,see datasheet,30,,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/88617.png
GI500,Enlarge,50,3,1.1,100,,150,DO-201AD,Single die,,No,image/diodes/standard-recovery/88626.png
GI501,Enlarge,100,3,1.1,100,,150,DO-201AD,Single die,,No,image/diodes/standard-recovery/88626.png
GI502,Enlarge,200,3,1.1,100,,150,DO-201AD,Single die,,No,image/diodes/standard-recovery/88626.png
GI504,Enlarge,400,3,1.1,100,,150,DO-201AD,Single die,,No,image/diodes/standard-recovery/88626.png
GI506,Enlarge,600,3,1.1,100,,150,DO-201AD,Single die,,No,image/diodes/standard-recovery/88626.png
GI508,Enlarge,800,3,1.1,100,,150,DO-201AD,Single die,,No,image/diodes/standard-recovery/88626.png
GI510,Enlarge,1000,3,1.1,100,,150,DO-201AD,Single die,,No,image/diodes/standard-recovery/88626.png
GI750,Enlarge,50,6,see datasheet,400,,150,P600,Single die,,No,image/diodes/standard-recovery/88627.png
GI751,Enlarge,100,6,see datasheet,400,,150,P600,Single die,,No,image/diodes/standard-recovery/88627.png
GI752,Enlarge,200,6,see datasheet,400,,150,P600,Single die,,No,image/diodes/standard-recovery/88627.png
GI754,Enlarge,400,6,see datasheet,400,,150,P600,Single die,,No,image/diodes/standard-recovery/88627.png
GI756,Enlarge,600,6,see datasheet,400,,150,P600,Single die,,No,image/diodes/standard-recovery/88627.png
GI758,Enlarge,800,6,see datasheet,400,,150,P600,Single die,,No,image/diodes/standard-recovery/88627.png
