Part Number▲▼,Product Image,Rev. Voltage(V)▲▼,IF(AV)(A)▲▼,VFat IF(V)▲▼,IFSM(A)▲▼,trr(ns)▲▼,TJmax.(°C)▲▼,Package (JEDEC®) Code▲▼,CircuitConfiguration▲▼,Snap factor▲▼,AEC-Q101Qualified▲▼,Image path
P300A,Enlarge,50,3,1.2,200,,150,DO-201AD,Single,,No,image/diodes/standard-recovery/88691.png
P300B,Enlarge,100,3,1.2,200,,150,DO-201AD,Single,,No,image/diodes/standard-recovery/88691.png
P300D,Enlarge,200,3,1.2,200,,150,DO-201AD,Single,,No,image/diodes/standard-recovery/88691.png
P300G,Enlarge,400,3,1.2,200,,150,DO-201AD,Single,,No,image/diodes/standard-recovery/88691.png
P300J,Enlarge,600,3,1.2,200,,150,DO-201AD,Single,,No,image/diodes/standard-recovery/88691.png
P300K,Enlarge,800,3,1.2,200,,150,DO-201AD,Single,,No,image/diodes/standard-recovery/88691.png
P300M,Enlarge,1000,3,1.2,200,,150,DO-201AD,Single,,No,image/diodes/standard-recovery/88691.png
P600A,Enlarge,50,6,see datasheet,400,,150,P600,Single die,,No,image/diodes/standard-recovery/88692.png
P600B,Enlarge,100,6,see datasheet,400,,150,P600,Single die,,No,image/diodes/standard-recovery/88692.png
P600D,Enlarge,200,6,see datasheet,400,,150,P600,Single die,,No,image/diodes/standard-recovery/88692.png
P600G,Enlarge,400,6,see datasheet,400,,150,P600,Single die,,No,image/diodes/standard-recovery/88692.png
P600J,Enlarge,600,6,see datasheet,400,,150,P600,Single die,,No,image/diodes/standard-recovery/88692.png
P600K,Enlarge,800,6,see datasheet,400,,150,P600,Single die,,No,image/diodes/standard-recovery/88692.png
P600M,Enlarge,1000,6,see datasheet,400,,150,P600,Single die,,No,image/diodes/standard-recovery/88692.png
RGF1A,Enlarge,50,1,1.3,30,150,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/98395.png
RGF1A,Enlarge,50,1,1.3,30,150,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/88697.png
RGF1B,Enlarge,100,1,1.3,30,150,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/98395.png
RGF1B,Enlarge,100,1,1.3,30,150,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/88697.png
RGF1D,Enlarge,200,1,1.3,30,150,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/98395.png
RGF1D,Enlarge,200,1,1.3,30,150,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/88697.png
RGF1G,Enlarge,400,1,1.3,30,150,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/98395.png
RGF1G,Enlarge,400,1,1.3,30,150,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/88697.png
RGF1J,Enlarge,600,1,1.3,30,150,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/98395.png
RGF1J,Enlarge,600,1,1.3,30,150,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/88697.png
RGF1K,Enlarge,800,1,1.3,30,150,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/98395.png
RGF1K,Enlarge,800,1,1.3,30,150,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/88697.png
RGF1M,Enlarge,1000,1,1.3,30,150,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/98395.png
RGF1M,Enlarge,1000,1,1.3,30,150,175,GF1 (DO-214BA),Single,,Yes,image/diodes/standard-recovery/88697.png
RGL34A,Enlarge,50,0.5,1.3,10,150,175,GL34 (DO-213AA),Single,,No,image/diodes/standard-recovery/88698.png
RGL34B,Enlarge,100,0.5,1.3,10,150,175,GL34 (DO-213AA),Single,,No,image/diodes/standard-recovery/88698.png
RGL34D,Enlarge,200,0.5,1.3,10,150,175,GL34 (DO-213AA),Single,,No,image/diodes/standard-recovery/88698.png
RGL34G,Enlarge,400,0.5,1.3,10,150,175,GL34 (DO-213AA),Single,,No,image/diodes/standard-recovery/88698.png
RGL34J,Enlarge,600,0.5,1.3,10,150,175,GL34 (DO-213AA),Single,,No,image/diodes/standard-recovery/88698.png
RGL34K,Enlarge,800,0.5,1.3,10,150,175,GL34 (DO-213AA),Single,,No,image/diodes/standard-recovery/88698.png
RGL41x,Enlarge,50 to 1000,1,1.3,30,150,175,GL41 (DO-213AB),Single,,No,image/diodes/standard-recovery/88547.png
RMPG06A,Enlarge,50,1,1.3,40,150,150,MPG06,Single die,,Yes,image/diodes/standard-recovery/88706.png
RMPG06B,Enlarge,100,1,1.3,40,150,150,MPG06,Single die,,Yes,image/diodes/standard-recovery/88706.png
RMPG06D,Enlarge,200,1,1.3,40,150,150,MPG06,Single die,,Yes,image/diodes/standard-recovery/88706.png
RMPG06G,Enlarge,400,1,1.3,40,150,150,MPG06,Single die,,Yes,image/diodes/standard-recovery/88706.png
RMPG06J,Enlarge,600,1,1.3,40,150,150,MPG06,Single die,,Yes,image/diodes/standard-recovery/88706.png
RMPG06K,Enlarge,800,1,1.3,40,150,150,MPG06,Single die,,Yes,image/diodes/standard-recovery/88706.png
RS07B,Enlarge,100,1.4,1.15,30,150,150,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/85742.png
RS07B-M,Enlarge,100,1.4,1.15,30,150,150,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/85195.png
RS07D,Enlarge,200,1.4,1.15,30,150,150,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/85742.png
RS07D-M,Enlarge,200,1.4,1.15,30,150,150,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/85195.png
RS07G,Enlarge,400,1.4,1.15,30,150,150,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/85742.png
RS07G-M,Enlarge,400,1.4,1.15,30,150,150,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/85195.png
RS07J,Enlarge,600,1.4,1.15,30,250,150,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/85742.png
RS07J-M,Enlarge,600,1.4,1.15,30,250,150,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/85195.png
RS07K,Enlarge,800,1.4,1.3,30,300,150,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/85742.png
RS07K-M,Enlarge,800,1.4,1.3,30,300,150,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/85195.png
RS1A,Enlarge,50,1,1.3,30,150,150,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88707.png
RS1B,Enlarge,100,1,1.3,30,150,150,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88707.png
RS1D,Enlarge,200,1,1.3,30,150,150,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88707.png
RS1FD,Enlarge,200,1,0.88,30,,150,SMF (DO-219AB),Single,,No,image/diodes/standard-recovery/87042.png
RS1FG,Enlarge,400,1,0.88,30,,150,SMF (DO-219AB),Single,,No,image/diodes/standard-recovery/87042.png
RS1FJ,Enlarge,600,1,0.88,30,,150,SMF (DO-219AB),Single,,No,image/diodes/standard-recovery/87042.png
RS1FK,Enlarge,800,1,0.88,30,,150,SMF (DO-219AB),Single,,No,image/diodes/standard-recovery/87042.png
RS1FLD,Enlarge,200,1,0.84,35,,150,SMF (DO-219AB),Single,,No,image/diodes/standard-recovery/87141.png
RS1FLG,Enlarge,400,1,0.84,35,,150,SMF (DO-219AB),Single,,No,image/diodes/standard-recovery/87141.png
RS1FLJ,Enlarge,600,1,0.84,35,,150,SMF (DO-219AB),Single,,No,image/diodes/standard-recovery/87141.png
RS1FLK,Enlarge,800,1,0.84,35,,150,SMF (DO-219AB),Single,,No,image/diodes/standard-recovery/87141.png
RS1FLM,Enlarge,1000,1,0.84,35,,150,SMF (DO-219AB),Single,,No,image/diodes/standard-recovery/87141.png
RS1FM,Enlarge,1000,1,0.88,30,,150,SMF (DO-219AB),Single,,No,image/diodes/standard-recovery/87042.png
RS1G,Enlarge,400,1,1.3,30,150,150,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88707.png
RS1J,Enlarge,600,1,1.3,30,150,150,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88707.png
RS1K,Enlarge,800,1,1.3,30,150,150,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88707.png
RS1PB,Enlarge,100,1,1.3,30,150,150,SMP (DO-220AA),Single,,Yes,image/diodes/standard-recovery/88934.png
RS1PD,Enlarge,200,1,1.3,30,150,150,SMP (DO-220AA),Single,,Yes,image/diodes/standard-recovery/88934.png
RS1PG,Enlarge,400,1,1.3,30,150,150,SMP (DO-220AA),Single,,Yes,image/diodes/standard-recovery/88934.png
RS1PJ,Enlarge,600,1,1.3,30,150,150,SMP (DO-220AA),Single,,Yes,image/diodes/standard-recovery/88934.png
RS2A,Enlarge,50,1.5,1.3,50,150,150,SMB (DO-214AA),Single,,Yes,image/diodes/standard-recovery/88708.png
RS2B,Enlarge,100,1.5,1.3,50,150,150,SMB (DO-214AA),Single,,Yes,image/diodes/standard-recovery/88708.png
RS2D,Enlarge,200,1.5,1.3,50,150,150,SMB (DO-214AA),Single,,Yes,image/diodes/standard-recovery/88708.png
RS2G,Enlarge,400,1.5,1.3,50,150,150,SMB (DO-214AA),Single,,Yes,image/diodes/standard-recovery/88708.png
RS2J,Enlarge,600,1.5,1.3,50,150,150,SMB (DO-214AA),Single,,Yes,image/diodes/standard-recovery/88708.png
RS2K,Enlarge,800,1.5,1.3,50,150,150,SMB (DO-214AA),Single,,Yes,image/diodes/standard-recovery/88708.png
RS3A,Enlarge,50,3,1.3,100,150,150,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/88709.png
RS3B,Enlarge,100,3,1.3,100,150,150,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/88709.png
RS3D,Enlarge,200,3,1.3,100,150,150,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/88709.png
RS3G,Enlarge,400,3,1.3,100,150,150,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/88709.png
RS3J,Enlarge,600,3,1.3,100,150,150,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/88709.png
RS3K,Enlarge,800,3,1.3,100,150,150,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/88709.png
S07B,Enlarge,100,1.5,1.1,25,1800,175,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/85733.png
S07B-M,Enlarge,100,1.5,1.1,25,1800,175,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/85191.png
S07D,Enlarge,200,1.5,1.1,25,1800,175,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/85733.png
S07D-M,Enlarge,200,1.5,1.1,25,1800,175,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/85191.png
S07G,Enlarge,400,1.5,1.1,25,1800,175,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/85733.png
S07G-M,Enlarge,400,1.5,1.1,25,1800,175,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/85191.png
S07J,Enlarge,600,1.5,1.1,25,1800,175,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/85733.png
S07J-M,Enlarge,600,1.5,1.1,25,1800,175,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/85191.png
S07M,Enlarge,1000,1.5,1.1,25,1800,175,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/85733.png
S07M-M,Enlarge,1000,1.5,1.1,25,1800,175,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/85191.png
S10CG,Enlarge,400,10,0.87,300,,150,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/87608.png
S10CJ,Enlarge,600,10,0.87,300,,150,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/87608.png
S10CK,Enlarge,800,10,0.87,300,,150,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/87608.png
S10CM,Enlarge,1000,10,0.87,300,,150,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/87608.png
S1A,Enlarge,50,1,1.1,40,,175,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88711.png
S1AFG,Enlarge,400,1,0.85,35,,150,SlimSMA (DO-221AC),Single,,No,image/diodes/standard-recovery/87739.png
S1AFJ,Enlarge,600,1,0.85,35,,150,SlimSMA (DO-221AC),Single,,No,image/diodes/standard-recovery/87739.png
S1AFK,Enlarge,800,1,0.85,35,,150,SlimSMA (DO-221AC),Single,,No,image/diodes/standard-recovery/87739.png
S1AFM,Enlarge,1000,1,0.85,35,,150,SlimSMA (DO-221AC),Single,,No,image/diodes/standard-recovery/87739.png
S1B,Enlarge,100,1,1.1,40,,175,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88711.png
S1D,Enlarge,200,1,1.1,40,,175,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88711.png
S1FLB,Enlarge,100,1.5,1.1,22,1800,150,SMF (DO-219AB),Single,,No,image/diodes/standard-recovery/81820.png
S1FLB-M,Enlarge,100,1.5,1.1,22,1800,150,SMF (DO-219AB),Single,,No,image/diodes/standard-recovery/82453.png
S1FLD,Enlarge,200,1.5,1.1,22,1800,150,SMF (DO-219AB),Single,,No,image/diodes/standard-recovery/81820.png
S1FLD-M,Enlarge,200,1.5,1.1,22,1800,150,SMF (DO-219AB),Single,,No,image/diodes/standard-recovery/82453.png
S1FLG,Enlarge,400,1.5,1.1,22,1800,150,SMF (DO-219AB),Single,,No,image/diodes/standard-recovery/81820.png
S1FLG-M,Enlarge,400,1.5,1.1,22,1800,150,SMF (DO-219AB),Single,,No,image/diodes/standard-recovery/82453.png
S1FLJ,Enlarge,600,1.5,1.1,22,1800,150,SMF (DO-219AB),Single,,No,image/diodes/standard-recovery/81820.png
S1FLJ-M,Enlarge,600,1.5,1.1,22,1800,150,SMF (DO-219AB),Single,,No,image/diodes/standard-recovery/82453.png
S1FLK,Enlarge,800,1.5,1.1,22,1800,150,SMF (DO-219AB),Single,,No,image/diodes/standard-recovery/81820.png
S1FLK-M,Enlarge,800,1.5,1.1,22,1800,150,SMF (DO-219AB),Single,,No,image/diodes/standard-recovery/82453.png
S1FLM,Enlarge,1000,1.5,1.1,22,1800,150,SMF (DO-219AB),Single,,No,image/diodes/standard-recovery/81820.png
S1FLM-M,Enlarge,1000,1.5,1.1,22,1800,150,SMF (DO-219AB),Single,,No,image/diodes/standard-recovery/82453.png
S1G,Enlarge,400,1,1.1,40,,175,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88711.png
S1J,Enlarge,600,1,1.1,40,,175,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88711.png
S1K,Enlarge,800,1,1.1,40,,175,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88711.png
S1M,Enlarge,1000,1,1.1,40,,175,SMA (DO-214AC),Single,,Yes,image/diodes/standard-recovery/88711.png
S1PB,Enlarge,100,1,0.95,,,150,SMP (DO-220AA),Single,,Yes,image/diodes/standard-recovery/88917.png
S1PD,Enlarge,200,1,0.95,,,150,SMP (DO-220AA),Single,,Yes,image/diodes/standard-recovery/88917.png
S1PG,Enlarge,400,1,0.95,,,150,SMP (DO-220AA),Single,,Yes,image/diodes/standard-recovery/88917.png
S1PJ,Enlarge,600,1,0.95,,,150,SMP (DO-220AA),Single,,Yes,image/diodes/standard-recovery/88917.png
S1PK,Enlarge,800,1,0.95,,,150,SMP (DO-220AA),Single,,Yes,image/diodes/standard-recovery/88917.png
S1PM,Enlarge,1000,1,0.95,,,150,SMP (DO-220AA),Single,,Yes,image/diodes/standard-recovery/88917.png
S2A,Enlarge,50,1.5,1.15,50,,175,SMB (DO-214AA),Single,,Yes,image/diodes/standard-recovery/88712.png
S2B,Enlarge,100,1.5,1.15,50,,175,SMB (DO-214AA),Single,,Yes,image/diodes/standard-recovery/88712.png
S2D,Enlarge,200,1.5,1.15,50,,175,SMB (DO-214AA),Single,,Yes,image/diodes/standard-recovery/88712.png
S2G,Enlarge,400,1.5,1.15,50,,175,SMB (DO-214AA),Single,,Yes,image/diodes/standard-recovery/88712.png
S2J,Enlarge,600,1.5,1.15,50,,175,SMB (DO-214AA),Single,,Yes,image/diodes/standard-recovery/88712.png
S2K,Enlarge,800,1.5,1.15,50,,175,SMB (DO-214AA),Single,,Yes,image/diodes/standard-recovery/88712.png
S2M,Enlarge,1000,1.5,1.15,50,,175,SMB (DO-214AA),Single,,Yes,image/diodes/standard-recovery/88712.png
S3A,Enlarge,50,3,1.15,100,,175,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/88713.png
S3AFG,Enlarge,400,3,0.9,50,,175,SlimSMA (DO-221AC),Single,,Yes,image/diodes/standard-recovery/87207.png
S3AFJ,Enlarge,600,3,0.9,50,,175,SlimSMA (DO-221AC),Single,,Yes,image/diodes/standard-recovery/87207.png
S3B,Enlarge,100,3,1.15,100,,175,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/88713.png
S3D,Enlarge,200,3,1.15,100,,175,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/88713.png
S3G,Enlarge,400,3,1.15,100,,175,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/88713.png
S3J,Enlarge,600,3,1.15,100,,175,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/88713.png
S3K,Enlarge,800,3,1.15,100,,175,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/88713.png
S3M,Enlarge,1000,3,1.15,100,,175,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/88713.png
S4PB,Enlarge,100,4,0.860,100,,150,SMPC (TO-277A),Single,,Yes,image/diodes/standard-recovery/89032.png
S4PD,Enlarge,200,4,0.860,100,,150,SMPC (TO-277A),Single,,Yes,image/diodes/standard-recovery/89032.png
S4PG,Enlarge,400,4,0.860,100,,150,SMPC (TO-277A),Single,,Yes,image/diodes/standard-recovery/89032.png
S4PJ,Enlarge,600,4,0.860,100,,150,SMPC (TO-277A),Single,,Yes,image/diodes/standard-recovery/89032.png
S4PK,Enlarge,800,4,0.860,100,,150,SMPC (TO-277A),Single,,Yes,image/diodes/standard-recovery/89032.png
S4PM,Enlarge,1000,4,0.860,100,,150,SMPC (TO-277A),Single,,Yes,image/diodes/standard-recovery/89032.png
S5A,Enlarge,50,5,1.15,100,,175,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/88931.png
S5B,Enlarge,100,5,1.15,100,,175,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/88931.png
S5D,Enlarge,200,5,1.15,100,,175,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/88931.png
S5G,Enlarge,400,5,1.15,100,,175,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/88931.png
S5J,Enlarge,600,5,1.15,100,,175,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/88931.png
S5K,Enlarge,800,5,1.15,100,,175,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/88931.png
S5M,Enlarge,1000,5,1.15,100,,175,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/88931.png
S5MS,Enlarge,1000,5,0.90,100,,150,SMC (DO-214AB),Single,,No,image/diodes/standard-recovery/89148.png
S5PMS,Enlarge,1000,5,0.90,100,,150,SMPC (TO-277A),Single,,No,image/diodes/standard-recovery/89149.png
S8CG,Enlarge,400,8,0.87,260,,150,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/87607.png
S8CJ,Enlarge,600,8,0.87,260,,150,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/87607.png
S8CK,Enlarge,800,8,0.87,260,,150,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/87607.png
S8CM,Enlarge,1000,8,0.87,260,,150,SMC (DO-214AB),Single,,Yes,image/diodes/standard-recovery/87607.png
S8G,Enlarge,400,8,0.85,220,,150,SMC (DO-214AB),Single,,No,image/diodes/standard-recovery/98460.png
S8GS,Enlarge,400,8,0.87,200,,150,SMC (DO-214AB),Single,,No,image/diodes/standard-recovery/98461.png
S8J,Enlarge,600,8,0.85,220,,150,SMC (DO-214AB),Single,,No,image/diodes/standard-recovery/98460.png
S8JS,Enlarge,600,8,0.87,200,,150,SMC (DO-214AB),Single,,No,image/diodes/standard-recovery/98461.png
S8K,Enlarge,800,8,0.85,220,,150,SMC (DO-214AB),Single,,No,image/diodes/standard-recovery/98460.png
S8KS,Enlarge,800,8,0.87,200,,150,SMC (DO-214AB),Single,,No,image/diodes/standard-recovery/98461.png
S8M,Enlarge,1000,8,0.85,220,,150,SMC (DO-214AB),Single,,No,image/diodes/standard-recovery/98460.png
S8MS,Enlarge,1000,8,0.87,200,,150,SMC (DO-214AB),Single,,No,image/diodes/standard-recovery/98461.png
S8PG,Enlarge,400,8,0.87,230,,150,SMPC (TO-277A),Single,,No,image/diodes/standard-recovery/98366.png
S8PJ,Enlarge,600,8,0.87,230,,150,SMPC (TO-277A),Single,,No,image/diodes/standard-recovery/98366.png
S8PK,Enlarge,800,8,0.87,230,,150,SMPC (TO-277A),Single,,No,image/diodes/standard-recovery/98366.png
S8PM,Enlarge,1000,8,0.87,230,,150,SMPC (TO-277A),Single,,No,image/diodes/standard-recovery/98366.png
SA2B,Enlarge,100,2,0.854,55,,150,SMA (DO-214AC),Single,,No,image/diodes/standard-recovery/88969.png
SA2D,Enlarge,200,2,0.854,55,,150,SMA (DO-214AC),Single,,No,image/diodes/standard-recovery/88969.png
SA2G,Enlarge,400,2,0.854,55,,150,SMA (DO-214AC),Single,,No,image/diodes/standard-recovery/88969.png
SA2J,Enlarge,600,2,0.854,55,,150,SMA (DO-214AC),Single,,No,image/diodes/standard-recovery/88969.png
SA2K,Enlarge,800,2,0.854,55,,150,SMA (DO-214AC),Single,,No,image/diodes/standard-recovery/88969.png
SA2M,Enlarge,1000,2,0.854,55,,150,SMA (DO-214AC),Single,,No,image/diodes/standard-recovery/88969.png
SB2D,Enlarge,200,2,0.86,55,,150,SMB (DO-214AA),Single,,No,image/diodes/standard-recovery/89461.png
SB2G,Enlarge,400,2,0.86,55,,150,SMB (DO-214AA),Single,,No,image/diodes/standard-recovery/89461.png
SB2J,Enlarge,600,2,0.86,55,,150,SMB (DO-214AA),Single,,No,image/diodes/standard-recovery/89461.png
SB2K,Enlarge,800,2,0.86,55,,150,SMB (DO-214AA),Single,,No,image/diodes/standard-recovery/89461.png
SB2M,Enlarge,1000,2,0.86,55,,150,SMB (DO-214AA),Single,,No,image/diodes/standard-recovery/89461.png
SE07PB,Enlarge,100,0.7,0.865,20,,175,SMP (DO-220AA),Single,,No,image/diodes/standard-recovery/89023.png
SE07PD,Enlarge,200,0.7,0.865,20,,175,SMP (DO-220AA),Single,,No,image/diodes/standard-recovery/89023.png
SE07PG,Enlarge,400,0.7,0.865,20,,175,SMP (DO-220AA),Single,,No,image/diodes/standard-recovery/89023.png
SE07PJ,Enlarge,600,0.7,0.865,20,,175,SMP (DO-220AA),Single,,No,image/diodes/standard-recovery/89023.png
SE100PWB,Enlarge,100,10,0.93,125,,175,SlimDPAK (TO-252AE),Single,,Yes,image/diodes/standard-recovery/87509.png
SE100PWD,Enlarge,200,10,0.93,125,,175,SlimDPAK (TO-252AE),Single,,Yes,image/diodes/standard-recovery/87509.png
SE100PWG,Enlarge,400,10,0.93,125,,175,SlimDPAK (TO-252AE),Single,,Yes,image/diodes/standard-recovery/87509.png
SE100PWJ,Enlarge,600,10,0.93,125,,175,SlimDPAK (TO-252AE),Single,,Yes,image/diodes/standard-recovery/87509.png
SE100PWTG,Enlarge,400,10,0.93,125,,175,SlimDPAK 2L,Single,,Yes,image/diodes/standard-recovery/98361.png
SE100PWTJ,Enlarge,600,10,0.93,125,,175,SlimDPAK 2L,Single,,Yes,image/diodes/standard-recovery/98361.png
SE100PWTLG,Enlarge,400,10,0.78,150,,175,SlimDPAK 2L,Single,,Yes,image/diodes/standard-recovery/98396.png
SE100PWTLJ,Enlarge,600,10,0.78,150,,175,SlimDPAK 2L,Single,,Yes,image/diodes/standard-recovery/98396.png
SE10DB,Enlarge,100,10,0.96,110,,175,SMPD (TO-263AC),Single,,Yes,image/diodes/standard-recovery/89983.png
SE10DD,Enlarge,200,10,0.96,110,,175,SMPD (TO-263AC),Single,,Yes,image/diodes/standard-recovery/89983.png
SE10DG,Enlarge,400,10,0.96,110,,175,SMPD (TO-263AC),Single,,Yes,image/diodes/standard-recovery/89983.png
SE10DJ,Enlarge,600,10,0.96,110,,175,SMPD (TO-263AC),Single,,Yes,image/diodes/standard-recovery/89983.png
SE10DLG,Enlarge,400,10,0.83,150,,175,SMPD (TO-263AC),Single,,Yes,image/diodes/standard-recovery/87486.png
SE10DLJ,Enlarge,600,10,0.83,150,,175,SMPD (TO-263AC),Single,,Yes,image/diodes/standard-recovery/87486.png
SE10DTG,Enlarge,400,10,0.96,110,,175,SMPD 2L,Single,,Yes,image/diodes/standard-recovery/98191.png
SE10DTJ,Enlarge,600,10,0.96,110,,175,SMPD 2L,Single,,Yes,image/diodes/standard-recovery/98191.png
SE10DTLG,Enlarge,400,10,0.83,150,,175,SMPD 2L,Single,,Yes,image/diodes/standard-recovery/98231.png
SE10DTLJ,Enlarge,600,10,0.83,150,,175,SMPD 2L,Single,,Yes,image/diodes/standard-recovery/98231.png
SE10FD,Enlarge,200,1,0.85,25,,175,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/87722.png
SE10FG,Enlarge,400,1,0.85,25,,175,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/87722.png
SE10FJ,Enlarge,600,1,0.85,25,,175,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/87722.png
SE10PB,Enlarge,100,1,0.86,25,,175,SMP (DO-220AA),Single,,Yes,image/diodes/standard-recovery/89024.png
SE10PD,Enlarge,200,1,0.86,25,,175,SMP (DO-220AA),Single,,Yes,image/diodes/standard-recovery/89024.png
SE10PG,Enlarge,400,1,0.86,25,,175,SMP (DO-220AA),Single,,Yes,image/diodes/standard-recovery/89024.png
SE10PJ,Enlarge,600,1,0.86,25,,175,SMP (DO-220AA),Single,,Yes,image/diodes/standard-recovery/89024.png
SE12DB,Enlarge,100,12,0.96,125,,175,SMPD (TO-263AC),Single,,Yes,image/diodes/standard-recovery/89984.png
SE12DD,Enlarge,200,12,0.96,125,,175,SMPD (TO-263AC),Single,,Yes,image/diodes/standard-recovery/89984.png
SE12DG,Enlarge,400,12,0.96,125,,175,SMPD (TO-263AC),Single,,Yes,image/diodes/standard-recovery/89984.png
SE12DJ,Enlarge,600,12,0.96,125,,175,SMPD (TO-263AC),Single,,Yes,image/diodes/standard-recovery/89984.png
SE12DLG,Enlarge,400,12,0.83,165,,175,SMPD (TO-263AC),Single,,Yes,image/diodes/standard-recovery/87487.png
SE12DLJ,Enlarge,600,12,0.83,165,,175,SMPD (TO-263AC),Single,,Yes,image/diodes/standard-recovery/87487.png
SE12DTG,Enlarge,400,12,0.96,125,,175,SMPD 2L,Single,,Yes,image/diodes/standard-recovery/98230.png
SE12DTJ,Enlarge,600,12,0.96,125,,175,SMPD 2L,Single,,Yes,image/diodes/standard-recovery/98230.png
SE12DTLG,Enlarge,400,12,0.83,165,,175,SMPD 2L,Single,,Yes,image/diodes/standard-recovery/98232.png
SE12DTLJ,Enlarge,600,12,0.83,165,,175,SMPD 2L,Single,,Yes,image/diodes/standard-recovery/98232.png
SE15FD,Enlarge,200,1.5,0.86,30,,175,SMF (DO-219AB),Single,,Yes,image/diodes/standard-recovery/87723.png
