Part Number▲▼,Product Image,IF(AV)(A)▲▼,VFat IF(V at A)▲▼,IFSM(A)▲▼,Rev. Voltage(V)▲▼,TJmax.(°C)▲▼,Package (JEDEC®) Code▲▼,Circuit Configuration▲▼,Image path
GBU8G,Enlarge,8,1.0,200,600,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8G,Enlarge,8,1.0,200,200,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8G,Enlarge,8,1.0,200,800,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8G,Enlarge,8,1.0,200,50,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8G,Enlarge,8,1.0,200,400,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8G,Enlarge,8,1.0,200,1000,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8J,Enlarge,8,1.0,200,800,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8J,Enlarge,8,1.0,200,50,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8J,Enlarge,8,1.0,200,400,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8J,Enlarge,8,1.0,200,1000,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8J,Enlarge,8,1.0,200,100,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8J,Enlarge,8,1.0,200,600,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8J,Enlarge,8,1.0,200,200,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8K,Enlarge,8,1.0,200,100,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8K,Enlarge,8,1.0,200,600,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8K,Enlarge,8,1.0,200,200,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8K,Enlarge,8,1.0,200,800,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8K,Enlarge,8,1.0,200,50,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8K,Enlarge,8,1.0,200,400,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8K,Enlarge,8,1.0,200,1000,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8M,Enlarge,8,1.0,200,50,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8M,Enlarge,8,1.0,200,400,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8M,Enlarge,8,1.0,200,1000,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8M,Enlarge,8,1.0,200,100,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8M,Enlarge,8,1.0,200,600,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8M,Enlarge,8,1.0,200,200,150,GBU,In-line,image/diodes/bridge/88616.png
GBU8M,Enlarge,8,1.0,200,800,150,GBU,In-line,image/diodes/bridge/88616.png
GBUE2560,Enlarge,25,0.75,350,600,175,GBU,In-line,image/diodes/bridge/87633.png
GSIB1520,Enlarge,15,0.95,300,200,150,GSIB-5S,In-line,image/diodes/bridge/88644.png
GSIB1520,Enlarge,15,0.95,300,800,150,GSIB-5S,In-line,image/diodes/bridge/88644.png
GSIB1520,Enlarge,15,0.95,300,400,150,GSIB-5S,In-line,image/diodes/bridge/88644.png
GSIB1520,Enlarge,15,0.95,300,600,150,GSIB-5S,In-line,image/diodes/bridge/88644.png
GSIB1520N,Enlarge,15,0.95,300,400,150,GSIB-5S,In-line,image/diodes/bridge/89387.png
GSIB1520N,Enlarge,15,0.95,300,600,150,GSIB-5S,In-line,image/diodes/bridge/89387.png
GSIB1520N,Enlarge,15,0.95,300,200,150,GSIB-5S,In-line,image/diodes/bridge/89387.png
GSIB1520N,Enlarge,15,0.95,300,800,150,GSIB-5S,In-line,image/diodes/bridge/89387.png
GSIB1540,Enlarge,15,0.95,300,400,150,GSIB-5S,In-line,image/diodes/bridge/88644.png
GSIB1540,Enlarge,15,0.95,300,600,150,GSIB-5S,In-line,image/diodes/bridge/88644.png
GSIB1540,Enlarge,15,0.95,300,200,150,GSIB-5S,In-line,image/diodes/bridge/88644.png
GSIB1540,Enlarge,15,0.95,300,800,150,GSIB-5S,In-line,image/diodes/bridge/88644.png
GSIB1540N,Enlarge,15,0.95,300,600,150,GSIB-5S,In-line,image/diodes/bridge/89387.png
GSIB1540N,Enlarge,15,0.95,300,200,150,GSIB-5S,In-line,image/diodes/bridge/89387.png
GSIB1540N,Enlarge,15,0.95,300,800,150,GSIB-5S,In-line,image/diodes/bridge/89387.png
GSIB1540N,Enlarge,15,0.95,300,400,150,GSIB-5S,In-line,image/diodes/bridge/89387.png
GSIB1560,Enlarge,15,0.95,300,200,150,GSIB-5S,In-line,image/diodes/bridge/88644.png
GSIB1560,Enlarge,15,0.95,300,800,150,GSIB-5S,In-line,image/diodes/bridge/88644.png
GSIB1560,Enlarge,15,0.95,300,400,150,GSIB-5S,In-line,image/diodes/bridge/88644.png
GSIB1560,Enlarge,15,0.95,300,600,150,GSIB-5S,In-line,image/diodes/bridge/88644.png
GSIB1560N,Enlarge,15,0.95,300,400,150,GSIB-5S,In-line,image/diodes/bridge/89387.png
GSIB1560N,Enlarge,15,0.95,300,600,150,GSIB-5S,In-line,image/diodes/bridge/89387.png
GSIB1560N,Enlarge,15,0.95,300,200,150,GSIB-5S,In-line,image/diodes/bridge/89387.png
GSIB1560N,Enlarge,15,0.95,300,800,150,GSIB-5S,In-line,image/diodes/bridge/89387.png
GSIB1580,Enlarge,15,0.95,300,600,150,GSIB-5S,In-line,image/diodes/bridge/88644.png
GSIB1580,Enlarge,15,0.95,300,200,150,GSIB-5S,In-line,image/diodes/bridge/88644.png
GSIB1580,Enlarge,15,0.95,300,800,150,GSIB-5S,In-line,image/diodes/bridge/88644.png
GSIB1580,Enlarge,15,0.95,300,400,150,GSIB-5S,In-line,image/diodes/bridge/88644.png
GSIB1580N,Enlarge,15,0.95,300,200,150,GSIB-5S,In-line,image/diodes/bridge/89387.png
GSIB1580N,Enlarge,15,0.95,300,800,150,GSIB-5S,In-line,image/diodes/bridge/89387.png
GSIB1580N,Enlarge,15,0.95,300,400,150,GSIB-5S,In-line,image/diodes/bridge/89387.png
GSIB1580N,Enlarge,15,0.95,300,600,150,GSIB-5S,In-line,image/diodes/bridge/89387.png
GSIB15A20,Enlarge,15,1.0,200,600,150,GSIB-5S,In-line,image/diodes/bridge/88643.png
GSIB15A20,Enlarge,15,1.0,200,200,150,GSIB-5S,In-line,image/diodes/bridge/88643.png
GSIB15A20,Enlarge,15,1.0,200,800,150,GSIB-5S,In-line,image/diodes/bridge/88643.png
GSIB15A20,Enlarge,15,1.0,200,400,150,GSIB-5S,In-line,image/diodes/bridge/88643.png
GSIB15A20N,Enlarge,15,1.0,200,400,150,GSIB-5S,In-line,image/diodes/bridge/89386.png
GSIB15A20N,Enlarge,15,1.0,200,600,150,GSIB-5S,In-line,image/diodes/bridge/89386.png
GSIB15A20N,Enlarge,15,1.0,200,200,150,GSIB-5S,In-line,image/diodes/bridge/89386.png
GSIB15A20N,Enlarge,15,1.0,200,800,150,GSIB-5S,In-line,image/diodes/bridge/89386.png
GSIB15A40,Enlarge,15,1.0,200,400,150,GSIB-5S,In-line,image/diodes/bridge/88643.png
GSIB15A40,Enlarge,15,1.0,200,600,150,GSIB-5S,In-line,image/diodes/bridge/88643.png
GSIB15A40,Enlarge,15,1.0,200,200,150,GSIB-5S,In-line,image/diodes/bridge/88643.png
GSIB15A40,Enlarge,15,1.0,200,800,150,GSIB-5S,In-line,image/diodes/bridge/88643.png
GSIB15A40N,Enlarge,15,1.0,200,600,150,GSIB-5S,In-line,image/diodes/bridge/89386.png
GSIB15A40N,Enlarge,15,1.0,200,200,150,GSIB-5S,In-line,image/diodes/bridge/89386.png
GSIB15A40N,Enlarge,15,1.0,200,800,150,GSIB-5S,In-line,image/diodes/bridge/89386.png
GSIB15A40N,Enlarge,15,1.0,200,400,150,GSIB-5S,In-line,image/diodes/bridge/89386.png
GSIB15A60,Enlarge,15,1.0,200,200,150,GSIB-5S,In-line,image/diodes/bridge/88643.png
GSIB15A60,Enlarge,15,1.0,200,800,150,GSIB-5S,In-line,image/diodes/bridge/88643.png
GSIB15A60,Enlarge,15,1.0,200,400,150,GSIB-5S,In-line,image/diodes/bridge/88643.png
GSIB15A60,Enlarge,15,1.0,200,600,150,GSIB-5S,In-line,image/diodes/bridge/88643.png
GSIB15A60N,Enlarge,15,1.0,200,400,150,GSIB-5S,In-line,image/diodes/bridge/89386.png
GSIB15A60N,Enlarge,15,1.0,200,600,150,GSIB-5S,In-line,image/diodes/bridge/89386.png
GSIB15A60N,Enlarge,15,1.0,200,200,150,GSIB-5S,In-line,image/diodes/bridge/89386.png
GSIB15A60N,Enlarge,15,1.0,200,800,150,GSIB-5S,In-line,image/diodes/bridge/89386.png
GSIB15A80,Enlarge,15,1.0,200,600,150,GSIB-5S,In-line,image/diodes/bridge/88643.png
GSIB15A80,Enlarge,15,1.0,200,200,150,GSIB-5S,In-line,image/diodes/bridge/88643.png
GSIB15A80,Enlarge,15,1.0,200,800,150,GSIB-5S,In-line,image/diodes/bridge/88643.png
GSIB15A80,Enlarge,15,1.0,200,400,150,GSIB-5S,In-line,image/diodes/bridge/88643.png
GSIB15A80N,Enlarge,15,1.0,200,200,150,GSIB-5S,In-line,image/diodes/bridge/89386.png
GSIB15A80N,Enlarge,15,1.0,200,800,150,GSIB-5S,In-line,image/diodes/bridge/89386.png
GSIB15A80N,Enlarge,15,1.0,200,400,150,GSIB-5S,In-line,image/diodes/bridge/89386.png
GSIB15A80N,Enlarge,15,1.0,200,600,150,GSIB-5S,In-line,image/diodes/bridge/89386.png
GSIB2020,Enlarge,20,1.0,240,600,150,GSIB-5S,In-line,image/diodes/bridge/88645.png
GSIB2020,Enlarge,20,1.0,240,200,150,GSIB-5S,In-line,image/diodes/bridge/88645.png
