Series▲▼,Product Image,Part Number▲▼,VzMin.(V)▲▼,VzMax.(V)▲▼,VzNom.(V)▲▼,Izt(mA)▲▼,Ptot(mW)▲▼,Package (JEDEC®) Code▲▼,VzSpecification▲▼,AEC-Q101Qualified▲▼,Image path
1N5221 to 1N5267,Enlarge,1N5242,2.4,75,12,20,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5243,2.4,75,13,9.5,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5244,2.4,75,14,9,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5245,2.4,75,15,8.5,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5246,2.4,75,16,7.8,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5247,2.4,75,17,7.4,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5248,2.4,75,18,7,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5249,2.4,75,19,6.6,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5250,2.4,75,20,6.2,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5251,2.4,75,22,5.6,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5252,2.4,75,24,5.2,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5253,2.4,75,25,5,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5254,2.4,75,27,4.6,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
1N5221 to 1N5267,Enlarge,1N5255,2.4,75,28,4.5,500,DO-35 (DO-204AH),Thermal equilibrium,No,image/diodes/zener-stabilizers/85588.png
