Part Number▲▼,Product Image,Rev. Voltage(V)▲▼,IF(AV)(A)▲▼,VFat IF(V at A)▲▼,IFSM(A)▲▼,IRM(mA)▲▼,TJmax.(°C)▲▼,Package (JEDEC®) Code▲▼,Circuit Configuration▲▼,AEC-Q101Qualified▲▼,Image path
VB20150S-M3,Enlarge,150,20,0.75,160,,150,D2PAK (TO-263AB),Single,No,image/diodes/schottky/87994.png
VB20150SG-E3,Enlarge,150,20,0.77,140,,150,D2PAK (TO-263AB),Single,No,image/diodes/schottky/89060.png
VB20200C-E3,Enlarge,200,2 x 10,0.68,120,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89072.png
VB20200G-E3,Enlarge,200,2 x 10,0.71,110,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89117.png
VB20202C,Enlarge,200,2 x 10,0.68,150,,175,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87797.png
VB20202G,Enlarge,200,2 x 10,0.71,130,,175,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87798.png
VB20M120C,Enlarge,120,2 x 10,0.64,120,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89466.png
VB30100C,Enlarge,100,2 x 15,0.63,160,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87984.png
VB30100C-E3,Enlarge,100,2 x 15,0.63,160,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89010.png
VB30100S-E3,Enlarge,100,30,0.69,250,,150,D2PAK (TO-263AB),Single,No,image/diodes/schottky/88941.png
VB30100S-M3,Enlarge,100,30,0.69,250,,150,D2PAK (TO-263AB),Single,No,image/diodes/schottky/87985.png
VB30100SG-E3,Enlarge,100,30,0.76,250,,150,D2PAK (TO-263AB),Single,No,image/diodes/schottky/88996.png
VB30100SG-M3,Enlarge,100,30,0.76,250,,150,D2PAK (TO-263AB),Single,No,image/diodes/schottky/87986.png
VB30120C-E3,Enlarge,120,2 x 15,0.68,150,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89041.png
VB30120S,Enlarge,120,30,0.74,300,,150,D2PAK (TO-263AB),Single,No,image/diodes/schottky/89152.png
VB30120S-E3,Enlarge,120,30,0.74,300,,150,D2PAK (TO-263AB),Single,No,image/diodes/schottky/88974.png
VB30120SG-E3,Enlarge,120,30,0.81,220,,150,D2PAK (TO-263AB),Single,No,image/diodes/schottky/89011.png
VB30150C,Enlarge,150,2 x 15,0.71,140,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89047.png
VB30150C-M3,Enlarge,150,2 x 15,0.71,140,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87995.png
VB30200C,Enlarge,200,2 x 15,0.648,250,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89014.png
VB30202C,Enlarge,200,2 x 15,0.65,260,,175,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87799.png
VB30M120C,Enlarge,120,2 x 15,0.68,150,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89467.png
VB40100C,Enlarge,100,2 x 20,0.61,250,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87987.png
VB40100C-E3,Enlarge,100,2 x 20,0.61,250,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89042.png
VB40100G-E3,Enlarge,100,2 x 20,0.67,200,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/88970.png
VB40120C,Enlarge,120,2 x 20,0.63,250,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/88937.png
VB40150C,Enlarge,150,2 x 20,0.75,160,,150,TO-262AA,Common cathode,No,image/diodes/schottky/89250.png
VB40150C-E3,Enlarge,150,2 x 20,0.75,160,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89048.png
VB40170C,Enlarge,170,2 x 20,0.68,200,,175,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89949.png
VB40M120C,Enlarge,120,2 x 20,0.64,250,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89468.png
VB60100C,Enlarge,100,2 x 30,0.66,320,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87988.png
VB60100C-E3,Enlarge,100,2 x 30,0.66,320,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/88942.png
VB60120C,Enlarge,120,2 x 30,0.71,300,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/88976.png
VB60170G-E3,Enlarge,170,2 x 30,0.72,210,,175,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89950.png
VBT10200C-E3,Enlarge,200,2 x 5.0,0.65,80,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89177.png
VBT1045BP-E3,Enlarge,45,10,0.52,100,,200,D2PAK (TO-263AB),Single,No,image/diodes/schottky/89452.png
VBT1045BP-M3,Enlarge,45,10,0.52,100,,200,D2PAK (TO-263AB),Single,No,image/diodes/schottky/87967.png
VBT1045C-E3,Enlarge,45,2 x 5.0,0.41,100,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89358.png
VBT1045C-M3,Enlarge,45,2 x 5.0,0.41,100,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87989.png
VBT1045CBP-E3,Enlarge,45,2 x 5.0,0.41,100,,200,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89371.png
VBT1045CBP-M3,Enlarge,45,2 x 5.0,0.41,100,,200,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87960.png
VBT1060C-M3,Enlarge,60,2 x 5,0.50,100,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87971.png
VBT1080C-E3,Enlarge,80,2 x 5,0.57,80,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89164.png
VBT1080C-M3,Enlarge,80,2 x 5,0.57,80,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87974.png
VBT1080S-E3,Enlarge,80,10,0.51,100,,150,D2PAK (TO-263AB),Single,No,image/diodes/schottky/89165.png
VBT1080S-M3,Enlarge,80,10,0.60,100,,150,D2PAK (TO-263AB),Single,No,image/diodes/schottky/87975.png
VBT1545CBP-E3,Enlarge,45,2 x 7.5,0.49,100,,200,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89486.png
VBT2045BP-E3,Enlarge,45,20,0.51,160,,200,D2PAK (TO-263AB),Single,No,image/diodes/schottky/89450.png
VBT2045BP-M3,Enlarge,45,20,0.51,160,,200,D2PAK (TO-263AB),Single,No,image/diodes/schottky/87966.png
VBT2045C,Enlarge,45,2 x 10,0.41,160,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87956.png
VBT2045C-E3,Enlarge,45,2 x 10,0.41,160,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89359.png
VBT2045CBP-E3,Enlarge,45,2 x 10,0.41,160,,200,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89372.png
VBT2045CBP-M3,Enlarge,45,2 x 10,0.41,160,,200,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87961.png
VBT2060C-E3,Enlarge,60,2 x 10,0.52,150,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89132.png
VBT2060C-M3,Enlarge,60,2 x 10,0.52,150,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87972.png
VBT2060G-E3,Enlarge,60,2 x 10,0.63,100,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89133.png
VBT2080C-E3,Enlarge,80,2 x 10,0.60,100,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89166.png
VBT2080C-M3,Enlarge,80,2 x 10,0.60,100,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87976.png
VBT2080S-E3,Enlarge,80,20,0.70,150,,150,D2PAK (TO-263AB),Single,No,image/diodes/schottky/89167.png
VBT2080S-M3,Enlarge,80,20,0.70,150,,150,D2PAK (TO-263AB),Single,No,image/diodes/schottky/87977.png
VBT3045BP-E3,Enlarge,45,30,0.51,200,,200,D2PAK (TO-263AB),Single,No,image/diodes/schottky/89449.png
VBT3045BP-M3,Enlarge,45,30,0.51,200,,200,D2PAK (TO-263AB),Single,No,image/diodes/schottky/87965.png
VBT3045C,Enlarge,45,2 x 15,0.39,200,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87957.png
VBT3045C-E3,Enlarge,45,2 x 15,0.39,200,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89360.png
VBT3045CBP-E3,Enlarge,,,,,,,,,,image/diodes/schottky/89373.png
VBT3045CBP-M3,Enlarge,45,2 x 15,0.39,200,,200,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87962.png
VBT3060C-E3,Enlarge,60,2 x 15,0.57,170,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89134.png
VBT3060G-E3,Enlarge,60,2 x 15,0.61,150,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89135.png
VBT3080C-E3,Enlarge,80,2 x 15,0.65,150,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89168.png
VBT3080C-M3,Enlarge,80,2 x 15,0.65,150,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87978.png
VBT3080S-E3,Enlarge,80,30,0.73,200,,150,D2PAK (TO-263AB),Single,No,image/diodes/schottky/89169.png
VBT3080S-M3,Enlarge,,,,,,,,,,image/diodes/schottky/87979.png
VBT30L60C,Enlarge,60,2 x 15,0.45,200,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89329.png
VBT4045BP-E3,Enlarge,45,40,0.51,240,,200,D2PAK (TO-263AB),Single,No,image/diodes/schottky/89442.png
VBT4045BP-M3,Enlarge,45,40,0.51,240,,200,D2PAK (TO-263AB),Single,No,image/diodes/schottky/87964.png
VBT4045C-E3,Enlarge,45,2 x 20,0.41,240,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89361.png
VBT4045C-M3,Enlarge,45,2 x 20,0.41,240,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87958.png
VBT4060C,Enlarge,60,2 x 20,0.48,240,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87973.png
VBT4060C,Enlarge,60,2 x 20,0.48,240,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89330.png
VBT5200-E3,Enlarge,200,5,0.65,80,,150,D2PAK (TO-263AB),Single,No,image/diodes/schottky/89176.png
VBT5202-M3,Enlarge,200,5,0.65,100,,175,D2PAK (TO-263AB),Single,No,image/diodes/schottky/87700.png
VBT6045C-E3,Enlarge,45,2 x 30,0.47,320,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89362.png
VBT6045C-M3,Enlarge,45,2 x 30,0.47,320,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87959.png
VBT6045CBP-E3,Enlarge,45,2 x 30,0.47,320,,200,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89374.png
VBT6045CBP-M3,Enlarge,45,2 x 30,0.47,320,,200,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/98533.png
VBT760-E3,Enlarge,60,7.5,0.60,100,,150,D2PAK (TO-263AB),Single,No,image/diodes/schottky/89130.png
VF10150C,Enlarge,150,2 x 5.0,0.69,60,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89327.png
VF10150C-E3,Enlarge,150,2 x 5.0,0.69,60,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89068.png
VF10150S,Enlarge,150,10,0.69,120,,150,ITO-220AB,Single,No,image/diodes/schottky/89267.png
VF10150S-E3,Enlarge,150,10,0.69,120,,150,ITO-220AB,Single,No,image/diodes/schottky/89058.png
VF20100C,Enlarge,100,2 x 10,0.58,150,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89323.png
VF20100C-E3,Enlarge,100,2 x 10,0.58,150,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/88977.png
VF20100S-E3,Enlarge,100,20,0.69,250,,150,ITO-220AB,Single,No,image/diodes/schottky/88975.png
VF20100S-M3,Enlarge,100,20,0.69,250,,150,ITO-220AB,Single,No,image/diodes/schottky/87648.png
VF20100SG,Enlarge,100,20,0.75,150,,150,ITO-220AC,Single,No,image/diodes/schottky/88966.png
VF20100SG,Enlarge,100,20,0.75,150,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89196.png
VF20120C,Enlarge,120,2 x 10,0.64,120,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89324.png
VF20120C-E3,Enlarge,120,2 x 10,0.64,120,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89040.png
VF20120S,Enlarge,120,20,0.73,200,,150,ITO-220AB,Single,No,image/diodes/schottky/89264.png
VF20120S-E3,Enlarge,120,20,0.73,200,,150,ITO-220AB,Single,No,image/diodes/schottky/88993.png
VF20120SG,Enlarge,120,20,0.78,150,,150,ITO-220AB,Single,No,image/diodes/schottky/89265.png
VF20120SG-E3,Enlarge,120,20,0.78,150,,150,ITO-220AB,Single,No,image/diodes/schottky/88994.png
VF20150C,Enlarge,150,2 x 10,0.69,120,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89328.png
VF20150C-E3,Enlarge,150,2 x 10,0.69,120,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89046.png
VF20150S,Enlarge,150,20,0.75,160,,150,ITO-220AB,Single,No,image/diodes/schottky/89268.png
VF20150S-E3,Enlarge,150,20,0.75,160,,150,ITO-220AB,Single,No,image/diodes/schottky/89059.png
VF20150SG,Enlarge,150,20,0.77,140,,150,ITO-220AB,Single,No,image/diodes/schottky/89269.png
VF20150SG-E3,Enlarge,150,20,0.77,140,,150,ITO-220AB,Single,No,image/diodes/schottky/89060.png
VF20200C-E3,Enlarge,200,2 x 10,0.68,120,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89072.png
VF20200G-E3,Enlarge,200,2 x 10,0.71,110,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89117.png
VF20202C,Enlarge,200,2 x 10,0.68,150,,175,ITO-220AB,Common cathode,No,image/diodes/schottky/87797.png
VF20202G,Enlarge,200,2 x 10,0.71,130,,175,ITO-220AB,Common cathode,No,image/diodes/schottky/87798.png
VF20M120C-M3,Enlarge,120,2 x 10,0.64,120,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89469.png
VF30100C-E3,Enlarge,100,2 x 15,0.63,160,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89010.png
VF30100C-M3,Enlarge,100,2 x 15,0.63,160,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89203.png
VF30100S,Enlarge,100,30,0.69,250,,150,ITO-220AB,Single,No,image/diodes/schottky/89195.png
VF30100S-E3,Enlarge,100,30,0.69,250,,150,ITO-220AB,Single,No,image/diodes/schottky/88941.png
VF30100SG-E3,Enlarge,100,30,0.76,250,,150,ITO-220AB,Single,No,image/diodes/schottky/88996.png
VF30120C,Enlarge,120,2 x 15,0.68,150,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89325.png
VF30120C-E3,Enlarge,120,2 x 15,0.68,150,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89041.png
VF30120S,Enlarge,120,30,0.74,300,,150,ITO-220AB,Single,No,image/diodes/schottky/89152.png
VF30120S-E3,Enlarge,120,30,0.74,300,,150,ITO-220AB,Single,No,image/diodes/schottky/88974.png
VF30120SG,Enlarge,120,30,0.81,220,,150,ITO-220AB,Single,No,image/diodes/schottky/89266.png
VF30120SG-E3,Enlarge,120,30,0.81,220,,150,ITO-220AB,Single,No,image/diodes/schottky/89011.png
VF30150C,Enlarge,150,2 x 15,0.71,140,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89047.png
VF30150C-M3,Enlarge,150,2 x 15,0.71,140,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89270.png
VF30200C,Enlarge,200,2 x 15,0.648,250,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89014.png
VF30202C,Enlarge,200,2 x 15,0.65,260,,175,ITO-220AB,Common cathode,No,image/diodes/schottky/87799.png
VF30M120C-M3,Enlarge,120,2 x 15,0.68,150,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89470.png
VF40100C,Enlarge,100,2 x 20,0.61,250,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89459.png
VF40100C-E3,Enlarge,100,2 x 20,0.61,250,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89042.png
VF40100G,Enlarge,100,2 x 20,0.67,200,,150,ITO-220AB,Single,No,image/diodes/schottky/89951.png
VF40100G-E3,Enlarge,100,2 x 20,0.67,200,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/88970.png
VF40120C,Enlarge,120,2 x 20,0.63,250,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89326.png
VF40120C,Enlarge,120,2 x 20,0.63,250,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/88937.png
VF40150C,Enlarge,150,2 x 20,0.75,160,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89271.png
VF40150C-E3,Enlarge,150,2 x 20,0.75,160,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89048.png
VF40M120C-M3,Enlarge,120,2 x 20,0.64,250,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89471.png
VF60100C,Enlarge,100,2 x 30,0.66,320,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89394.png
VF60120C,Enlarge,120,2 x 30,0.71,300,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89395.png
VFT10200C-E3,Enlarge,200,2 x 5.0,0.65,80,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89177.png
VFT1045,Enlarge,45,10,0.52,100,,150,ITO-220AC,Single,No,image/diodes/schottky/87540.png
VFT1045BP,Enlarge,45,10,0.52,100,,200,ITO-220AC,Single,No,image/diodes/schottky/89453.png
VFT1045C-M3,Enlarge,45,2 x 5.0,0.41,100,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89353.png
VFT1045CBP,Enlarge,45,2 x 5.0,0.41,100,,200,ITO-220AB,Common cathode,No,image/diodes/schottky/89367.png
VFT1060C,Enlarge,60,2 x 5.0,0.50,100,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89253.png
VFT1060C-E3 VBT1060C-E3,Enlarge,60,2 x 5,0.50,100,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89131.png
VFT1080C,Enlarge,80,2 x 5,0.57,80,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89258.png
VFT1080C-E3,Enlarge,80,2 x 5,0.57,80,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89164.png
VFT1080S,Enlarge,80,10,0.60,100,,150,ITO-220AB,Single,No,image/diodes/schottky/89259.png
VFT1080S-E3,Enlarge,80,10,0.51,100,,150,D2PAK (TO-263AB),Single,No,image/diodes/schottky/89165.png
VFT2045BP,Enlarge,45,20,0.51,160,,200,ITO-220AC,Single,No,image/diodes/schottky/89454.png
VFT2045C-M3,Enlarge,45,2 x 10,0.41,160,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89354.png
VFT2045CBP,Enlarge,45,2 x 10,0.41,160,,200,ITO-220AB,Common cathode,No,image/diodes/schottky/89368.png
VFT2060C,Enlarge,60,2 x 10,0.52,150,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89254.png
VFT2060C-E3,Enlarge,60,2 x 10,0.52,150,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89132.png
VFT2060G,Enlarge,60,2 x 10,0.63,100,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89255.png
VFT2060G-E3,Enlarge,60,2 x 10,0.63,100,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89133.png
VFT2080C,Enlarge,80,2 x 10,0.60,100,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89260.png
VFT2080C-E3,Enlarge,80,2 x 10,0.60,100,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89166.png
VFT2080S,Enlarge,80,20,0.70,150,,150,ITO-220AB,Single,No,image/diodes/schottky/89261.png
VFT2080S-E3,Enlarge,80,20,0.70,150,,150,ITO-220AB,Single,No,image/diodes/schottky/89167.png
VFT3045BP,Enlarge,45,30,0.51,200,,200,ITO-220AC,Single,No,image/diodes/schottky/89455.png
VFT3045C-M3,Enlarge,45,2 x 15,0.39,200,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89355.png
VFT3045CBP,Enlarge,45,2 x 15,0.39,200,,200,ITO-220AB,Common cathode,No,image/diodes/schottky/89369.png
VFT3060C,Enlarge,60,2 x 15,0.57,170,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89256.png
VFT3060C-E3,Enlarge,60,2 x 15,0.57,170,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89134.png
VFT3060G,Enlarge,60,2 x 15,0.61,150,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89257.png
VFT3060G-E3,Enlarge,60,2 x 15,0.61,150,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89135.png
VFT3080C,Enlarge,80,2 x 15,0.65,150,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89262.png
VFT3080C-E3,Enlarge,80,2 x 15,0.65,150,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89168.png
VFT3080S-E3,Enlarge,80,30,0.73,200,,150,ITO-220AB,Single,No,image/diodes/schottky/89169.png
VFT3080S-M3,Enlarge,80,30,0.73,200,,150,ITO-220AB,Single,No,image/diodes/schottky/89263.png
VFT30L60C,Enlarge,60,2 x 15,0.45,200,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89436.png
VFT30L60C,Enlarge,60,2 x 15,0.45,200,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89378.png
VFT4045BP,Enlarge,45,40,0.51,240,,200,ITO-220AC,Single,No,image/diodes/schottky/89456.png
VFT4045C-M3,Enlarge,45,2 x 20,0.41,240,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89356.png
VFT4060C,Enlarge,60,2 x 20,0.48,240,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89437.png
VFT4060C-E3,Enlarge,60,2 x 20,0.48,240,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89379.png
VFT5200-E3,Enlarge,200,5,0.65,80,,150,ITO-220AC,Single,No,image/diodes/schottky/89176.png
VFT5202-M3,Enlarge,200,5,0.65,100,,175,ITO-220AC,Single,No,image/diodes/schottky/87700.png
VFT6045C-M3,Enlarge,45,2 x 30,0.47,320,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89357.png
VFT6045CBP,Enlarge,45,2 x 30,0.47,320,,200,ITO-220AB,Common cathode,No,image/diodes/schottky/89370.png
VFT760,Enlarge,60,7.5,0.60,100,,150,ITO-220AC,Single,No,image/diodes/schottky/89252.png
VFT760-E3,Enlarge,60,7.5,0.60,100,,150,ITO-220AC,Single,No,image/diodes/schottky/89130.png
VI10150C-E3,Enlarge,150,2 x 5.0,0.69,60,,150,TO-262AA,Common cathode,No,image/diodes/schottky/89068.png
VI10150S,Enlarge,150,10,0.69,120,,150,TO-262AA,Single,No,image/diodes/schottky/89246.png
VI10150S-E3,Enlarge,150,10,0.69,120,,150,TO-262AA,Single,No,image/diodes/schottky/89058.png
VI20100C-E3,Enlarge,100,2 x 10,0.58,150,,150,TO-262AA,Common cathode,No,image/diodes/schottky/88977.png
VI20100S,Enlarge,100,20,0.69,250,,150,TO-262AA,Single,No,image/diodes/schottky/89190.png
VI20100S-E3,Enlarge,100,20,0.69,250,,150,TO-262AA,Single,No,image/diodes/schottky/88975.png
VI20100SG,Enlarge,100,20,0.75,150,,150,TO-262AA,Single,No,image/diodes/schottky/89153.png
VI20100SG,Enlarge,100,20,0.75,150,,150,TO-262AA,Single,No,image/diodes/schottky/88966.png
VI20120C-E3,Enlarge,120,2 x 10,0.64,120,,150,TO-262AA,Common cathode,No,image/diodes/schottky/89040.png
VI20120S,Enlarge,120,20,0.73,200,,150,TO-262AA,Single,No,image/diodes/schottky/89243.png
VI20120S-E3,Enlarge,120,20,0.73,200,,150,TO-262AA,Single,No,image/diodes/schottky/88993.png
VI20120SG,Enlarge,120,20,0.78,150,,150,TO-262AA,Single,No,image/diodes/schottky/89244.png
VI20120SG-E3,Enlarge,120,20,0.78,150,,150,TO-262AA,Single,No,image/diodes/schottky/88994.png
VI20150C-E3,Enlarge,150,2 x 10,0.69,120,,150,TO-262AA,Common cathode,No,image/diodes/schottky/89046.png
VI20150S,Enlarge,150,20,0.75,160,,150,TO-262AA,Single,No,image/diodes/schottky/89247.png
VI20150S-E3,Enlarge,150,20,0.75,160,,150,TO-262AA,Single,No,image/diodes/schottky/89059.png
VI20150SG,Enlarge,150,20,0.77,140,,150,TO-262AA,Single,No,image/diodes/schottky/89248.png
VI20150SG-E3,Enlarge,150,20,0.77,140,,150,TO-262AA,Single,No,image/diodes/schottky/89060.png
VI20200C-E3,Enlarge,200,2 x 10,0.68,120,,150,TO-262AA,Common cathode,No,image/diodes/schottky/89072.png
VI20200G-E3,Enlarge,200,2 x 10,0.71,110,,150,TO-262AA,Common cathode,No,image/diodes/schottky/89117.png
VI20202C,Enlarge,200,2 x 10,0.68,150,,175,TO-262AA,Common cathode,No,image/diodes/schottky/87797.png
VI20202G,Enlarge,200,2 x 10,0.71,130,,175,TO-262AA,Common cathode,No,image/diodes/schottky/87798.png
VI20M120C,Enlarge,120,2 x 10,0.64,120,,175,TO-262AA,Common cathode,No,image/diodes/schottky/89463.png
VI30100C,Enlarge,100,2 x 15,0.63,160,,150,TO-262AA,Common cathode,No,image/diodes/schottky/89158.png
VI30100C-E3,Enlarge,100,2 x 15,0.63,160,,150,TO-262AA,Common cathode,No,image/diodes/schottky/89010.png
VI30100S,Enlarge,100,30,0.69,250,,150,TO-262AA,Single,No,image/diodes/schottky/89175.png
VI30100S-E3,Enlarge,100,30,0.69,250,,150,TO-262AA,Single,No,image/diodes/schottky/88941.png
VI30100SG,Enlarge,100,30,0.76,250,,150,TO-262AA,Single,No,image/diodes/schottky/89191.png
VI30100SG-E3,Enlarge,100,30,0.76,250,,150,TO-262AA,Single,No,image/diodes/schottky/88996.png
VI30120C-E3,Enlarge,120,2 x 15,0.68,150,,150,TO-262AA,Common cathode,No,image/diodes/schottky/89041.png
VI30120S,Enlarge,120,30,0.74,300,,150,TO-262AA,Single,No,image/diodes/schottky/89152.png
VI30120S-E3,Enlarge,120,30,0.74,300,,150,TO-262AA,Single,No,image/diodes/schottky/88974.png
VI30120SG,Enlarge,120,30,0.81,220,,150,TO-262AA,Single,No,image/diodes/schottky/89245.png
VI30120SG-E3,Enlarge,120,30,0.81,220,,150,TO-262AA,Single,No,image/diodes/schottky/89011.png
VI30150C,Enlarge,150,2 x 15,0.71,140,,150,TO-262AA,Common cathode,No,image/diodes/schottky/89249.png
VI30150C,Enlarge,150,2 x 15,0.71,140,,150,TO-262AA,Common cathode,No,image/diodes/schottky/89047.png
VI30200C,Enlarge,200,2 x 15,0.648,250,,150,TO-262AA,Common cathode,No,image/diodes/schottky/89014.png
VI30202C,Enlarge,200,2 x 15,0.65,260,,175,TO-262AA,Common cathode,No,image/diodes/schottky/87799.png
VI30M120C,Enlarge,120,2 x 15,0.68,150,,175,TO-262AA,Common cathode,No,image/diodes/schottky/89464.png
VI40100C,Enlarge,100,2 x 20,0.61,250,,150,TO-262AA,Common cathode,No,image/diodes/schottky/89162.png
