Part Number▲▼,Product Image,Rev. Voltage(V)▲▼,IF(AV)(A)▲▼,VFat IF(V at A)▲▼,IFSM(A)▲▼,IRM(mA)▲▼,TJmax.(°C)▲▼,Package (JEDEC®) Code▲▼,Circuit Configuration▲▼,AEC-Q101Qualified▲▼,Image path
MBRB15H45CT,Enlarge,45,2 x 7.5,0.55,150,,175,D2PAK (TO-263AB),Common cathode,Yes,image/diodes/schottky/88782.png
MBRB15xxCT,Enlarge,45,2 x 7.5,see datasheet,150,,150,D2PAK (TO-263AB),Common cathode,Yes,image/diodes/schottky/88670.png
MBRB15xxCT,Enlarge,60,2 x 7.5,see datasheet,150,,150,D2PAK (TO-263AB),Common cathode,Yes,image/diodes/schottky/88670.png
MBRB16H60,Enlarge,35,16,see datasheet,150,,175,D2PAK (TO-263AB),Single,Yes,image/diodes/schottky/88784.png
MBRB16xx,Enlarge,35 to 60,16,see datasheet,150,,150,D2PAK (TO-263AB),Single,Yes,image/diodes/schottky/88671.png
MBRB20100CT-M3,Enlarge,100,2 x 10,0.65,150,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87980.png
MBRB2090CT-M3,Enlarge,90,2 x 10,0.65,150,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87980.png
MBRB20H100CT,Enlarge,100,2 x 10,0.64,250,,175,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/88673.png
MBRB20H60CT,Enlarge,60,2 x 10,0.61,150,,175,D2PAK (TO-263AB),Common cathode,Yes,image/diodes/schottky/88787.png
MBRB20xxCT,Enlarge,45,2 x 10,see datasheet,150,,150,D2PAK (TO-263AB),Common cathode,Yes,image/diodes/schottky/88674.png
MBRB20xxCT,Enlarge,60,2 x 10,see datasheet,150,,150,D2PAK (TO-263AB),Common cathode,Yes,image/diodes/schottky/88674.png
MBRB20xxxCT-E3,Enlarge,90,2 x 10,0.65,150,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89033.png
MBRB20xxxCT-E3,Enlarge,100,2 x 10,0.65,150,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/89033.png
MBRB2545CT,Enlarge,45,2 x 12.5,see datasheet,150,,150,D2PAK (TO-263AB),Common cathode,Yes,image/diodes/schottky/87592.png
MBRB2560CT,Enlarge,60,2 x 12.5,see datasheet,150,,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/87593.png
MBRB25H35CT,Enlarge,35,2 x 15,see datasheet,150,,175,D2PAK (TO-263AB),Common cathode,Yes,image/diodes/schottky/88789.png
MBRB25H45CT,Enlarge,45,2 x 15,see datasheet,150,,175,D2PAK (TO-263AB),Common cathode,Yes,image/diodes/schottky/88789.png
MBRB25H60CT,Enlarge,60,2 x 15,see datasheet,150,,175,D2PAK (TO-263AB),Common cathode,Yes,image/diodes/schottky/88789.png
MBRB3045CT,Enlarge,45,2 x 15,0.60,200,,150,D2PAK (TO-263AB),Common cathode,Yes,image/diodes/schottky/88677.png
MBRB30H100CT,Enlarge,100,2 x 15,0.67,275,,175,D2PAK (TO-263AB),Common cathode,No,image/diodes/schottky/88791.png
MBRB30HxxCT,Enlarge,45,2 x 15,see datasheet,150,,175,D2PAK (TO-263AB),Common cathode,Yes,image/diodes/schottky/87539.png
MBRB30HxxCT,Enlarge,60,2 x 15,see datasheet,150,,175,D2PAK (TO-263AB),Common cathode,Yes,image/diodes/schottky/87539.png
MBRB7xx,Enlarge,45,7.5,see datasheet,150,,150,D2PAK (TO-263AB),Single,Yes,image/diodes/schottky/87594.png
MBRB7xx,Enlarge,60,7.5,see datasheet,150,,150,D2PAK (TO-263AB),Single,Yes,image/diodes/schottky/87594.png
MBRF10100,Enlarge,100,10,0.65,150,,150,ITO-220AC,Single,No,image/diodes/schottky/89320.png
MBRF10100CT-M3,Enlarge,100,2 x 5.0,0.75,120,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89126.png
MBRF1090,Enlarge,90,10,0.65,150,,150,ITO-220AC,Single,No,image/diodes/schottky/89320.png
MBRF1090CT-M3,Enlarge,90,2 x 5.0,0.75,120,,150,ITO-220AB,Common cathode,No,image/diodes/schottky/89126.png
MBRF10H100,Enlarge,100,10,0.64,250,,175,ITO-220AC,Single,No,image/diodes/schottky/88667.png
MBRF10H100CT,Enlarge,100,2 x 5,0.61,150,,175,ITO-220AC,Common cathode,No,image/diodes/schottky/88668.png
MBRF10xx,Enlarge,45,10,see datasheet,150,,150,ITO-220AC,Single,Yes,image/diodes/schottky/88669.png
MBRF10xx,Enlarge,60,10,see datasheet,150,,150,ITO-220AC,Single,Yes,image/diodes/schottky/88669.png
MBRF10xxx-E3,Enlarge,90,10,0.65,150,,150,ITO-220AC,Single,No,image/diodes/schottky/89034.png
