Series▲▼;Product Image;Resistance Min.(Ω)▲▼;Resistance Max.(Ω)▲▼;E-Series▲▼;Tolerance(± %)▲▼;Power Rating(W)▲▼;Maximum Voltage(V)▲▼;TCR(± ppm/°C)▲▼;MountingTechnology▲▼;Size / Device Style▲▼;OperatingTemperature(°C)▲▼;Automotive▲▼;Image path
AH;Enlarge;5;500;n/a;5;300;387;100;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
AH;Enlarge;5;500;n/a;5;300;387;25;Heatsink;Heatsink;-25 to +250;No;image/resistors-fixed/31883.png
ALSR, ALVR;Enlarge;0.1;12000;n/a;1;3;190;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;12000;n/a;1;3;190;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;12000;n/a;1;3;190;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;12000;n/a;10;3;190;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;12000;n/a;10;3;190;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;12000;n/a;10;3;190;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;12000;n/a;3;3;190;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;12000;n/a;3;3;190;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;12000;n/a;3;3;190;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;12000;n/a;5;3;190;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;12000;n/a;5;3;190;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;12000;n/a;5;3;190;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;20150;n/a;1;4;284;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;20150;n/a;1;4;284;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;20150;n/a;1;4;284;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;20150;n/a;10;4;284;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;20150;n/a;10;4;284;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;20150;n/a;10;4;284;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;20150;n/a;3;4;284;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;20150;n/a;3;4;284;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;20150;n/a;3;4;284;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;20150;n/a;5;4;284;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;20150;n/a;5;4;284;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;20150;n/a;5;4;284;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;29250;n/a;1;5;382;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;29250;n/a;1;5;382;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;29250;n/a;1;5;382;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;29250;n/a;10;5;382;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;29250;n/a;10;5;382;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;29250;n/a;10;5;382;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;29250;n/a;3;5;382;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;29250;n/a;3;5;382;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;29250;n/a;3;5;382;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;29250;n/a;5;5;382;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;29250;n/a;5;5;382;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;29250;n/a;5;5;382;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;3185;n/a;1;1;56;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;3185;n/a;1;1;56;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;3185;n/a;1;1;56;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;3185;n/a;10;1;56;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;3185;n/a;10;1;56;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;3185;n/a;10;1;56;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;3185;n/a;3;1;56;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;3185;n/a;3;1;56;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;3185;n/a;3;1;56;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;3185;n/a;5;1;56;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;3185;n/a;5;1;56;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;3185;n/a;5;1;56;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;40300;n/a;1;4;401;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;40300;n/a;1;4;401;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;40300;n/a;1;4;401;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;40300;n/a;10;4;401;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;40300;n/a;10;4;401;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;40300;n/a;10;4;401;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;40300;n/a;3;4;401;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;40300;n/a;3;4;401;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;40300;n/a;3;4;401;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;40300;n/a;5;4;401;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;40300;n/a;5;4;401;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;40300;n/a;5;4;401;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;46000;n/a;1;7;567;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;46000;n/a;1;7;567;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;46000;n/a;1;7;567;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;46000;n/a;10;7;567;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;46000;n/a;10;7;567;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;46000;n/a;10;7;567;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;46000;n/a;3;7;567;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;46000;n/a;3;7;567;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;46000;n/a;3;7;567;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;46000;n/a;5;7;567;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;46000;n/a;5;7;567;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;46000;n/a;5;7;567;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;58500;n/a;1;5;541;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;58500;n/a;1;5;541;50;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;58500;n/a;1;5;541;90;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
ALSR, ALVR;Enlarge;0.1;58500;n/a;10;5;541;30;Through-hole;Axial;-65 to +350;No;image/resistors-fixed/31800.png
