Series▲▼;Product Image;Technology▲▼;Mounting▲▼;Construction▲▼;Capacitance▲▼;Voltage(V)▲▼;ESR(mΩ)▲▼;Case Size(mm)▲▼;Image path
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;10;55;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;6.3;80;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;15 µF;35;100;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;15 µF;25;75;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;4;80;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;68 µF;16;75;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;6.3;40;;image/capacitors/polymer/40281.png
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;3;80;;image/capacitors/polymer/40281.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;45 µF;75;50;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;450 µF;16;13;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;45 µF;50;50;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;300 µF;30;75;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;60 µF;63;25;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;50;100;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;140 µF;35;18;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;1.9 mF;16;7;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;900 µF;30;25;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;990 µF;16;9;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;190 µF;50;25;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;470 µF;16;25;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;66 µF;75;35;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;660 µF;16;13;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;66 µF;50;35;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;300 µF;30;38;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;66 µF;63;35;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;50;70;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;190 µF;35;18;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;1.9 mF;16;5;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;900 µF;30;13;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;1.3 mF;16;7;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;280 µF;50;17;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;30;150;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;450 µF;30;50;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;90 µF;75;25;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;660 µF;16;9;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;95 µF;50;50;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;90 µF;63;25;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;15 µF;63;100;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;190 µF;35;14;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;30;75;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;95 µF;35;35;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;1.3 mF;16;5;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;30 µF;63;50;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;450 µF;30;25;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;130 µF;75;17;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;900 µF;16;7;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;90 µF;50;25;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;90 µF;63;17;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;22 µF;63;100;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;280 µF;35;12;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;2 mF;16;5;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;35;70;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;95 µF;35;28;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;1.4 mF;16;9;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;45 µF;63;50;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;600 µF;30;38;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;940 µF;16;13;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;130 µF;50;17;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;16;25;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;130 µF;63;17;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;22 µF;75;100;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;280 µF;35;10;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;2.8 mF;16;5;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;22 µF;50;100;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;140 µF;35;25;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;1.4 mF;16;7;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;45 µF;63;35;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;600 µF;30;20;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;940 µF;16;10;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;140 µF;50;35;;image/capacitors/polymer/40271.png
DLA 20021;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;16;25;;image/capacitors/polymer/40271.png
T27;Enlarge;Polymer;;;22 µF;75;100;7.0 x 7.0 x 7.2 (D);image/capacitors/polymer/40277.png
T27;Enlarge;Polymer;;;47 µF;50;100;7.0 x 7.0 x 7.2 (D);image/capacitors/polymer/40277.png
T27;Enlarge;Polymer;;;220 µF;25;55;7.0 x 7.0 x 7.2 (D);image/capacitors/polymer/40277.png
T27;Enlarge;Polymer;;;15 µF;63;100;7.0 x 7.0 x 7.2 (D);image/capacitors/polymer/40277.png
T27;Enlarge;Polymer;;;47 µF;35;70;7.0 x 7.0 x 7.2 (D);image/capacitors/polymer/40277.png
T27;Enlarge;Polymer;;;22 µF;63;100;7.0 x 7.0 x 7.2 (D);image/capacitors/polymer/40277.png
T27;Enlarge;Polymer;;;150 µF;35;100;7.0 x 7.0 x 7.2 (D);image/capacitors/polymer/40277.png
T27;Enlarge;Polymer;;;33 µF;63;100;7.0 x 7.0 x 7.2 (D);image/capacitors/polymer/40277.png
T27;Enlarge;Polymer;;;22 µF;50;100;7.0 x 7.0 x 7.2 (D);image/capacitors/polymer/40277.png
T27;Enlarge;Polymer;;;330 µF;16;25;7.0 x 7.0 x 7.2 (D);image/capacitors/polymer/40277.png
T27;Enlarge;Polymer;;;15 µF;75;100;7.0 x 7.0 x 7.2 (D);image/capacitors/polymer/40277.png
T27;Enlarge;Polymer;;;33 µF;50;100;7.0 x 7.0 x 7.2 (D);image/capacitors/polymer/40277.png
T27;Enlarge;Polymer;;;470 µF;16;25;7.0 x 7.0 x 7.2 (D);image/capacitors/polymer/40277.png
T50;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;16;50;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40254.png
T50;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;6.3;25;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40254.png
T50;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;2.5;25;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40254.png
T50;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;25;60;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40254.png
T50;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;10;40;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40254.png
T50;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;4;25;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40254.png
T50;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;25;100;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40254.png
T50;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;10;40;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40254.png
T50;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;4;25;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40254.png
T50;Enlarge;Polymer;SMD, molded;SMD, molded;10 µF;35;120;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40254.png
T50;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;16;70;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40254.png
T50;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;6.3;25;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40254.png
T50;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;16;70;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40254.png
T50;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;6.3;25;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40254.png
T50;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;2.5;25;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40254.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;10 µF;25;120;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;6.3;40;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;68 µF;16;70;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;4;40;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;2.5;70;3.5 x 2.8 x 2.1 (B);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;3.3 µF;35;300;3.5 x 2.8 x 2.1 (B);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;10;40;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;15 µF;25;100;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;16;50;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;4;40;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;2.5;40;7.3 x 4.3 x 2.0 (V);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;4.7 µF;35;300;3.5 x 2.8 x 2.1 (B);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;10;40;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;22 µF;25;100;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;6.3;40;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;16;65;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;6.3;70;3.5 x 2.8 x 2.1 (B);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;10;40;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;2.5;40;7.3 x 4.3 x 2.0 (V);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;6.8 µF;35;120;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;25;100;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;6.3;40;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;20;100;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;68 µF;6.3;70;3.5 x 2.8 x 2.1 (B);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;16;70;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;4;70;3.5 x 2.8 x 2.1 (B);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;10 µF;35;120;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;25;60;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;10;70;3.5 x 2.8 x 2.1 (B);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;4.7 µF;25;300;3.5 x 2.8 x 2.1 (B);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;6.3;70;3.5 x 2.8 x 2.1 (B);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;16;70;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;4;40;7.3 x 4.3 x 3.1 (D);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;2.2 µF;35;300;3.5 x 2.8 x 2.1 (B);image/capacitors/polymer/40259.png
T51;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;10;70;3.5 x 2.8 x 2.1 (B);image/capacitors/polymer/40259.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;35;70;7.3 x 6.0 x 2 (M1);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;20;100;7.3 x 4.3 x 1.5 (E5);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;25;55;7.3 x 6.0 x 2 (M1);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;16;55;7.3 x 6.0 x 2 (M1);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;25;100;7.3 x 6.0 x 2 (M1);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;16;200;3.5 x 2.8 x 1.2 (B2);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;35;55;7.3 x 6.0 x 2 (M1);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;20;70;7.3 x 4.3 x 1.5 (E5);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;35;100;7.3 x 4.3 x 1.5 (E5);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;16;55;7.3 x 6.0 x 2 (M1);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;25;70;7.3 x 6.0 x 2 (M1);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;16;100;7.3 x 4.3 x 1.5 (E5);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;35;100;7.3 x 6.0 x 1.9 (M9);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;20;55;7.3 x 4.3 x 1.5 (E5);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;35;70;7.3 x 4.3 x 1.5 (E5);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;16;40;7.3 x 6.0 x 2 (M1);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;25;55;7.3 x 6.0 x 2 (M1);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;16;70;7.3 x 4.3 x 1.5 (E5);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;35;70;7.3 x 6.0 x 1.9 (M9);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;25;100;7.3 x 4.3 x 1.5 (E5);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;35;55;7.3 x 4.3 x 1.5 (E5);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;470 µF;16;55;7.3 x 6.0 x 2 (M1);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;25;100;7.3 x 6.0 x 2 (M1);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;16;50;7.3 x 4.3 x 1.5 (E5);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;10;55;7.3 x 6.0 x 2 (M1);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;35;55;7.3 x 6.0 x 1.9 (M9);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;25;70;7.3 x 4.3 x 1.5 (E5);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;35;100;7.3 x 6.0 x 2 (M1);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;25;70;7.3 x 6.0 x 2 (M1);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;16;70;7.3 x 6.0 x 2 (M1);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;25;55;7.3 x 4.3 x 1.5 (E5);image/capacitors/polymer/40216.png
T52;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;10;55;7.3 x 6.0 x 2 (M1);image/capacitors/polymer/40216.png
T54;Enlarge;Polymer;SMD, molded;SMD, molded;900 µF;30;25;;image/capacitors/polymer/40212.png
T54;Enlarge;Polymer;SMD, molded;SMD, molded;90 µF;63;17;;image/capacitors/polymer/40212.png
T54;Enlarge;Polymer;SMD, molded;SMD, molded;990 µF;16;9;;image/capacitors/polymer/40212.png
T54;Enlarge;Polymer;SMD, molded;SMD, molded;900 µF;35;17;;image/capacitors/polymer/40212.png
T54;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;35;70;;image/capacitors/polymer/40212.png
T54;Enlarge;Polymer;SMD, molded;SMD, molded;45 µF;63;50;;image/capacitors/polymer/40212.png
T54;Enlarge;Polymer;SMD, molded;SMD, molded;660 µF;16;13;;image/capacitors/polymer/40212.png
T54;Enlarge;Polymer;SMD, molded;SMD, molded;300 µF;35;25;;image/capacitors/polymer/40212.png
T54;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;16;25;;image/capacitors/polymer/40212.png
T54;Enlarge;Polymer;SMD, molded;SMD, molded;300 µF;30;38;;image/capacitors/polymer/40212.png
T54;Enlarge;Polymer;SMD, molded;SMD, molded;15 µF;63;100;;image/capacitors/polymer/40212.png
T54;Enlarge;Polymer;SMD, molded;SMD, molded;190 µF;35;18;;image/capacitors/polymer/40212.png
T54;Enlarge;Polymer;SMD, molded;SMD, molded;66 µF;75;35;;image/capacitors/polymer/40212.png
T54;Enlarge;Polymer;SMD, molded;SMD, molded;1.9 mF;16;7;;image/capacitors/polymer/40212.png
