Series▲▼;Product Image;Order Code▲▼;Cap (µF)▲▼;Voltage (V)▲▼;Form▲▼;Case Size▲▼;Temp Max (°C)▲▼;Useful Life▲▼;Style▲▼;Technology▲▼;Image path
196 DLC;Enlarge;MAL219632334E3;330000;5.5;Cell;Ø11.5x13;+70 °C;1000;"""Button Cell, 2-pin, Stacked Horizontal, Form B""";Supercapacitor;image/capacitors/energy-storage/28362.png
196 DLC;Enlarge;MAL219672155E3;1500000;5.5;Cell;Ø19x20.5;+85 °C;1000;"""Button Cell, 2-pin, Stacked Horizontal, Form B""";Supercapacitor;image/capacitors/energy-storage/28362.png
196 DLC;Enlarge;MAL219612334E3;330000;5.5;Cell;Ø13x7;+70 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors/energy-storage/28362.png
196 DLC;Enlarge;MAL219612474E3;470000;5.5;Cell;Ø21x7.5;+70 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors/energy-storage/28362.png
196 DLC;Enlarge;MAL219622474E3;470000;5.5;Cell;Ø21x9;+85 °C;1000;"""Button Cell, 2-pin, Stacked Vertical, Form A""";Supercapacitor;image/capacitors/energy-storage/28362.png
196 HVC ENYCAP™;Enlarge;MAL219691263E3;15000000;4.2;Cell;14.5x36.0x2.5;+85 °C;1000;"""Button Cell, Connector, Flat, Form F""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691115E3;4000000;7;Cell;Ø7.0x12.5;+70 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Horizontal, keyed polarity, Form B3""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691253E3;15000000;4.2;Cell;22.0x24.0x2.5;+85 °C;1000;"""SMD, Button Cell, Flat, Three Cells, Form E3""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691125E3;4000000;7;Cell;Ø7.0x12.5;+70 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Horizontal, Form B2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691214E3;15000000;5.6;Cell;Ø12.0x10.0;+85 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Horizontal, keyed polarity, Form B3""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691105E3;4000000;7;Cell;Ø7.0x12.5;+70 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Vertical, Form A2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691204E3;15000000;5.6;Cell;Ø12.0x10.0;+85 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Vertical, Form A2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691116E3;4000000;8.4;Cell;Ø7.0x15.0;+70 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Horizontal, keyed polarity, Form B3""";Supercapacitor;image/capacitors/energy-storage/28409.png
