Series▲▼,Product Image,IO(A)▲▼,TC(°C)▲▼,VRRM(V)▲▼,VRSM(V)▲▼,IFSMat 50 Hz(A)▲▼,IFSMat 60 Hz(A)▲▼,VFMat ITMat25 °C(V)▲▼,TJ(°C)▲▼,RthJCperJunction(°C/W)▲▼,Package▲▼,CircuitConfiguration▲▼,Image path
VS-161MT...C Series,Enlarge,257,85,1600,1700,1540,1610,1.85 at 300,150,0.35,MTC,Three phase bridge,image/modules/bridge-modules/96990.png
VS-1KAB-E Series,Enlarge,1.2,n/a,600,600,50,52,1.1 at 1.2,150,n/a,D-38,Single phase bridge,image/modules/bridge-modules/93559.png
VS-1KAB-E Series,Enlarge,1.2,n/a,200,200,50,52,1.1 at 1.2,150,n/a,D-38,Single phase bridge,image/modules/bridge-modules/93559.png
VS-1KAB-E Series,Enlarge,1.2,n/a,50,50,50,52,1.1 at 1.2,150,n/a,D-38,Single phase bridge,image/modules/bridge-modules/93559.png
VS-1KAB-E Series,Enlarge,1.2,n/a,800,800,50,52,1.1 at 1.2,150,n/a,D-38,Single phase bridge,image/modules/bridge-modules/93559.png
VS-1KAB-E Series,Enlarge,1.2,n/a,400,400,50,52,1.1 at 1.2,150,n/a,D-38,Single phase bridge,image/modules/bridge-modules/93559.png
VS-1KAB-E Series,Enlarge,1.2,n/a,100,100,50,52,1.1 at 1.2,150,n/a,D-38,Single phase bridge,image/modules/bridge-modules/93559.png
VS-1KAB-E Series,Enlarge,1.2,n/a,1000,1000,50,52,1.1 at 1.2,150,n/a,D-38,Single phase bridge,image/modules/bridge-modules/93559.png
VS-200MT40KPbF,Enlarge,200,85,400,500,1800,1880,1.40 at 200,150,0.69,MTK,Three phase bridge,image/modules/bridge-modules/94355.png
"VS-26MT.., VS-36MT.. Series",Enlarge,35,60,1600,1700,475,500,1.19 at 40,150,n/a,D-63,Three phase bridge,image/modules/bridge-modules/93565.png
"VS-26MT.., VS-36MT.. Series",Enlarge,25,70,400,500,360,375,1.26 at 40,150,n/a,D-63,Three phase bridge,image/modules/bridge-modules/93565.png
"VS-26MT.., VS-36MT.. Series",Enlarge,35,60,50,75,475,500,1.19 at 40,150,n/a,D-63,Three phase bridge,image/modules/bridge-modules/93565.png
"VS-26MT.., VS-36MT.. Series",Enlarge,35,60,1200,1300,475,500,1.19 at 40,150,n/a,D-63,Three phase bridge,image/modules/bridge-modules/93565.png
"VS-26MT.., VS-36MT.. Series",Enlarge,25,70,100,150,360,375,1.26 at 40,150,n/a,D-63,Three phase bridge,image/modules/bridge-modules/93565.png
"VS-26MT.., VS-36MT.. Series",Enlarge,25,70,1400,1500,360,375,1.26 at 40,150,n/a,D-63,Three phase bridge,image/modules/bridge-modules/93565.png
"VS-26MT.., VS-36MT.. Series",Enlarge,35,60,800,900,475,500,1.19 at 40,150,n/a,D-63,Three phase bridge,image/modules/bridge-modules/93565.png
"VS-26MT.., VS-36MT.. Series",Enlarge,25,70,1000,1100,360,375,1.26 at 40,150,n/a,D-63,Three phase bridge,image/modules/bridge-modules/93565.png
"VS-26MT.., VS-36MT.. Series",Enlarge,35,60,400,500,475,500,1.19 at 40,150,n/a,D-63,Three phase bridge,image/modules/bridge-modules/93565.png
"VS-26MT.., VS-36MT.. Series",Enlarge,25,70,600,725,360,375,1.26 at 40,150,n/a,D-63,Three phase bridge,image/modules/bridge-modules/93565.png
"VS-26MT.., VS-36MT.. Series",Enlarge,35,60,100,150,475,500,1.19 at 40,150,n/a,D-63,Three phase bridge,image/modules/bridge-modules/93565.png
"VS-26MT.., VS-36MT.. Series",Enlarge,35,60,1400,1500,475,500,1.19 at 40,150,n/a,D-63,Three phase bridge,image/modules/bridge-modules/93565.png
"VS-26MT.., VS-36MT.. Series",Enlarge,25,70,200,275,360,375,1.26 at 40,150,n/a,D-63,Three phase bridge,image/modules/bridge-modules/93565.png
"VS-26MT.., VS-36MT.. Series",Enlarge,25,70,1600,1700,360,375,1.26 at 40,150,n/a,D-63,Three phase bridge,image/modules/bridge-modules/93565.png
"VS-26MT.., VS-36MT.. Series",Enlarge,35,60,1000,1100,475,500,1.19 at 40,150,n/a,D-63,Three phase bridge,image/modules/bridge-modules/93565.png
"VS-26MT.., VS-36MT.. Series",Enlarge,25,70,50,75,360,375,1.26 at 40,150,n/a,D-63,Three phase bridge,image/modules/bridge-modules/93565.png
"VS-26MT.., VS-36MT.. Series",Enlarge,25,70,1200,1300,360,375,1.26 at 40,150,n/a,D-63,Three phase bridge,image/modules/bridge-modules/93565.png
"VS-26MT.., VS-36MT.. Series",Enlarge,35,60,600,725,475,500,1.19 at 40,150,n/a,D-63,Three phase bridge,image/modules/bridge-modules/93565.png
"VS-26MT.., VS-36MT.. Series",Enlarge,25,70,800,900,360,375,1.26 at 40,150,n/a,D-63,Three phase bridge,image/modules/bridge-modules/93565.png
"VS-26MT.., VS-36MT.. Series",Enlarge,35,60,200,275,475,500,1.19 at 40,150,n/a,D-63,Three phase bridge,image/modules/bridge-modules/93565.png
VS-2KBB Series,Enlarge,1.9,45,600,600,50,52,1.1 at 1.9,150,n/a,2KBB,Single phase bridge,image/modules/bridge-modules/93561.png
VS-2KBB Series,Enlarge,1.9,45,200,200,50,52,1.1 at 1.9,150,n/a,2KBB,Single phase bridge,image/modules/bridge-modules/93561.png
VS-2KBB Series,Enlarge,1.9,45,50,50,50,52,1.1 at 1.9,150,n/a,2KBB,Single phase bridge,image/modules/bridge-modules/93561.png
VS-2KBB Series,Enlarge,1.9,45,800,800,50,52,1.1 at 1.9,150,n/a,2KBB,Single phase bridge,image/modules/bridge-modules/93561.png
VS-2KBB Series,Enlarge,1.9,45,400,400,50,52,1.1 at 1.9,150,n/a,2KBB,Single phase bridge,image/modules/bridge-modules/93561.png
VS-2KBB Series,Enlarge,1.9,45,100,100,50,52,1.1 at 1.9,150,n/a,2KBB,Single phase bridge,image/modules/bridge-modules/93561.png
VS-2KBB Series,Enlarge,1.9,45,1000,1000,50,52,1.1 at 1.9,150,n/a,2KBB,Single phase bridge,image/modules/bridge-modules/93561.png
VS-2KBP Series,Enlarge,2,n/a,1000,1000,60,63,1.0 at 1,150,n/a,D-44,Single phase bridge,image/modules/bridge-modules/93562.png
VS-2KBP Series,Enlarge,2,n/a,600,600,60,63,1.0 at 1,150,n/a,D-44,Single phase bridge,image/modules/bridge-modules/93562.png
VS-2KBP Series,Enlarge,2,n/a,200,200,60,63,1.0 at 1,150,n/a,D-44,Single phase bridge,image/modules/bridge-modules/93562.png
VS-2KBP Series,Enlarge,2,n/a,50,50,60,63,1.0 at 1,150,n/a,D-44,Single phase bridge,image/modules/bridge-modules/93562.png
VS-2KBP Series,Enlarge,2,n/a,800,800,60,63,1.0 at 1,150,n/a,D-44,Single phase bridge,image/modules/bridge-modules/93562.png
VS-2KBP Series,Enlarge,2,n/a,400,400,60,63,1.0 at 1,150,n/a,D-44,Single phase bridge,image/modules/bridge-modules/93562.png
VS-2KBP Series,Enlarge,2,n/a,100,100,60,63,1.0 at 1,150,n/a,D-44,Single phase bridge,image/modules/bridge-modules/93562.png
VS-301MT...C Series,Enlarge,258,110,1600,1700,2400,2512,1.54 at 240,150,0.23,MTC,Three phase bridge,image/modules/bridge-modules/96991.png
VS-301MT...C Series,Enlarge,258,110,1800,1900,2400,2512,1.54 at 240,150,0.23,MTC,Three phase bridge,image/modules/bridge-modules/96991.png
VS-40MT160KPbF,Enlarge,40,85,1600,1700,270,280,2.02 at 100,150,2.46,MTK,Three phase bridge,image/modules/bridge-modules/93163.png
"VS-40MT160P-P, VS-70MT160P-P, VS-100MT160P-P",Enlarge,100,80,1600,1700,450,470,1.51 at 100,150,1.14,MTP PressFit,Three phase bridge,image/modules/bridge-modules/94870.png
"VS-40MT160P-P, VS-70MT160P-P, VS-100MT160P-P",Enlarge,45,100,1600,1700,270,280,1.45 at 40,150,1.6,MTP PressFit,Three phase bridge,image/modules/bridge-modules/94870.png
"VS-40MT160P-P, VS-70MT160P-P, VS-100MT160P-P",Enlarge,75,80,1600,1700,380,398,1.45 at 70,150,1.38,MTP PressFit,Three phase bridge,image/modules/bridge-modules/94870.png
"VS-40MT160P.PbF, VS-70MT160P.PbF, VS-100MT160P.PbF Series",Enlarge,100,80,1600,1700,450,470,1.51 at 100,150,1.14,MTP,Three phase bridge,image/modules/bridge-modules/94538.png
"VS-40MT160P.PbF, VS-70MT160P.PbF, VS-100MT160P.PbF Series",Enlarge,45,100,1600,1700,270,280,1.45 at 40,150,1.6,MTP,Three phase bridge,image/modules/bridge-modules/94538.png
"VS-40MT160P.PbF, VS-70MT160P.PbF, VS-100MT160P.PbF Series",Enlarge,75,80,1600,1700,380,398,1.45 at 70,150,1.38,MTP,Three phase bridge,image/modules/bridge-modules/94538.png
"VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series",Enlarge,90,85,1600,1700,950,1000,1.65 at 150,125,0.86,MTK,Three phase bridge,image/modules/bridge-modules/94353.png
"VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series",Enlarge,90,85,1200,1300,950,1000,1.65 at 150,125,0.86,MTK,Three phase bridge,image/modules/bridge-modules/94353.png
"VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series",Enlarge,110,85,1600,1700,1130,1180,1.57 at 150,125,0.70,MTK,Three phase bridge,image/modules/bridge-modules/94353.png
"VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series",Enlarge,55,85,1400,1500,390,410,2.68 at 150,125,1.07,MTK,Three phase bridge,image/modules/bridge-modules/94353.png
"VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series",Enlarge,90,85,800,900,950,1000,1.65 at 150,125,0.86,MTK,Three phase bridge,image/modules/bridge-modules/94353.png
"VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series",Enlarge,110,85,1200,1300,1130,1180,1.57 at 150,125,0.70,MTK,Three phase bridge,image/modules/bridge-modules/94353.png
"VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series",Enlarge,55,85,1000,1100,390,410,2.68 at 150,125,1.07,MTK,Three phase bridge,image/modules/bridge-modules/94353.png
"VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series",Enlarge,110,85,800,900,1130,1180,1.57 at 150,125,0.70,MTK,Three phase bridge,image/modules/bridge-modules/94353.png
"VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series",Enlarge,90,85,1400,1500,950,1000,1.65 at 150,125,0.86,MTK,Three phase bridge,image/modules/bridge-modules/94353.png
"VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series",Enlarge,90,85,1000,1100,950,1000,1.65 at 150,125,0.86,MTK,Three phase bridge,image/modules/bridge-modules/94353.png
"VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series",Enlarge,110,85,1400,1500,1130,1180,1.57 at 150,125,0.70,MTK,Three phase bridge,image/modules/bridge-modules/94353.png
"VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series",Enlarge,55,85,1200,1300,390,410,2.68 at 150,125,1.07,MTK,Three phase bridge,image/modules/bridge-modules/94353.png
"VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series",Enlarge,55,85,1600,1700,390,410,2.68 at 150,125,1.07,MTK,Three phase bridge,image/modules/bridge-modules/94353.png
"VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series",Enlarge,110,85,1000,1100,1130,1180,1.57 at 150,125,0.70,MTK,Three phase bridge,image/modules/bridge-modules/94353.png
"VS-5.MT...KPbF, VS-9.MT...KPbF, VS-11.MT...KPbF Series",Enlarge,55,85,800,900,390,410,2.68 at 150,125,1.07,MTK,Three phase bridge,image/modules/bridge-modules/94353.png
VS-60-70MT..KPbF Series,Enlarge,70,85,1000,1100,480,500,1.55 at 100,150,1.75,MTK,Three phase bridge,image/modules/bridge-modules/94356.png
VS-60-70MT..KPbF Series,Enlarge,60,85,1600,1700,420,440,1.75 at 100,150,2.22,MTK,Three phase bridge,image/modules/bridge-modules/94356.png
VS-60-70MT..KPbF Series,Enlarge,60,85,1200,1300,420,440,1.75 at 100,150,2.22,MTK,Three phase bridge,image/modules/bridge-modules/94356.png
VS-60-70MT..KPbF Series,Enlarge,70,85,1600,1700,480,500,1.55 at 100,150,1.75,MTK,Three phase bridge,image/modules/bridge-modules/94356.png
VS-60-70MT..KPbF Series,Enlarge,60,85,800,900,420,440,1.75 at 100,150,2.22,MTK,Three phase bridge,image/modules/bridge-modules/94356.png
VS-60-70MT..KPbF Series,Enlarge,70,85,1200,1300,480,500,1.55 at 100,150,1.75,MTK,Three phase bridge,image/modules/bridge-modules/94356.png
VS-60-70MT..KPbF Series,Enlarge,70,85,800,900,480,500,1.55 at 100,150,1.75,MTK,Three phase bridge,image/modules/bridge-modules/94356.png
VS-60-70MT..KPbF Series,Enlarge,60,85,1400,1500,420,440,1.75 at 100,150,2.22,MTK,Three phase bridge,image/modules/bridge-modules/94356.png
VS-60-70MT..KPbF Series,Enlarge,60,85,1000,1100,420,440,1.75 at 100,150,2.22,MTK,Three phase bridge,image/modules/bridge-modules/94356.png
VS-60-70MT..KPbF Series,Enlarge,70,85,1400,1500,480,500,1.55 at 100,150,1.75,MTK,Three phase bridge,image/modules/bridge-modules/94356.png
VS-90-110MT.KPbF Series,Enlarge,90,90,1000,1100,770,810,1.6 at 150,150,1.26,MTK,Three phase bridge,image/modules/bridge-modules/94352.png
VS-90-110MT.KPbF Series,Enlarge,110,90,1400,1500,950,1000,1.4 at 150,150,1.07,MTK,Three phase bridge,image/modules/bridge-modules/94352.png
VS-90-110MT.KPbF Series,Enlarge,110,90,1000,1100,950,1000,1.4 at 150,150,1.07,MTK,Three phase bridge,image/modules/bridge-modules/94352.png
VS-90-110MT.KPbF Series,Enlarge,90,90,1600,1700,770,810,1.6 at 150,150,1.26,MTK,Three phase bridge,image/modules/bridge-modules/94352.png
VS-90-110MT.KPbF Series,Enlarge,90,90,1200,1300,770,810,1.6 at 150,150,1.26,MTK,Three phase bridge,image/modules/bridge-modules/94352.png
VS-90-110MT.KPbF Series,Enlarge,110,90,1600,1700,950,1000,1.4 at 150,150,1.07,MTK,Three phase bridge,image/modules/bridge-modules/94352.png
VS-90-110MT.KPbF Series,Enlarge,90,90,800,900,770,810,1.6 at 150,150,1.26,MTK,Three phase bridge,image/modules/bridge-modules/94352.png
VS-90-110MT.KPbF Series,Enlarge,110,90,1200,1300,950,1000,1.4 at 150,150,1.07,MTK,Three phase bridge,image/modules/bridge-modules/94352.png
VS-90-110MT.KPbF Series,Enlarge,110,90,800,900,950,1000,1.4 at 150,150,1.07,MTK,Three phase bridge,image/modules/bridge-modules/94352.png
VS-90-110MT.KPbF Series,Enlarge,90,90,1400,1500,770,810,1.6 at 150,150,1.26,MTK,Three phase bridge,image/modules/bridge-modules/94352.png
VS-GBPC.. Series,Enlarge,35,55,800,900,475,500,n/a,150,1.4,GBPC...A,Single phase bridge,image/modules/bridge-modules/93575.png
VS-GBPC.. Series,Enlarge,25,60,1000,1100,400,420,n/a,150,1.7,GBPC...W,Single phase bridge,image/modules/bridge-modules/93575.png
VS-GBPC.. Series,Enlarge,25,60,200,275,400,420,n/a,150,1.7,GBPC...A,Single phase bridge,image/modules/bridge-modules/93575.png
VS-GBPC.. Series,Enlarge,35,55,1200,1300,475,500,n/a,150,1.4,GBPC...W,Single phase bridge,image/modules/bridge-modules/93575.png
VS-GBPC.. Series,Enlarge,35,55,400,500,475,500,n/a,150,1.4,GBPC...A,Single phase bridge,image/modules/bridge-modules/93575.png
VS-GBPC.. Series,Enlarge,25,60,600,725,400,420,n/a,150,1.7,GBPC...W,Single phase bridge,image/modules/bridge-modules/93575.png
VS-GBPC.. Series,Enlarge,35,55,800,900,475,500,n/a,150,1.4,GBPC...W,Single phase bridge,image/modules/bridge-modules/93575.png
VS-GBPC.. Series,Enlarge,25,60,1200,1300,400,420,n/a,150,1.7,GBPC...A,Single phase bridge,image/modules/bridge-modules/93575.png
VS-GBPC.. Series,Enlarge,25,60,200,275,400,420,n/a,150,1.7,GBPC...W,Single phase bridge,image/modules/bridge-modules/93575.png
VS-GBPC.. Series,Enlarge,35,55,400,500,475,500,n/a,150,1.4,GBPC...W,Single phase bridge,image/modules/bridge-modules/93575.png
VS-GBPC.. Series,Enlarge,25,60,800,900,400,420,n/a,150,1.7,GBPC...A,Single phase bridge,image/modules/bridge-modules/93575.png
VS-GBPC.. Series,Enlarge,35,55,1000,1100,475,500,n/a,150,1.4,GBPC...A,Single phase bridge,image/modules/bridge-modules/93575.png
VS-GBPC.. Series,Enlarge,25,60,1200,1300,400,420,n/a,150,1.7,GBPC...W,Single phase bridge,image/modules/bridge-modules/93575.png
VS-GBPC.. Series,Enlarge,25,60,400,500,400,420,n/a,150,1.7,GBPC...A,Single phase bridge,image/modules/bridge-modules/93575.png
VS-GBPC.. Series,Enlarge,35,55,600,725,475,500,n/a,150,1.4,GBPC...A,Single phase bridge,image/modules/bridge-modules/93575.png
VS-GBPC.. Series,Enlarge,25,60,800,900,400,420,n/a,150,1.7,GBPC...W,Single phase bridge,image/modules/bridge-modules/93575.png
VS-GBPC.. Series,Enlarge,35,55,1000,1100,475,500,n/a,150,1.4,GBPC...W,Single phase bridge,image/modules/bridge-modules/93575.png
VS-GBPC.. Series,Enlarge,35,55,200,275,475,500,n/a,150,1.4,GBPC...A,Single phase bridge,image/modules/bridge-modules/93575.png
VS-GBPC.. Series,Enlarge,25,60,400,500,400,420,n/a,150,1.7,GBPC...W,Single phase bridge,image/modules/bridge-modules/93575.png
VS-GBPC.. Series,Enlarge,35,55,600,725,475,500,n/a,150,1.4,GBPC...W,Single phase bridge,image/modules/bridge-modules/93575.png
VS-GBPC.. Series,Enlarge,25,60,1000,1100,400,420,n/a,150,1.7,GBPC...A,Single phase bridge,image/modules/bridge-modules/93575.png
VS-GBPC.. Series,Enlarge,35,55,1200,1300,475,500,n/a,150,1.4,GBPC...A,Single phase bridge,image/modules/bridge-modules/93575.png
VS-GBPC.. Series,Enlarge,35,55,200,275,475,500,n/a,150,1.4,GBPC...W,Single phase bridge,image/modules/bridge-modules/93575.png
VS-GBPC.. Series,Enlarge,25,60,600,725,400,420,n/a,150,1.7,GBPC...A,Single phase bridge,image/modules/bridge-modules/93575.png
"VS-KBPC1, VS-KBPC6 Series",Enlarge,3,50,1000,1000,50,55,n/a,150,n/a,D-72,Single phase bridge,image/modules/bridge-modules/93585.png
"VS-KBPC1, VS-KBPC6 Series",Enlarge,6,50,1000,1000,125,137,n/a,150,n/a,D-72,Single phase bridge,image/modules/bridge-modules/93585.png
"VS-KBPC1, VS-KBPC6 Series",Enlarge,3,50,600,600,50,55,n/a,150,n/a,D-72,Single phase bridge,image/modules/bridge-modules/93585.png
"VS-KBPC1, VS-KBPC6 Series",Enlarge,6,50,600,600,125,137,n/a,150,n/a,D-72,Single phase bridge,image/modules/bridge-modules/93585.png
"VS-KBPC1, VS-KBPC6 Series",Enlarge,3,50,200,200,50,55,n/a,150,n/a,D-72,Single phase bridge,image/modules/bridge-modules/93585.png
"VS-KBPC1, VS-KBPC6 Series",Enlarge,6,50,200,200,125,137,n/a,150,n/a,D-72,Single phase bridge,image/modules/bridge-modules/93585.png
"VS-KBPC1, VS-KBPC6 Series",Enlarge,3,50,50,50,50,55,n/a,150,n/a,D-72,Single phase bridge,image/modules/bridge-modules/93585.png
"VS-KBPC1, VS-KBPC6 Series",Enlarge,6,50,50,50,125,137,n/a,150,n/a,D-72,Single phase bridge,image/modules/bridge-modules/93585.png
"VS-KBPC1, VS-KBPC6 Series",Enlarge,3,50,800,800,50,55,n/a,150,n/a,D-72,Single phase bridge,image/modules/bridge-modules/93585.png
"VS-KBPC1, VS-KBPC6 Series",Enlarge,6,50,800,800,125,137,n/a,150,n/a,D-72,Single phase bridge,image/modules/bridge-modules/93585.png
"VS-KBPC1, VS-KBPC6 Series",Enlarge,3,50,400,400,50,55,n/a,150,n/a,D-72,Single phase bridge,image/modules/bridge-modules/93585.png
"VS-KBPC1, VS-KBPC6 Series",Enlarge,6,50,400,400,125,137,n/a,150,n/a,D-72,Single phase bridge,image/modules/bridge-modules/93585.png
"VS-KBPC1, VS-KBPC6 Series",Enlarge,3,50,100,100,50,55,n/a,150,n/a,D-72,Single phase bridge,image/modules/bridge-modules/93585.png
"VS-KBPC1, VS-KBPC6 Series",Enlarge,6,50,100,100,125,137,n/a,150,n/a,D-72,Single phase bridge,image/modules/bridge-modules/93585.png
VS-KBPC8 Series,Enlarge,8,50,400,500,125,137,1.0 at 3.0,150,6,D-72,Single phase bridge,image/modules/bridge-modules/93586.png
VS-KBPC8 Series,Enlarge,8,50,100,150,125,137,1.0 at 3.0,150,6,D-72,Single phase bridge,image/modules/bridge-modules/93586.png
VS-KBPC8 Series,Enlarge,8,50,1000,1100,125,137,1.0 at 3.0,150,6,D-72,Single phase bridge,image/modules/bridge-modules/93586.png
VS-KBPC8 Series,Enlarge,8,50,600,700,125,137,1.0 at 3.0,150,6,D-72,Single phase bridge,image/modules/bridge-modules/93586.png
VS-KBPC8 Series,Enlarge,8,50,200,300,125,137,1.0 at 3.0,150,6,D-72,Single phase bridge,image/modules/bridge-modules/93586.png
VS-KBPC8 Series,Enlarge,8,50,50,80,125,137,1.0 at 3.0,150,6,D-72,Single phase bridge,image/modules/bridge-modules/93586.png
VS-KBPC8 Series,Enlarge,8,50,800,900,125,137,1.0 at 3.0,150,6,D-72,Single phase bridge,image/modules/bridge-modules/93586.png
VS-MB High Voltage Series,Enlarge,25,70,1600,1700,400,420,1.25 at 40,150,1.7,D-34,Single phase bridge,image/modules/bridge-modules/93564.png
VS-MB High Voltage Series,Enlarge,35,55,1400,1500,475,500,1.3 at 55,150,1.35,D-34,Single phase bridge,image/modules/bridge-modules/93564.png
VS-MB High Voltage Series,Enlarge,25,70,1400,1500,400,420,1.25 at 40,150,1.7,D-34,Single phase bridge,image/modules/bridge-modules/93564.png
VS-MB High Voltage Series,Enlarge,35,55,1600,1700,475,500,1.3 at 55,150,1.35,D-34,Single phase bridge,image/modules/bridge-modules/93564.png
VS-MB Series,Enlarge,35,60,800,900,475,500,1.14 at 55,150,1.2,D-34,Single phase bridge,image/modules/bridge-modules/93563.png
VS-MB Series,Enlarge,25,65,400,500,400,420,1.11 at 40,150,1.7,D-34,Single phase bridge,image/modules/bridge-modules/93563.png
VS-MB Series,Enlarge,35,60,400,500,475,500,1.14 at 55,150,1.2,D-34,Single phase bridge,image/modules/bridge-modules/93563.png
VS-MB Series,Enlarge,25,65,100,150,400,420,1.11 at 40,150,1.7,D-34,Single phase bridge,image/modules/bridge-modules/93563.png
VS-MB Series,Enlarge,35,60,100,150,475,500,1.14 at 55,150,1.2,D-34,Single phase bridge,image/modules/bridge-modules/93563.png
VS-MB Series,Enlarge,25,65,50,75,400,420,1.11 at 40,150,1.7,D-34,Single phase bridge,image/modules/bridge-modules/93563.png
VS-MB Series,Enlarge,25,65,1000,1100,400,420,1.11 at 40,150,1.7,D-34,Single phase bridge,image/modules/bridge-modules/93563.png
VS-MB Series,Enlarge,35,60,50,75,475,500,1.14 at 55,150,1.2,D-34,Single phase bridge,image/modules/bridge-modules/93563.png
VS-MB Series,Enlarge,35,60,1000,1100,475,500,1.14 at 55,150,1.2,D-34,Single phase bridge,image/modules/bridge-modules/93563.png
VS-MB Series,Enlarge,25,65,600,725,400,420,1.11 at 40,150,1.7,D-34,Single phase bridge,image/modules/bridge-modules/93563.png
VS-MB Series,Enlarge,35,60,600,725,475,500,1.14 at 55,150,1.2,D-34,Single phase bridge,image/modules/bridge-modules/93563.png
VS-MB Series,Enlarge,25,65,200,275,400,420,1.11 at 40,150,1.7,D-34,Single phase bridge,image/modules/bridge-modules/93563.png
VS-MB Series,Enlarge,35,60,200,275,475,500,1.14 at 55,150,1.2,D-34,Single phase bridge,image/modules/bridge-modules/93563.png
VS-MB Series,Enlarge,25,65,60,100,400,420,1.11 at 40,150,1.7,D-34,Single phase bridge,image/modules/bridge-modules/93563.png
VS-MB Series,Enlarge,25,65,1200,1300,400,420,1.11 at 40,150,1.7,D-34,Single phase bridge,image/modules/bridge-modules/93563.png
VS-MB Series,Enlarge,35,60,60,100,475,500,1.14 at 55,150,1.2,D-34,Single phase bridge,image/modules/bridge-modules/93563.png
