File Name;Image Path;Description;PART NUMBER;PART NUMBER;L IND. 0 ± 15 % AT 0 A (μH);DCR MAX. ();HEAT RATING CURRENT DC MAX. (A);SATURATION CURRENT DC (A) (1)
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER8R2M;IHSM7832ER8R2L;8.2;0.032;5.3;1.9
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER100M;IHSM7832ER100L;10;0.036;5.0;1.7
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER120M;IHSM7832ER120L;12;0.04;4.8;1.5
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER150M;IHSM7832ER150L;15;0.043;4.5;1.4
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER180M;IHSM7832ER180L;18;0.047;4.2;1.3
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER220M;IHSM7832ER220L;22;0.054;3.8;1.2
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER270M;IHSM7832ER270L;27;0.074;3.4;1.1
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER330M;IHSM7832ER330L;33;0.084;3.0;1.0
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER390M;IHSM7832ER390L;39;0.095;2.8;0.9
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER470M;IHSM7832ER470L;47;0.12;2.6;0.9
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER560M;IHSM7832ER560L;56;0.14;2.4;0.82
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER680M;IHSM7832ER680L;68;0.16;2.1;0.76
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER820M;IHSM7832ER820L;82;0.184;1.9;0.72
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER101M;IHSM7832ER101L;100;0.226;1.7;0.68
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER121M;IHSM7832ER121L;120;0.305;1.5;0.61
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER151M;IHSM7832ER151L;150;0.362;1.4;0.54
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER181M;IHSM7832ER181L;180;0.399;1.3;0.48
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER221M;IHSM7832ER221L;220;0.536;1.1;0.44
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER271M;IHSM7832ER271L;270;0.599;0.95;0.4
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER331M;IHSM7832ER331L;330;0.714;0.86;0.36
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER391M;IHSM7832ER391L;390;0.819;0.8;0.33
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER471M;IHSM7832ER471L;470;1.1;0.74;0.31
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER561M;IHSM7832ER561L;560;1.2;0.68;0.29
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER681M;IHSM7832ER681L;680;1.58;0.63;0.26
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER821M;IHSM7832ER821L;820;2.08;0.573;0.23
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER102M;IHSM7832ER102L;1000;2.42;0.51;0.21
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER122M;IHSM7832ER122L;1200;2.68;0.46;0.19
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER152M;IHSM7832ER152L;1500;3.15;0.4;0.17
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER182M;IHSM7832ER182L;1800;4.2;0.34;0.15
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER222M;IHSM7832ER222L;2200;4.62;0.31;0.135
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER272M;IHSM7832ER272L;2700;6.3;0.29;0.12
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER332M;IHSM7832ER332L;3300;7.09;0.27;0.11
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER392M;IHSM7832ER392L;3900;9.14;0.25;0.1
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER472M;IHSM7832ER472L;4700;10.6;0.23;0.09
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER562M;IHSM7832ER562L;5600;11.8;0.21;0.08
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER682M;IHSM7832ER682L;6800;15.8;0.19;0.0775
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER822M;IHSM7832ER822L;8200;21.8;0.17;0.0725
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER000M;IHSM7832ER103L;10 000;24.6;0.16;0.07
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER000M;IHSM7832ER123L;12 000;28.4;0.14;0.0625
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER000M;IHSM7832ER153L;15 000;37.8;0.12;0.055
IHSM-7832;image/small_inductors/34021.png;High Current, Encapsulated Surface-Mount Ferrite Inductors;IHSM7832ER000M;IHSM7832ER183L;18 000;44.1;0.11;0.05
