Series;Product Image;Type;SMD Size Class;Height;Inductance;DC;Saturation Current;Impedance;DCR MAX.;Operating temperature;Image path;Path to the PDF;Path to the ZIP
IHLP-1212AB-11;Enlarge;Power Inductors;;1.2;1 µH;4 A;5.0;;0.0375;-55 to +125;image\small_inductors\34299.png;Datasheet\IHLP-1212AB-11\IHLP-1212AB-11.pdf;None
IHLP-1212AB-51;Enlarge;Power Inductors;;1.2;680 nH;4.98 A;4.09;;0.0364;-55 to +155;image\small_inductors\34540.png;Datasheet\IHLP-1212AB-51\IHLP-1212AB-51.pdf;Datasheet\IHLP-1212AB-51\IHLP-1212AB-51.zip
IHLP-1212AB-51;Enlarge;Power Inductors;;1.2;220 nH;8.83 A;6.76;;0.01222;-55 to +155;image\small_inductors\34540.png;Datasheet\IHLP-1212AB-51\IHLP-1212AB-51.pdf;Datasheet\IHLP-1212AB-51\IHLP-1212AB-51.zip
IHLP-1212AB-51;Enlarge;Power Inductors;;1.2;820 nH;4.26 A;4.00;;0.04544;-55 to +155;image\small_inductors\34540.png;Datasheet\IHLP-1212AB-51\IHLP-1212AB-51.pdf;Datasheet\IHLP-1212AB-51\IHLP-1212AB-51.zip
IHLP-1212AB-51;Enlarge;Power Inductors;;1.2;330 nH;6.42 A;5.26;;0.01633;-55 to +155;image\small_inductors\34540.png;Datasheet\IHLP-1212AB-51\IHLP-1212AB-51.pdf;Datasheet\IHLP-1212AB-51\IHLP-1212AB-51.zip
IHLP-1212AB-51;Enlarge;Power Inductors;;1.2;1 µH;4.05 A;4.30;;0.0496;-55 to +155;image\small_inductors\34540.png;Datasheet\IHLP-1212AB-51\IHLP-1212AB-51.pdf;Datasheet\IHLP-1212AB-51\IHLP-1212AB-51.zip
IHLP-1212AB-51;Enlarge;Power Inductors;;1.2;100 nH;11.5 A;11.79;;0.0075;-55 to +155;image\small_inductors\34540.png;Datasheet\IHLP-1212AB-51\IHLP-1212AB-51.pdf;Datasheet\IHLP-1212AB-51\IHLP-1212AB-51.zip
IHLP-1212AB-51;Enlarge;Power Inductors;;1.2;470 nH;5.99 A;5.01;;0.02491;-55 to +155;image\small_inductors\34540.png;Datasheet\IHLP-1212AB-51\IHLP-1212AB-51.pdf;Datasheet\IHLP-1212AB-51\IHLP-1212AB-51.zip
IHLP-1212AB-51;Enlarge;Power Inductors;;1.2;1.2 µH;3.98 A;3.84;;0.05765;-55 to +155;image\small_inductors\34540.png;Datasheet\IHLP-1212AB-51\IHLP-1212AB-51.pdf;Datasheet\IHLP-1212AB-51\IHLP-1212AB-51.zip
IHLP-1212AB-51;Enlarge;Power Inductors;;1.2;150 nH;10.23 A;9.04;;0.00973;-55 to +155;image\small_inductors\34540.png;Datasheet\IHLP-1212AB-51\IHLP-1212AB-51.pdf;Datasheet\IHLP-1212AB-51\IHLP-1212AB-51.zip
IHLP-1212AB-5A;Enlarge;Power Inductors;;1.2;1 µH;4.05 A;4.30;;0.0496;-55 to +155;image\small_inductors\34527.png;Datasheet\IHLP-1212AB-5A\IHLP-1212AB-5A.pdf;Datasheet\IHLP-1212AB-5A\IHLP-1212AB-5A.zip
IHLP-1212AB-5A;Enlarge;Power Inductors;;1.2;100 nH;11.5 A;11.79;;0.0075;-55 to +155;image\small_inductors\34527.png;Datasheet\IHLP-1212AB-5A\IHLP-1212AB-5A.pdf;Datasheet\IHLP-1212AB-5A\IHLP-1212AB-5A.zip
IHLP-1212AB-5A;Enlarge;Power Inductors;;1.2;470 nH;5.99 A;5.01;;0.02491;-55 to +155;image\small_inductors\34527.png;Datasheet\IHLP-1212AB-5A\IHLP-1212AB-5A.pdf;Datasheet\IHLP-1212AB-5A\IHLP-1212AB-5A.zip
IHLP-1212AB-5A;Enlarge;Power Inductors;;1.2;1.2 µH;3.98 A;3.84;;0.05765;-55 to +155;image\small_inductors\34527.png;Datasheet\IHLP-1212AB-5A\IHLP-1212AB-5A.pdf;Datasheet\IHLP-1212AB-5A\IHLP-1212AB-5A.zip
IHLP-1212AB-5A;Enlarge;Power Inductors;;1.2;150 nH;10.23 A;9.04;;0.00973;-55 to +155;image\small_inductors\34527.png;Datasheet\IHLP-1212AB-5A\IHLP-1212AB-5A.pdf;Datasheet\IHLP-1212AB-5A\IHLP-1212AB-5A.zip
IHLP-1212AB-5A;Enlarge;Power Inductors;;1.2;680 nH;4.98 A;4.09;;0.0364;-55 to +155;image\small_inductors\34527.png;Datasheet\IHLP-1212AB-5A\IHLP-1212AB-5A.pdf;Datasheet\IHLP-1212AB-5A\IHLP-1212AB-5A.zip
IHLP-1212AB-5A;Enlarge;Power Inductors;;1.2;220 nH;8.83 A;6.76;;0.01222;-55 to +155;image\small_inductors\34527.png;Datasheet\IHLP-1212AB-5A\IHLP-1212AB-5A.pdf;Datasheet\IHLP-1212AB-5A\IHLP-1212AB-5A.zip
IHLP-1212AB-5A;Enlarge;Power Inductors;;1.2;820 nH;4.26 A;4.00;;0.04544;-55 to +155;image\small_inductors\34527.png;Datasheet\IHLP-1212AB-5A\IHLP-1212AB-5A.pdf;Datasheet\IHLP-1212AB-5A\IHLP-1212AB-5A.zip
IHLP-1212AB-5A;Enlarge;Power Inductors;;1.2;330 nH;6.42 A;5.26;;0.01633;-55 to +155;image\small_inductors\34527.png;Datasheet\IHLP-1212AB-5A\IHLP-1212AB-5A.pdf;Datasheet\IHLP-1212AB-5A\IHLP-1212AB-5A.zip
IHLP-1212AB-A1;Enlarge;Power Inductors;;1.2;220 nH;7.93 A;10.23;;0.01321;-55 to +125;image\small_inductors\34528.png;Datasheet\IHLP-1212AB-A1\IHLP-1212AB-A1.pdf;Datasheet\IHLP-1212AB-A1\IHLP-1212AB-A1.zip
IHLP-1212AB-A1;Enlarge;Power Inductors;;1.2;1.2 µH;3.81 A;5.61;;0.06279;-55 to +125;image\small_inductors\34528.png;Datasheet\IHLP-1212AB-A1\IHLP-1212AB-A1.pdf;Datasheet\IHLP-1212AB-A1\IHLP-1212AB-A1.zip
IHLP-1212AB-A1;Enlarge;Power Inductors;;1.2;330 nH;6.96 A;9.32;;0.01834;-55 to +125;image\small_inductors\34528.png;Datasheet\IHLP-1212AB-A1\IHLP-1212AB-A1.pdf;Datasheet\IHLP-1212AB-A1\IHLP-1212AB-A1.zip
IHLP-1212AB-A1;Enlarge;Power Inductors;;1.2;100 nH;10.48 A;18.92;;0.00961;-55 to +125;image\small_inductors\34528.png;Datasheet\IHLP-1212AB-A1\IHLP-1212AB-A1.pdf;Datasheet\IHLP-1212AB-A1\IHLP-1212AB-A1.zip
IHLP-1212AB-A1;Enlarge;Power Inductors;;1.2;470 nH;5.86 A;8.17;;0.02739;-55 to +125;image\small_inductors\34528.png;Datasheet\IHLP-1212AB-A1\IHLP-1212AB-A1.pdf;Datasheet\IHLP-1212AB-A1\IHLP-1212AB-A1.zip
IHLP-1212AB-A1;Enlarge;Power Inductors;;1.2;150 nH;9.06 A;13.13;;0.01214;-55 to +125;image\small_inductors\34528.png;Datasheet\IHLP-1212AB-A1\IHLP-1212AB-A1.pdf;Datasheet\IHLP-1212AB-A1\IHLP-1212AB-A1.zip
IHLP-1212AB-A1;Enlarge;Power Inductors;;1.2;1 µH;4.13 A;5.85;;0.05372;-55 to +125;image\small_inductors\34528.png;Datasheet\IHLP-1212AB-A1\IHLP-1212AB-A1.pdf;Datasheet\IHLP-1212AB-A1\IHLP-1212AB-A1.zip
IHLP-1212AE-11;Enlarge;Power Inductors;;1.5;560 nH;6 A;5.5;;0.0204;-55 to +125;image\small_inductors\34300.png;Datasheet\IHLP-1212AE-11\IHLP-1212AE-11.pdf;None
IHLP-1212AE-11;Enlarge;Power Inductors;;1.5;1.5 µH;2.7 A;4.5;;0.046;-55 to +125;image\small_inductors\34300.png;Datasheet\IHLP-1212AE-11\IHLP-1212AE-11.pdf;None
IHLP-1212AE-11;Enlarge;Power Inductors;;1.5;220 nH;8.5 A;9.0;;0.0114;-55 to +125;image\small_inductors\34300.png;Datasheet\IHLP-1212AE-11\IHLP-1212AE-11.pdf;None
IHLP-1212AE-11;Enlarge;Power Inductors;;1.5;680 nH;5.4 A;5.5;;0.022;-55 to +125;image\small_inductors\34300.png;Datasheet\IHLP-1212AE-11\IHLP-1212AE-11.pdf;None
IHLP-1212AE-11;Enlarge;Power Inductors;;1.5;330 nH;7.8 A;7.0;;0.0138;-55 to +125;image\small_inductors\34300.png;Datasheet\IHLP-1212AE-11\IHLP-1212AE-11.pdf;None
IHLP-1212AE-11;Enlarge;Power Inductors;;1.5;820 nH;4.9 A;5.5;;0.026;-55 to +125;image\small_inductors\34300.png;Datasheet\IHLP-1212AE-11\IHLP-1212AE-11.pdf;None
IHLP-1212AE-11;Enlarge;Power Inductors;;1.5;470 nH;6.7 A;6.7;;0.015;-55 to +125;image\small_inductors\34300.png;Datasheet\IHLP-1212AE-11\IHLP-1212AE-11.pdf;None
IHLP-1212AE-11;Enlarge;Power Inductors;;1.5;1 µH;3.9 A;5.3;;0.033;-55 to +125;image\small_inductors\34300.png;Datasheet\IHLP-1212AE-11\IHLP-1212AE-11.pdf;None
IHLP-1212AZ-01;Enlarge;Power Inductors;;1.0;470 nH;4.81 A;7.25;;0.03797;-55 to +125;image\small_inductors\34541.png;Datasheet\IHLP-1212AZ-01\IHLP-1212AZ-01.pdf;Datasheet\IHLP-1212AZ-01\IHLP-1212AZ-01.zip
IHLP-1212AZ-01;Enlarge;Power Inductors;;1.0;1 µH;3.47 A;5.23;;0.06638;-55 to +125;image\small_inductors\34541.png;Datasheet\IHLP-1212AZ-01\IHLP-1212AZ-01.pdf;Datasheet\IHLP-1212AZ-01\IHLP-1212AZ-01.zip
IHLP-1212AZ-01;Enlarge;Power Inductors;;1.0;100 nH;10.5 A;19.21;;0.0092;-55 to +125;image\small_inductors\34541.png;Datasheet\IHLP-1212AZ-01\IHLP-1212AZ-01.pdf;Datasheet\IHLP-1212AZ-01\IHLP-1212AZ-01.zip
IHLP-1212AZ-01;Enlarge;Power Inductors;;1.0;220 nH;8.14 A;9.84;;0.01442;-55 to +125;image\small_inductors\34541.png;Datasheet\IHLP-1212AZ-01\IHLP-1212AZ-01.pdf;Datasheet\IHLP-1212AZ-01\IHLP-1212AZ-01.zip
IHLP-1212AZ-51;Enlarge;Power Inductors;;1.0;470 nH;5.35 A;4.43;;0.02792;-55 to +155;image\small_inductors\34542.png;Datasheet\IHLP-1212AZ-51\IHLP-1212AZ-51.pdf;Datasheet\IHLP-1212AZ-51\IHLP-1212AZ-51.zip
IHLP-1212AZ-51;Enlarge;Power Inductors;;1.0;100 nH;11.13 A;7.38;;0.00881;-55 to +155;image\small_inductors\34542.png;Datasheet\IHLP-1212AZ-51\IHLP-1212AZ-51.pdf;Datasheet\IHLP-1212AZ-51\IHLP-1212AZ-51.zip
IHLP-1212AZ-51;Enlarge;Power Inductors;;1.0;1 µH;3.59 A;3.62;;0.05899;-55 to +155;image\small_inductors\34542.png;Datasheet\IHLP-1212AZ-51\IHLP-1212AZ-51.pdf;Datasheet\IHLP-1212AZ-51\IHLP-1212AZ-51.zip
IHLP-1212AZ-51;Enlarge;Power Inductors;;1.0;220 nH;7.72 A;5.88;;0.01487;-55 to +155;image\small_inductors\34542.png;Datasheet\IHLP-1212AZ-51\IHLP-1212AZ-51.pdf;Datasheet\IHLP-1212AZ-51\IHLP-1212AZ-51.zip
IHLP-1212AZ-51;Enlarge;Power Inductors;;1.0;330 nH;5.85 A;5.05;;0.0233;-55 to +155;image\small_inductors\34542.png;Datasheet\IHLP-1212AZ-51\IHLP-1212AZ-51.pdf;Datasheet\IHLP-1212AZ-51\IHLP-1212AZ-51.zip
IHLP-1212AZ-5A;Enlarge;Power Inductors;;1.0;330 nH;5.85 A;5.05;;0.0233;-55 to +155;image\small_inductors\34531.png;Datasheet\IHLP-1212AZ-5A\IHLP-1212AZ-5A.pdf;Datasheet\IHLP-1212AZ-5A\IHLP-1212AZ-5A.zip
IHLP-1212AZ-5A;Enlarge;Power Inductors;;1.0;100 nH;11.13 A;7.38;;0.00881;-55 to +155;image\small_inductors\34531.png;Datasheet\IHLP-1212AZ-5A\IHLP-1212AZ-5A.pdf;Datasheet\IHLP-1212AZ-5A\IHLP-1212AZ-5A.zip
IHLP-1212AZ-5A;Enlarge;Power Inductors;;1.0;470 nH;5.35 A;4.43;;0.02792;-55 to +155;image\small_inductors\34531.png;Datasheet\IHLP-1212AZ-5A\IHLP-1212AZ-5A.pdf;Datasheet\IHLP-1212AZ-5A\IHLP-1212AZ-5A.zip
IHLP-1212AZ-5A;Enlarge;Power Inductors;;1.0;1 µH;3.59 A;3.62;;0.05899;-55 to +155;image\small_inductors\34531.png;Datasheet\IHLP-1212AZ-5A\IHLP-1212AZ-5A.pdf;Datasheet\IHLP-1212AZ-5A\IHLP-1212AZ-5A.zip
IHLP-1212AZ-5A;Enlarge;Power Inductors;;1.0;220 nH;7.72 A;5.88;;0.01487;-55 to +155;image\small_inductors\34531.png;Datasheet\IHLP-1212AZ-5A\IHLP-1212AZ-5A.pdf;Datasheet\IHLP-1212AZ-5A\IHLP-1212AZ-5A.zip
IHLP-1212AZ-A1;Enlarge;Power Inductors;;1.0;100 nH;10.5 A;19.21;;0.0092;-55 to +125;image\small_inductors\34532.png;Datasheet\IHLP-1212AZ-A1\IHLP-1212AZ-A1.pdf;Datasheet\IHLP-1212AZ-A1\IHLP-1212AZ-A1.zip
IHLP-1212AZ-A1;Enlarge;Power Inductors;;1.0;220 nH;8.14 A;9.84;;0.01442;-55 to +125;image\small_inductors\34532.png;Datasheet\IHLP-1212AZ-A1\IHLP-1212AZ-A1.pdf;Datasheet\IHLP-1212AZ-A1\IHLP-1212AZ-A1.zip
IHLP-1212AZ-A1;Enlarge;Power Inductors;;1.0;470 nH;4.81 A;7.25;;0.03797;-55 to +125;image\small_inductors\34532.png;Datasheet\IHLP-1212AZ-A1\IHLP-1212AZ-A1.pdf;Datasheet\IHLP-1212AZ-A1\IHLP-1212AZ-A1.zip
IHLP-1212AZ-A1;Enlarge;Power Inductors;;1.0;1 µH;3.47 A;5.23;;0.06638;-55 to +125;image\small_inductors\34532.png;Datasheet\IHLP-1212AZ-A1\IHLP-1212AZ-A1.pdf;Datasheet\IHLP-1212AZ-A1\IHLP-1212AZ-A1.zip
IHLP-1212BZ-01;Enlarge;Power Inductors;;2.0;470 nH;6.29 A;9.28;;0.02508;-55 to +125;image\small_inductors\34543.png;Datasheet\IHLP-1212BZ-01\IHLP-1212BZ-01.pdf;Datasheet\IHLP-1212BZ-01\IHLP-1212BZ-01.zip
IHLP-1212BZ-01;Enlarge;Power Inductors;;2.0;3.3 µH;3.3 A;4.50;;0.09848;-55 to +125;image\small_inductors\34543.png;Datasheet\IHLP-1212BZ-01\IHLP-1212BZ-01.pdf;Datasheet\IHLP-1212BZ-01\IHLP-1212BZ-01.zip
IHLP-1212BZ-01;Enlarge;Power Inductors;;2.0;1 µH;4.99 A;6.92;;0.04293;-55 to +125;image\small_inductors\34543.png;Datasheet\IHLP-1212BZ-01\IHLP-1212BZ-01.pdf;Datasheet\IHLP-1212BZ-01\IHLP-1212BZ-01.zip
IHLP-1212BZ-01;Enlarge;Power Inductors;;2.0;100 nH;11.02 A;20.58;;0.00876;-55 to +125;image\small_inductors\34543.png;Datasheet\IHLP-1212BZ-01\IHLP-1212BZ-01.pdf;Datasheet\IHLP-1212BZ-01\IHLP-1212BZ-01.zip
IHLP-1212BZ-01;Enlarge;Power Inductors;;2.0;1.5 µH;4.08 A;5.96;;0.06281;-55 to +125;image\small_inductors\34543.png;Datasheet\IHLP-1212BZ-01\IHLP-1212BZ-01.pdf;Datasheet\IHLP-1212BZ-01\IHLP-1212BZ-01.zip
IHLP-1212BZ-01;Enlarge;Power Inductors;;2.0;220 nH;8.14 A;9.82;;0.01468;-55 to +125;image\small_inductors\34543.png;Datasheet\IHLP-1212BZ-01\IHLP-1212BZ-01.pdf;Datasheet\IHLP-1212BZ-01\IHLP-1212BZ-01.zip
IHLP-1212BZ-01;Enlarge;Power Inductors;;2.0;2.2 µH;3.55 A;4.93;;0.08037;-55 to +125;image\small_inductors\34543.png;Datasheet\IHLP-1212BZ-01\IHLP-1212BZ-01.pdf;Datasheet\IHLP-1212BZ-01\IHLP-1212BZ-01.zip
IHLP-1212BZ-11;Enlarge;Power Inductors;;2.0;560 nH;5.5 A;5.5;;0.0194;-55 to +125;image\small_inductors\34289.png;Datasheet\IHLP-1212BZ-11\IHLP-1212BZ-11.pdf;None
IHLP-1212BZ-11;Enlarge;Power Inductors;;2.0;1 µH;5 A;4.5;;0.024;-55 to +125;image\small_inductors\34289.png;Datasheet\IHLP-1212BZ-11\IHLP-1212BZ-11.pdf;None
IHLP-1212BZ-11;Enlarge;Power Inductors;;2.0;3.3 µH;2.7 A;3.3;;0.061;-55 to +125;image\small_inductors\34289.png;Datasheet\IHLP-1212BZ-11\IHLP-1212BZ-11.pdf;None
IHLP-1212BZ-11;Enlarge;Power Inductors;;2.0;680 nH;5.5 A;5.0;;0.0204;-55 to +125;image\small_inductors\34289.png;Datasheet\IHLP-1212BZ-11\IHLP-1212BZ-11.pdf;None
IHLP-1212BZ-11;Enlarge;Power Inductors;;2.0;1.2 µH;5 A;4.0;;0.027;-55 to +125;image\small_inductors\34289.png;Datasheet\IHLP-1212BZ-11\IHLP-1212BZ-11.pdf;None
IHLP-1212BZ-11;Enlarge;Power Inductors;;2.0;220 nH;6.5 A;7.5;;0.0114;-55 to +125;image\small_inductors\34289.png;Datasheet\IHLP-1212BZ-11\IHLP-1212BZ-11.pdf;None
IHLP-1212BZ-11;Enlarge;Power Inductors;;2.0;880 nH;5.5 A;4.5;;0.022;-55 to +125;image\small_inductors\34289.png;Datasheet\IHLP-1212BZ-11\IHLP-1212BZ-11.pdf;None
IHLP-1212BZ-11;Enlarge;Power Inductors;;2.0;1.5 µH;3.8 A;4.0;;0.032;-55 to +125;image\small_inductors\34289.png;Datasheet\IHLP-1212BZ-11\IHLP-1212BZ-11.pdf;None
IHLP-1212BZ-11;Enlarge;Power Inductors;;2.0;360 nH;6.3 A;6.5;;0.0138;-55 to +125;image\small_inductors\34289.png;Datasheet\IHLP-1212BZ-11\IHLP-1212BZ-11.pdf;None
IHLP-1212BZ-11;Enlarge;Power Inductors;;2.0;2.2 µH;3 A;3.3;;0.046;-55 to +125;image\small_inductors\34289.png;Datasheet\IHLP-1212BZ-11\IHLP-1212BZ-11.pdf;None
IHLP-1212BZ-1L;Enlarge;Power Inductors;;2.0;2.2 µH;4.6 A;2.3;;0.0599;-55 to +125;image\small_inductors\34628.png;Datasheet\IHLP-1212BZ-1L\IHLP-1212BZ-1L.pdf;None
IHLP-1212BZ-1L;Enlarge;Power Inductors;;2.0;220 nH;9.7 A;5.4;;0.0109;-55 to +125;image\small_inductors\34628.png;Datasheet\IHLP-1212BZ-1L\IHLP-1212BZ-1L.pdf;None
IHLP-1212BZ-1L;Enlarge;Power Inductors;;2.0;560 nH;7.5 A;3.6;;0.0184;-55 to +125;image\small_inductors\34628.png;Datasheet\IHLP-1212BZ-1L\IHLP-1212BZ-1L.pdf;None
IHLP-1212BZ-1L;Enlarge;Power Inductors;;2.0;1 µH;5.3 A;3.4;;0.036;-55 to +125;image\small_inductors\34628.png;Datasheet\IHLP-1212BZ-1L\IHLP-1212BZ-1L.pdf;None
IHLP-1212BZ-51;Enlarge;Power Inductors;;2.0;3.3 µH;3.26 A;2.52;;0.09679;-55 to +155;image\small_inductors\34544.png;Datasheet\IHLP-1212BZ-51\IHLP-1212BZ-51.pdf;Datasheet\IHLP-1212BZ-51\IHLP-1212BZ-51.zip
IHLP-1212BZ-51;Enlarge;Power Inductors;;2.0;470 nH;6.73 A;4.66;;0.02175;-55 to +155;image\small_inductors\34544.png;Datasheet\IHLP-1212BZ-51\IHLP-1212BZ-51.pdf;Datasheet\IHLP-1212BZ-51\IHLP-1212BZ-51.zip
IHLP-1212BZ-51;Enlarge;Power Inductors;;2.0;1.2 µH;4.78 A;2.97;;0.03899;-55 to +155;image\small_inductors\34544.png;Datasheet\IHLP-1212BZ-51\IHLP-1212BZ-51.pdf;Datasheet\IHLP-1212BZ-51\IHLP-1212BZ-51.zip
IHLP-1212BZ-51;Enlarge;Power Inductors;;2.0;1.5 µH;4.7 A;3.34;;0.045;-55 to +155;image\small_inductors\34544.png;Datasheet\IHLP-1212BZ-51\IHLP-1212BZ-51.pdf;Datasheet\IHLP-1212BZ-51\IHLP-1212BZ-51.zip
IHLP-1212BZ-51;Enlarge;Power Inductors;;2.0;100 nH;12.26 A;13.46;;0.00695;-55 to +155;image\small_inductors\34544.png;Datasheet\IHLP-1212BZ-51\IHLP-1212BZ-51.pdf;Datasheet\IHLP-1212BZ-51\IHLP-1212BZ-51.zip
IHLP-1212BZ-51;Enlarge;Power Inductors;;2.0;680 nH;5.96 A;4.27;;0.02775;-55 to +155;image\small_inductors\34544.png;Datasheet\IHLP-1212BZ-51\IHLP-1212BZ-51.pdf;Datasheet\IHLP-1212BZ-51\IHLP-1212BZ-51.zip
IHLP-1212BZ-51;Enlarge;Power Inductors;;2.0;2.2 µH;4.01 A;2.62;;0.06305;-55 to +155;image\small_inductors\34544.png;Datasheet\IHLP-1212BZ-51\IHLP-1212BZ-51.pdf;Datasheet\IHLP-1212BZ-51\IHLP-1212BZ-51.zip
IHLP-1212BZ-51;Enlarge;Power Inductors;;2.0;220 nH;8.35 A;5.75;;0.01374;-55 to +155;image\small_inductors\34544.png;Datasheet\IHLP-1212BZ-51\IHLP-1212BZ-51.pdf;Datasheet\IHLP-1212BZ-51\IHLP-1212BZ-51.zip
IHLP-1212BZ-51;Enlarge;Power Inductors;;2.0;1 µH;5.73 A;3.64;;0.03017;-55 to +155;image\small_inductors\34544.png;Datasheet\IHLP-1212BZ-51\IHLP-1212BZ-51.pdf;Datasheet\IHLP-1212BZ-51\IHLP-1212BZ-51.zip
IHLP-1212BZ-5A;Enlarge;Power Inductors;;2.0;2.2 µH;4.01 A;2.62;;0.06305;-55 to +155;image\small_inductors\34535.png;Datasheet\IHLP-1212BZ-5A\IHLP-1212BZ-5A.pdf;Datasheet\IHLP-1212BZ-5A\IHLP-1212BZ-5A.zip
IHLP-1212BZ-5A;Enlarge;Power Inductors;;2.0;100 nH;12.26 A;13.46;;0.00695;-55 to +155;image\small_inductors\34535.png;Datasheet\IHLP-1212BZ-5A\IHLP-1212BZ-5A.pdf;Datasheet\IHLP-1212BZ-5A\IHLP-1212BZ-5A.zip
IHLP-1212BZ-5A;Enlarge;Power Inductors;;2.0;1 µH;5.73 A;3.64;;0.03017;-55 to +155;image\small_inductors\34535.png;Datasheet\IHLP-1212BZ-5A\IHLP-1212BZ-5A.pdf;Datasheet\IHLP-1212BZ-5A\IHLP-1212BZ-5A.zip
