Series▲▼,Product Image,IT(AV)(A)▲▼,TC(°C)▲▼,IT(RMS)(A)▲▼,VDRM/VRRM(V)▲▼,ITSMat 50 Hz(A)▲▼,ITSMat 60 Hz(A)▲▼,VTMat ITM(V at A)▲▼,TJ(°C)▲▼,dV/dt(V/µs)▲▼,Package▲▼,Circuit Configuration▲▼,Image path
VS-ST1000C..K Series,Enlarge,1473,55,2913,1800,20,21.2,1.80 at 3000,-40 to +125,500,K-PUK (A-24),Single SCR,image/thyristors/phase-control-discrete/93714.png
VS-ST1000C..K Series,Enlarge,1473,55,2913,1600,20,21.2,1.80 at 3000,-40 to +125,500,K-PUK (A-24),Single SCR,image/thyristors/phase-control-discrete/93714.png
VS-ST1000C..K Series,Enlarge,1473,55,2913,1400,20,21.2,1.80 at 3000,-40 to +125,500,K-PUK (A-24),Single SCR,image/thyristors/phase-control-discrete/93714.png
VS-ST1000C..K Series,Enlarge,1473,55,2913,1200,20,21.2,1.80 at 3000,-40 to +125,500,K-PUK (A-24),Single SCR,image/thyristors/phase-control-discrete/93714.png
VS-ST1000C..K Series,Enlarge,1473,55,2913,2400,20,21.2,1.80 at 3000,-40 to +125,500,K-PUK (A-24),Single SCR,image/thyristors/phase-control-discrete/93714.png
VS-ST110SPbF Series,Enlarge,110,90,175,1600,2700,2830,1.52 at 350,-40 to +125,500,TO-94 (TO-209AC),Single SCR,image/thyristors/phase-control-discrete/94393.png
VS-ST110SPbF Series,Enlarge,110,90,175,1200,2700,2830,1.52 at 350,-40 to +125,500,TO-94 (TO-209AC),Single SCR,image/thyristors/phase-control-discrete/94393.png
VS-ST110SPbF Series,Enlarge,110,90,175,800,2700,2830,1.52 at 350,-40 to +125,500,TO-94 (TO-209AC),Single SCR,image/thyristors/phase-control-discrete/94393.png
VS-ST110SPbF Series,Enlarge,110,90,175,400,2700,2830,1.52 at 350,-40 to +125,500,TO-94 (TO-209AC),Single SCR,image/thyristors/phase-control-discrete/94393.png
VS-ST1200C..K Series,Enlarge,1650,55,3080,1800,30500,32000,1.73 at 4000,-40 to +125,500,K-PUK (A-24),Single SCR,image/thyristors/phase-control-discrete/94394.png
VS-ST1200C..K Series,Enlarge,1650,55,3080,1600,30500,32000,1.73 at 4000,-40 to +125,500,K-PUK (A-24),Single SCR,image/thyristors/phase-control-discrete/94394.png
VS-ST1200C..K Series,Enlarge,1650,55,3080,1400,30500,32000,1.73 at 4000,-40 to +125,500,K-PUK (A-24),Single SCR,image/thyristors/phase-control-discrete/94394.png
VS-ST1200C..K Series,Enlarge,1650,55,3080,1200,30500,32000,1.73 at 4000,-40 to +125,500,K-PUK (A-24),Single SCR,image/thyristors/phase-control-discrete/94394.png
VS-ST1200C..K Series,Enlarge,1650,55,3080,2000,30500,32000,1.73 at 4000,-40 to +125,500,K-PUK (A-24),Single SCR,image/thyristors/phase-control-discrete/94394.png
VS-ST1230C..K Series,Enlarge,1745,55,3200,1600,33500,35100,1.62 at 4000,-40 to +125,500,K-PUK (A-24),Single SCR,image/thyristors/phase-control-discrete/94395.png
VS-ST1230C..K Series,Enlarge,1745,55,3200,1400,33500,35100,1.62 at 4000,-40 to +125,500,K-PUK (A-24),Single SCR,image/thyristors/phase-control-discrete/94395.png
VS-ST1230C..K Series,Enlarge,1745,55,3200,1200,33500,35100,1.62 at 4000,-40 to +125,500,K-PUK (A-24),Single SCR,image/thyristors/phase-control-discrete/94395.png
VS-ST1230C..K Series,Enlarge,1745,55,3200,800,33500,35100,1.62 at 4000,-40 to +125,500,K-PUK (A-24),Single SCR,image/thyristors/phase-control-discrete/94395.png
VS-ST180C Series,Enlarge,350,55,660,1800,5000,5230,1.96 at 750,-40 to +125,500,A-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94396.png
VS-ST180C Series,Enlarge,350,55,660,1600,5000,5230,1.96 at 750,-40 to +125,500,A-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94396.png
VS-ST180C Series,Enlarge,350,55,660,1200,5000,5230,1.96 at 750,-40 to +125,500,A-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94396.png
VS-ST180C Series,Enlarge,350,55,660,800,5000,5230,1.96 at 750,-40 to +125,500,A-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94396.png
VS-ST180C Series,Enlarge,350,55,660,400,5000,5230,1.96 at 750,-40 to +125,500,A-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94396.png
VS-ST180C Series,Enlarge,350,55,660,2000,5000,5230,1.96 at 750,-40 to +125,500,A-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94396.png
VS-ST180S...VPbF Series,Enlarge,200,85,314,1200,5000,5230,1.75 at 570,-40 to +125,500,TO-93 (TO-209AB),Single SCR,image/thyristors/phase-control-discrete/96112.png
VS-ST180S...VPbF Series,Enlarge,200,85,314,800,5000,5230,1.75 at 570,-40 to +125,500,TO-93 (TO-209AB),Single SCR,image/thyristors/phase-control-discrete/96112.png
VS-ST180S...VPbF Series,Enlarge,200,85,314,400,5000,5230,1.75 at 570,-40 to +125,500,TO-93 (TO-209AB),Single SCR,image/thyristors/phase-control-discrete/96112.png
VS-ST180SPbF Series,Enlarge,200,85,314,2000,5000,5230,1.75 at 570,-40 to +125,500,TO-93 (TO-209AB),Single SCR,image/thyristors/phase-control-discrete/94397.png
VS-ST180SPbF Series,Enlarge,200,85,314,1600,5000,5230,1.75 at 570,-40 to +125,500,TO-93 (TO-209AB),Single SCR,image/thyristors/phase-control-discrete/94397.png
VS-ST230C Series,Enlarge,410,55,780,1800,5700,5970,1.69 at 880,-40 to +125,500,A-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94398.png
VS-ST230C Series,Enlarge,410,55,780,1600,5700,5970,1.69 at 880,-40 to +125,500,A-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94398.png
VS-ST230C Series,Enlarge,410,55,780,1400,5700,5970,1.69 at 880,-40 to +125,500,A-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94398.png
VS-ST230C Series,Enlarge,410,55,780,1200,5700,5970,1.69 at 880,-40 to +125,500,A-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94398.png
VS-ST230C Series,Enlarge,410,55,780,800,5700,5970,1.69 at 880,-40 to +125,500,A-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94398.png
VS-ST230C Series,Enlarge,410,55,780,400,5700,5970,1.69 at 880,-40 to +125,500,A-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94398.png
VS-ST230C Series,Enlarge,410,55,780,2000,5700,5970,1.69 at 880,-40 to +125,500,A-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94398.png
