Series▲▼;Product Image;Order Code▲▼;Cap (µF)▲▼;Voltage(V)▲▼;Form▲▼;Case Size▲▼;Temp Max(°C)▲▼;Useful Life▲▼;Style▲▼;Technology▲▼;Image path
013 RLC;Enlarge;MAL201331109E3;10;50;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201371109E3;10;50;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Straight Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201356479E3;47;25;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201335339E3;33;16;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201351109E3;10;50;Radial;Ø5x11;+85 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201351479E3;47;50;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201355339E3;33;16;Radial;Ø5x11;+85 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201374101E3;100;10;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Straight Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201361479E3;47;50;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201375339E3;33;16;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Straight Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201354101E3;100;10;Radial;Ø5x11;+85 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201331479E3;47;50;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201330339E3;33;35;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201334101E3;100;10;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201353471E3;470;6.3;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201350339E3;33;35;Radial;Ø5x11;+85 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201355101E3;100;16;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201333471E3;470;6.3;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201370339E3;33;35;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Straight Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201335101E3;100;16;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201363471E3;470;6.3;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201365101E3;100;16;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201374689E3;68;10;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Straight Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
