Part Number▲▼;Product Image;Voltage▲▼;Capacitance▲▼;Dielectric▲▼;Lead Spacing(mm/inch)▲▼;Lead Style▲▼;Packaging▲▼;Image path
PD0070WF80033BG1;Enlarge;12000;80;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WF80036BG1;Enlarge;12000;80;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WF80038BG1;Enlarge;12000;80;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WH12138BH1;Enlarge;13000;120;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WH14133BH1;Enlarge;13000;140;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WH16133BH1;Enlarge;13000;160;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WH16133BHA;Enlarge;13000;160;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WH16136BH1;Enlarge;13000;160;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WH16138BH1;Enlarge;13000;160;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WH40133BJ1;Enlarge;13000;400;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WH40136BJ1;Enlarge;13000;400;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WH40138BJ1;Enlarge;13000;400;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WH50136BJ1;Enlarge;13000;500;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WH50138BJ1;Enlarge;13000;500;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WJ10133BH1;Enlarge;14000;100;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WJ10136BH1;Enlarge;14000;100;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WJ10138BH1;Enlarge;14000;100;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WJ11136BH1;Enlarge;14000;110;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WJ20136BJ1;Enlarge;14000;200;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WJ20138BJ1;Enlarge;14000;200;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WJ25033BF1;Enlarge;14000;25;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WJ25036BF1;Enlarge;14000;25;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WJ25038BF1;Enlarge;14000;25;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WJ25136BJ1;Enlarge;14000;250;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WJ25138BJ1;Enlarge;14000;250;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WJ30033BF1;Enlarge;14000;30;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WJ30036BF1;Enlarge;14000;30;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WJ30038BF1;Enlarge;14000;30;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WJ30133BJ1;Enlarge;14000;300;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WJ30136BJ1;Enlarge;14000;300;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WJ30138BJ1;Enlarge;14000;300;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WJ40033BG1;Enlarge;14000;40;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WJ40036BG1;Enlarge;14000;40;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WJ40038BG1;Enlarge;14000;40;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WJ50033BG1;Enlarge;14000;50;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WJ50036BG1;Enlarge;14000;50;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
