Part Number▲▼;Product Image;Description▲▼;Voltage▲▼;Capacitance▲▼;Dielectric▲▼;Lead Spacing(mm/inch)▲▼;Packaging▲▼;Lead Style▲▼;Image path
125LS10-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);10000;Y5V;9.53 mm / 0.375 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LS10GJ-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);10000;Y5V;9.53 mm / 0.375 inch;bulk;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LS10JJ-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);10000;Y5V;9.53 mm / 0.375 inch;bulk;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LS10QAM1-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);10000;Y5V;5 mm / 0.200 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LS10QF-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);10000;Y5V;7.5 mm / 0.300 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LS10QQ-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);10000;Y5V;10 mm / 0.400 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LS10RQ-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);10000;Y5V;10 mm / 0.400 inch;Reel;Inside Crimp;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LS15-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);15000;Y5V;9.53 mm / 0.375 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LS18-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);18000;Y5V;9.53 mm / 0.375 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
125LS20-R;Enlarge;EMI Suppression Capacitor, Ceramic Disc, Class X1, 400 VAC, Class Y4, 125 VAC;400  (X1) 125  (Y4);20000;Y5U;9.53 mm / 0.375 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/23106.png
