Part Number▲▼,Product Image,Zero or Non-zero crossing▲▼,Package▲▼,Trigger Current IFTMax.(mA)▲▼,Blocking Voltage VDRM(V)▲▼,On-state Current(mA)▲▼,Static dv / dt▲▼,Isolation Voltage VISOVRMS▲▼,Ambient Temperature Range(°C)▲▼,Creepage Min.(mm)▲▼,Working Voltage VIORM(Vpeak)▲▼,Safety Standard▲▼,Image path
"VOT8024AB, VOT8024AD, VOT8024AG",Enlarge,Zero,"SMD-4, 90° orientation",5,800,100,1000,5300,-55 to +110,7,890,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84919.png
"VOT8024AB, VOT8024AD, VOT8024AG",Enlarge,Zero,"SMD-4, 180° orientation",5,800,100,1000,5300,-55 to +110,7,890,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84919.png
"VOT8024AB, VOT8024AD, VOT8024AG",Enlarge,Zero,"SMD-4, 270° orientation",5,800,100,1000,5300,-55 to +110,7,890,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84919.png
VOT8024AM,Enlarge,Zero,SOP-4,5,800,100,1000,3750,-55 to +110,5,565,"UL, cUL, VDE",image/optocouplers/opto-triac/84909.png
VOT8024AM,Enlarge,Zero,"SOP-4, 180° orientation",5,800,100,1000,3750,-55 to +110,5,565,"UL, cUL, VDE",image/optocouplers/opto-triac/84909.png
"VOT8025AB, VOT8025AD, VOT8025AG",Enlarge,Zero,DIP-6,5,800,100,1000,5300,-40 to +110,7,890,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84924.png
"VOT8025AB, VOT8025AD, VOT8025AG",Enlarge,Zero,"DIP-6, 400 mil",5,800,100,1000,5300,-40 to +110,8,1140,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84924.png
"VOT8025AB, VOT8025AD, VOT8025AG",Enlarge,Zero,SMD-6,5,800,100,1000,5300,-40 to +110,7,890,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84924.png
"VOT8025AB, VOT8025AD, VOT8025AG",Enlarge,Zero,"SMD-6, 90° orientation",5,800,100,1000,5300,-40 to +110,7,890,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84924.png
"VOT8025AB, VOT8025AD, VOT8025AG",Enlarge,Zero,"SMD-6, 180° orientation",5,800,100,1000,5300,-40 to +110,7,890,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84924.png
"VOT8026AB, VOT8026AD, VOT8026AG",Enlarge,Zero,DIP-6,5,800,100,1000,5300,-40 to +110,7,890,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84925.png
"VOT8026AB, VOT8026AD, VOT8026AG",Enlarge,Zero,"DIP-6, 400 mil",5,800,100,1000,5300,-40 to +110,8,1140,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84925.png
"VOT8026AB, VOT8026AD, VOT8026AG",Enlarge,Zero,SMD-6,5,800,100,1000,5300,-40 to +110,7,890,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84925.png
"VOT8026AB, VOT8026AD, VOT8026AG",Enlarge,Zero,"SMD-6, 180° orientation",5,800,100,1000,5300,-40 to +110,7,890,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84925.png
"VOT8121AB, VOT8121AD, VOT8121AG",Enlarge,Non-Zero,DIP-4,10,800,100,1000,5300,-55 to +110,7,890,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84918.png
"VOT8121AB, VOT8121AD, VOT8121AG",Enlarge,Non-Zero,"DIP-4, 400 mil",10,800,100,1000,5300,-55 to +110,8,1140,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84918.png
"VOT8121AB, VOT8121AD, VOT8121AG",Enlarge,Non-Zero,SMD-4,10,800,100,1000,5300,-55 to +110,7,890,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84918.png
"VOT8121AB, VOT8121AD, VOT8121AG",Enlarge,Non-Zero,"SMD-4, 90° orientation",10,800,100,1000,5300,-55 to +110,7,890,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84918.png
"VOT8121AB, VOT8121AD, VOT8121AG",Enlarge,Non-Zero,"SMD-4, 180° orientation",10,800,100,1000,5300,-55 to +110,7,890,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84918.png
"VOT8121AB, VOT8121AD, VOT8121AG",Enlarge,Non-Zero,"SMD-4, 270° orientation",10,800,100,1000,5300,-55 to +110,7,890,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84918.png
VOT8121AM,Enlarge,Non-Zero,SOP-4,10,800,100,1000,3750,-55 to +110,5,565,"UL, cUL, VDE",image/optocouplers/opto-triac/84914.png
VOT8121AM,Enlarge,Non-Zero,"SOP-4, 180° orientation",10,800,100,1000,3750,-55 to +110,5,565,"UL, cUL, VDE",image/optocouplers/opto-triac/84914.png
"VOT8123AB, VOT8123AD, VOT8123AG",Enlarge,Non-Zero,DIP-6,10,800,100,1000,5000,-40 to +110,7,890,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84926.png
"VOT8123AB, VOT8123AD, VOT8123AG",Enlarge,Non-Zero,"DIP-6, 400 mil",10,800,100,1000,5000,-40 to +110,8,1140,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84926.png
"VOT8123AB, VOT8123AD, VOT8123AG",Enlarge,Non-Zero,SMD-6,10,800,100,1000,5000,-40 to +110,7,890,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84926.png
"VOT8123AB, VOT8123AD, VOT8123AG",Enlarge,Non-Zero,"SMD-6, 180° orientation",10,800,100,1000,5000,-40 to +110,7,890,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84926.png
"VOT8125AB, VOT8125AD, VOT8125AG",Enlarge,Non-Zero,DIP-6,5,800,100,1000,5000,-40 to +110,7,890,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84923.png
"VOT8125AB, VOT8125AD, VOT8125AG",Enlarge,Non-Zero,"DIP-6, 400 mil",5,800,100,1000,5000,-40 to +110,8,1140,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84923.png
"VOT8125AB, VOT8125AD, VOT8125AG",Enlarge,Non-Zero,SMD-6,5,800,100,1000,5000,-40 to +110,7,890,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84923.png
"VOT8125AB, VOT8125AD, VOT8125AG",Enlarge,Non-Zero,"SMD-6, 180° orientation",5,800,100,1000,5000,-40 to +110,7,890,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84923.png
